General Information - 1993 Election					
Party Representation					

House of Representatives					

	ALP	LP	NP	IND	Seats
NSW	33	8	8	1	50
VIC	17	17	3	1	38
QLD	13	7	5	-	25
WA	6	8	-	-	14
SA	4	8	-	-	12
TAS	4	1	-	-	5
ACT	2	-	-	-	2
NT	1	-	-	-	1
TOTAL	80	49	16	2	147


Senate							

Elected at 13 March 1993 federal election; terms expire on 30 June 1996							

	ALP	LP	NP	DEM	GWA	HAR	CLP
NSW 	3	2	1	-	-	-	-
VIC	3	2	1	-	-	-	-
QLD	2	2	1	1	-	-	-
WA	2	3	-	-	1	-	-
SA	2	3	-	1	-	-	-
TAS	3	2	-	-	-	1	-
ACT*	1	1	-	-	-	-	-
NT*	1	-	-	-	-	-	1
TOTAL	17	15	3	2	1	1	1
* Terms expire on the day before the next general election of the House of Representatives							

Elected at 24 March 1990 federal election; terms expire on 30 June 1993							

	ALP	LP	NP	DEM	GWA	HAR	CLP
NSW 	3	1	1	1	-	-	-
VIC	2	3	-	1	-	-	-
QLD	2	2	1	1	-	-	-
WA	2	3	-	-	1	-	-
SA	2	3	-	1	-	-	-
TAS	2	3	-	1	-	-	-
TOTAL	13	15	2	5	1	1	-
The 4 Senators elected for the ACT & NT at the 24 March 1990 election are not shown in this table as their term expired at close of day							
 before polling day for the general election of members of the House of Representatives - that is 12 March 1993							

Total party representation from 1 July 1996							

	ALP	LP	NP	DEM	GWA	HAR	CLP
NSW 	6	3	2	1	-	-	-
VIC	5	5	1	1	-	-	-
QLD	4	4	2	2	-	-	-
WA	4	6	-	-	2	-	-
SA	4	6	-	2	-	-	-
TAS	5	5	-	1	-	1	-
ACT*	1	1	-	-	-	-	-
NT*	1	-	-	-	-	-	1
TOTAL	30	30	5	7	2	1	1
