General Information - 1996 Election								
Party Representation 								
								
								
House of Representatives								
								
	ALP	LP	NP	CLP	IND	Seats		
NSW	20	19	10	-	1	50		
VIC	16	19	2	-	-	37		
QLD	2	17	6	-	1	26		
WA	3	8	-	-	3	14		
SA	2	10	-	-	-	12		
TAS	3	2	-	-	-	5		
ACT	3	-	-	-	-	3		
NT	-	-	-	1	-	1		
TOTAL	49	75	18	1	5	148		
								
								
Senate								
								
Elected at 2 March 1996 federal election; terms expire on 30 June 2002								
								
	ALP	LP	NP	DEM	GWA	HAR	CLP	TG
NSW 	2	2	1	1	-	-	-	-
VIC	2	3	-	1	-	-	-	-
QLD	2	2	1	1	-	-	-	-
WA	2	3	-	1	-	-	-	-
SA	2	3	-	1	-	-	-	-
TAS	2	3	-	-	-	-	-	1
ACT*	1	1	-	-	-	-	-	-
NT*	1	-	-	-	-	-	1	-
TOTAL	14	17	2	5	-	-	1	1
* Terms expire on the day before the next general election of the House of Representatives								

Elected at 13 March 1993 federal election; terms expire on 30 June 1999								
								
	ALP	LP	NP	DEM	GWA	HAR	CLP	TG
NSW 	3	2	1	-	-	-	-	-
VIC	3	2	1	-	-	-	-	-
QLD	2	2	1	1	-	-	-	-
WA	2	3	-	-	1	-	-	-
SA	2	3	-	1	-	-	-	-
TAS	3	2	-	-	-	1	-	-
TOTAL	15	14	3	2	1	1	-	-
The 4 Senators elected for the ACT & NT at the 13 March 1993 election are not shown in this table as their term expired at close of day								
 before polling day for the general election of members of the House of Representatives - that is 1 March 1996								

Total party representation from 1 July 1996								
								
	ALP	LP	NP	DEM	GWA	HAR	CLP	TG
NSW 	5	4	2	1	-	-	-	-
VIC	5	5	1	1	-	-	-	-
QLD	4	4	2	2	-	-	-	-
WA	4	6	-	1	1	-	-	-
SA	4	6	-	2	-	-	-	-
TAS	5	5	-	-	-	1	-	1
ACT*	1	1	-	-	-	-	-	-
NT*	1	-	-	-	-	-	1	-
TOTAL	29	31	5	7	1	1	1	1

								
								

								
								
								
								
								
								
								
								
								
								
								
