General Information - 1996 Election								
Declaration Votes Issued								
By Division								
								
				                Pre-Poll		            Postal Vote Certificates		
	State/Division	Provisional	Absent	Total Issued	Own Division	Total Issued	Own Division	
								
National Summary								
	New South Wales	53687	242878	144221	90131	116855	103016	
	Victoria	49709	173562	89456	50947	107885	92263	
	Queensland	21728	141715	79082	37926	89355	78720	
	Western Australia	19879	91093	38983	20089	31121	24382	
	South Australia	18037	63412	25302	12274	32735	28457	
	Tasmania	4626	22811	13683	8466	15456	14214	
	Australian Capital Territory	2970	5871	26770	11868	5706	4367	
	Northern Territory	3786	0	8125	3121	3737	2775	
	Overseas Posts	0	0	36655	0	11313	0	
	Antarctica	0	0	217	0	0	0	
	NATIONAL TOTAL        	174422	741342	462494	234822	414163	348194	
								
								
New South Wales                 								
	Banks                	688	2833	1216	987	2350	2173	
	Barton               	1479	4345	1804	1372	2217	2025	
	Bennelong            	775	4458	1981	1272	2737	2349	
	Berowra              	680	3737	4251	2897	1998	1677	
	Blaxland             	1706	3477	1725	1158	2013	1833	
	Bradfield            	528	3376	3479	1613	3175	2036	
	Calare               	752	5623	2541	2025	2562	2398	
	Charlton             	796	3757	2356	2111	2354	2110	
	Chifley              	1419	4072	1204	957	1134	993	
	Cook                 	700	3123	2503	1981	2385	2212	
	Cowper               	1359	5501	2790	1924	2296	2065
	Cunningham           	611	3592	3292	2027	2368	2110
	Dobell               	918	6022	2818	2197	2338	2186
	Eden-Monaro          	907	5237	4151	1947	3079	2742
	Farrer               	540	2249	3518	2100	3543	3240
	Fowler               	2102	3752	1948	791	1230	1033
	Gilmore              	1040	9929	3929	3156	2429	2287
	Grayndler            	2035	6328	1663	949	1867	1631
	Greenway             	893	3679	2361	1636	1729	1518
	Gwydir               	1017	4722	2131	1651	2628	2433
	Hughes               	633	3394	2338	1617	1801	1592
	Hume                 	349	4510	1703	1358	2460	2252
	Hunter               	740	4352	2594	1998	2062	1818
	Kingsford-Smith      	1200	6191	6510	1925	2293	1915
	Lindsay              	1011	3489	2132	1418	1533	1351
	Lowe                 	1296	4517	1694	1178	2888	2612
	Lyne                 	967	7814	3593	2741	1960	1810
	Macarthur            	990	4842	1643	1249	1605	1471
	Mackellar            	1059	4198	2266	1853	2267	2017
	Macquarie            	1059	5201	2619	2040	2307	2100
	Mitchell             	528	3386	1991	1397	1666	1483
	Newcastle            	947	5702	2901	1477	2844	2412
	New England          	1306	4524	3475	2615	2474	2253
	North Sydney         	1303	7403	2119	1641	2487	2487
	Page                 	1173	4002	3265	2235	2853	2611
	Parkes               	998	3465	3677	2807	3152	2940
	Parramatta           	1019	5884	2748	1190	3338	2704
	Paterson             	706	7958	2247	1495	2586	2423
	Prospect             	1009	3775	1228	639	1071	912
	Reid                 	933	4435	1467	1106	2115	1862
	Richmond             	1680	4294	6332	3934	3147	2821
	Riverina             	932	4108	4240	2545	2241	1919
	Robertson            	1054	5780	4064	2834	2754	2581
	Shortland            	802	5032	3998	2560	2099	1904
	Sydney               	2954	13181	8120	1231	3677	2233
	Throsby              	990	2401	1380	1129	1484	1413
	Warringah            	1131	5055	3514	2156	2231	1870
	Watson               	1300	4020	2155	985	1977	1790
	Wentworth            	1766	6391	4581	2819	3451	3036
	Werriwa              	907	3762	1966	1208	1600	1373
							
NSW TOTAL             		53687	242878	144221	90131	116855	103016
							
							
Victoria                        							
	Aston                	771	3124	1128	830	2594	2262
	Ballarat             	1329	4666	2676	1887	3504	3306
	Batman               	1724	3845	1988	1290	2987	2683
	Bendigo              	1149	4545	2614	1946	3844	3679
	Bruce                	1067	3355	2417	1313	2750	2487
	Burke                	1467	3514	1073	832	1912	1742
	Calwell              	981	3892	2546	936	1332	978
	Casey                	879	2716	2021	1353	2681	2469
	Chisholm             	827	5182	1769	970	3634	2971
	Corangamite          	1033	8616	776	593	2125	1926
	Corio                	1866	3557	4215	1840	3016	2862
	Deakin               	833	4868	1967	1267	3511	3052
	Dunkley              	1218	3046	2582	1664	3129	2896
	Flinders             	1170	9774	2527	1701	3060	2661
	Gellibrand           	2314	4705	2232	1412	2584	2087
	Gippsland            	1247	5880	1883	1266	2660	2377
	Goldstein            	1325	4031	2021	1416	3763	3377
	Higgins              	1434	6720	2780	1529	4081	3444
	Holt                 	2185	3972	2981	1349	1967	1492
	Hotham               	1550	4937	1984	1029	2647	2207
	Indi                 	1116	4632	2957	2369	2613	2319
	Isaacs               	1012	3538	2577	1148	2697	2281
	Jagajaga             	848	3799	2027	1468	3314	2902
	Kooyong              	1002	5022	2094	1208	4255	3809
