General Information - 1998 Election: Northern Territory			
Polling Places			
			
Northern Territory			
Polling Place Name	Premises	Address	Suburb
Alice Springs	Civic Centre (Foyer)	Todd St	ALICE SPRINGS
Alyangula	Alyangula Area School	Flinders St	ALYANGULA
Anula	Anula Primary School	Yanyula Dr	ANULA
Batchelor	Batchelor Area School	Nurndina St	BATCHELOR
Berrimah	Kormilda College	1 Berrimah Rd	BERRIMAH
Berry Springs	Berry Springs Primary School	Cox Peninsula Rd	BERRY SPRINGS
Braitling	Braitling Primary School	Head St	ALICE SPRINGS
Casuarina	Casuarina Senior College	61 Moil Cres	MOIL
Christmas Island	Christmas Island Community Hall		CHRISTMAS ISLAND
Darwin	Darwin Entertainment Centre	Mitchell Street	DARWIN
Doomadgee	Doomadgee		DOOMADGEE
Driver	Driver High School	Tilston Ave	DRIVER
Durack	Durack Primary School	Woodlake Blvd	PALMERSTON
Gillen	Gillen Primary School Hall	Milner Rd	ALICE SPRINGS
Gray	Sacred Heart Primary School (Gray)	Emery Ave	PALMERSTON
Home Island	Home Island Community Centre		COCOS ISLANDS
Howard Springs	Howard Springs Community Hall	Whitewood Rd	HOWARD SPRINGS
Humpty Doo	Taminmin High School	Challenor Crct	HUMPTY DOO
Jabiru	Jabiru Area School	Waterhouse Rd	JABIRU
Karama	O'Loughlin Catholic College	Mueller Rd	KARAMA
Katherine	Katherine Training Network	Second Street	KATHERINE
Katherine East	MacFarlane Primary School	Grevillea Rd	KATHERINE
Larapinta	Living Waters Lutheran School	Albrecht Dr	ALICE SPRINGS
Larrakeyah	Larrakeyah Pre School	Packard St	LARRAKEYAH
Leanyer	Leanyer Primary School	Leanyer Dr	LEANYER
Ludmilla	Ludmilla Primary School	Bagot Rd	LUDMILLA
Moulden	Moulden Park Primary School	Bonson Tce	MOULDEN
Nakara	Nakara Primary School	Goodman St	NAKARA
Nhulunbuy	Nhulunbuy Primary School	Chesterfield Crct	NHULUNBUY
Nightcliff	Nightcliff High School	Ryland Rd	RAPID CREEK
Parap	Parap Girl Guide Hall	55 Ross Smith Ave	PARAP
Pine Creek	Community Hall	55 Moule St	PINE CREEK
Rapid Creek	St Pauls School	Francis St	NIGHTCLIFF
Sadadeen	Christian Community Centre	32 Undoolya Rd	ALICE SPRINGS
Stuart Park	Stuart Park Pre School	Nudl St	STUART PARK
Tennant Creek	Tennant Creek High School	Stuart St	TENNANT CREEK
Tindal	Community Hall	Newham Crct	TINDAL RAAF
Tiwi	Dripstone High School	Delamere St	TIWI
Wanguri	Wanguri Primary School	Gsell St	WANGURI
West Island	West Island School		COCOS ISLANDS
Woodroffe	Woodroffe Primary School	Woodroffe Ave	WOODROFFE
Wulagi	Wulagi Primary School	Brolga St	WULAGI
Yirara	Yirara College	South Stuart Hwy	ALICE SPRINGS
Yulara	Yulara Centralian College		YULARA
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
