General Information - 1998 Election									
Numbers of Polling Places and Staff 									


	Polling Places							Polling Staff	
		Hospital	Remote 	Prison					
State	Statics	Teams	Teams	Teams	Pre Poll*	Overseas		Total	
NSW	2664	168	0	4	151	-		21736	
VIC	1788	86	0	1	74	-		14935	
QLD	1372	82	3	0	80	-		10704	
WA	851	52	13	4	43	-		6409	
SA	649	56	7	1	35	-		5311	
TAS	328	21	0	0	9	-		1803	
ACT	79	4	0	1	7	-		906	
NT	44	6	25	2	20	-		640	
Overseas	-	-	-	-	-	99		n/a	
NAT TOTAL	7775	475	48	13	419	99		62444

* Includes AEC divisional offices								
