State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
NSW;Banks;79242;73830;2593;76423;96.61;0.16;3.39;-0.16;96.44;0.21;44675;29117;38;60.54;2.91
NSW;Barton;80185;74108;3118;77226;95.96;-0.19;4.04;0.19;96.31;0.38;43994;30077;37;59.39;4.57
NSW;Bennelong;79036;74017;2118;76135;97.22;0.32;2.78;-0.32;96.33;0.81;34629;39341;47;46.81;3.96
NSW;Berowra;79538;74666;1954;76620;97.45;-0.32;2.55;0.32;96.33;0.51;28216;46433;17;37.80;0.05
NSW;Blaxland;76955;69805;3698;73503;94.97;0.44;5.03;-0.44;95.51;0.58;50283;19461;61;72.10;9.10
NSW;Bradfield;79193;74277;1943;76220;97.45;-0.53;2.55;0.53;96.25;0.6;20020;54247;10;26.96;-0.45
NSW;Calare;75897;72220;1350;73570;98.17;0.38;1.83;-0.38;96.93;0.62;39005;33142;73;54.06;2.58
NSW;Charlton;77970;73361;2449;75810;96.77;-0.76;3.23;0.76;97.23;1.18;49215;24127;19;67.10;2.09
NSW;Chifley;76187;69234;3460;72694;95.24;-0.42;4.76;0.42;95.42;0.17;50214;18976;44;72.57;1.82
NSW;Cook;78050;73664;1882;75546;97.51;-0.18;2.49;0.18;96.79;0.56;34261;39367;36;46.53;2.95
NSW;Cowper;72758;68202;1512;69714;97.83;-0.23;2.17;0.23;95.82;0.43;31311;36846;45;45.94;1.50
NSW;Cunningham;75134;69991;2419;72410;96.66;-0.28;3.34;0.28;96.37;0.61;47485;22440;66;67.91;2.97
NSW;Dobell;72511;68891;1452;70343;97.94;0.32;2.06;-0.32;97.01;1.4;39140;29746;5;56.82;-0.57
NSW;Eden-Monaro;73191;68279;1720;69999;97.54;-0.23;2.46;0.23;95.64;0.99;37036;31199;44;54.28;-0.07
NSW;Farrer;74250;69449;1987;71436;97.22;-0.33;2.78;0.33;96.21;0.6;22615;46829;5;32.57;0.34
NSW;Fowler;77164;69460;3811;73271;94.8;2.12;5.2;-2.12;94.95;0.79;49979;19437;44;72.00;4.20
NSW;Gilmore;70480;66894;1483;68377;97.83;0.02;2.17;-0.02;97.02;1.24;33721;33115;58;50.45;1.24
NSW;Grayndler;80895;72325;3468;75793;95.42;1.28;4.58;-1.28;93.69;0.59;52589;19638;98;72.81;5.34
NSW;Greenway;75426;69893;2721;72614;96.25;0.75;3.75;-0.75;96.27;0.33;44316;25556;21;63.42;4.40
NSW;Gwydir;76706;71675;1999;73674;97.29;-0.27;2.71;0.27;96.05;-0.04;28442;43147;86;39.73;-0.05
NSW;Hughes;74826;70818;1899;72717;97.39;-0.38;2.61;0.38;97.18;0.85;39949;30855;14;56.42;0.37
NSW;Hume;75091;71248;1542;72790;97.88;0.27;2.12;-0.27;96.94;1.08;32975;38244;29;46.30;0.84
NSW;Hunter;75411;71075;1719;72794;97.64;-0.17;2.36;0.17;96.53;-0.2;45414;25638;23;63.92;4.87
NSW;Kingsford-Smith;77048;69962;3180;73142;95.65;-0.48;4.35;0.48;94.93;0.73;45611;24303;48;65.24;4.12
