State;Division;Polling Place;Count;Ballot Position;Candidate Status;Vote Distributed;Vote;Vote Pc;Elected Swing;Exhausted Transfer;Exhausted
NSW;Banks;Beverly Hills North;1;1;R;0;95;3.39;;;
NSW;Banks;Beverly Hills North;1;2;R;0;72;2.57;;;
NSW;Banks;Beverly Hills North;1;3;R;0;1547;55.21;;;
NSW;Banks;Beverly Hills North;1;4;R;0;86;3.07;;;
NSW;Banks;Beverly Hills North;1;5;R;0;969;34.58;;;
NSW;Banks;Beverly Hills North;1;6;R;0;33;1.18;;;
NSW;Banks;East Hills;1;1;R;0;42;3.70;;;
NSW;Banks;East Hills;1;2;R;0;47;4.14;;;
NSW;Banks;East Hills;1;3;R;0;647;57.05;;;
NSW;Banks;East Hills;1;4;R;0;36;3.17;;;
NSW;Banks;East Hills;1;5;R;0;346;30.51;;;
NSW;Banks;East Hills;1;6;R;0;16;1.41;;;
NSW;Banks;Hannans Road;1;1;R;0;88;3.78;;;
NSW;Banks;Hannans Road;1;2;R;0;33;1.42;;;
NSW;Banks;Hannans Road;1;3;R;0;1565;67.17;;;
NSW;Banks;Hannans Road;1;4;R;0;44;1.89;;;
NSW;Banks;Hannans Road;1;5;R;0;577;24.76;;;
NSW;Banks;Hannans Road;1;6;R;0;23;0.99;;;
NSW;Banks;Lugarno;1;1;R;0;57;1.71;;;
NSW;Banks;Lugarno;1;2;R;0;66;1.98;;;
NSW;Banks;Lugarno;1;3;R;0;1059;31.70;;;
NSW;Banks;Lugarno;1;4;R;0;131;3.92;;;
NSW;Banks;Lugarno;1;5;R;0;1993;59.65;;;
NSW;Banks;Lugarno;1;6;R;0;35;1.05;;;
NSW;Banks;Milperra;1;1;R;0;126;4.72;;;
NSW;Banks;Milperra;1;2;R;0;59;2.21;;;
NSW;Banks;Milperra;1;3;R;0;1406;52.66;;;
NSW;Banks;Milperra;1;4;R;0;75;2.81;;;
NSW;Banks;Milperra;1;5;R;0;984;36.85;;;
NSW;Banks;Milperra;1;6;R;0;20;0.75;;;
NSW;Banks;Mortdale Central;1;1;R;0;59;2.82;;;
NSW;Banks;Mortdale Central;1;2;R;0;56;2.68;;;
NSW;Banks;Mortdale Central;1;3;R;0;1210;57.87;;;
NSW;Banks;Mortdale Central;1;4;R;0;80;3.83;;;
NSW;Banks;Mortdale Central;1;5;R;0;621;29.70;;;
NSW;Banks;Mortdale Central;1;6;R;0;65;3.11;;;
NSW;Banks;Mortdale Heights;1;1;R;0;23;2.60;;;
NSW;Banks;Mortdale Heights;1;2;R;0;26;2.94;;;
NSW;Banks;Mortdale Heights;1;3;R;0;473;53.45;;;
NSW;Banks;Mortdale Heights;1;4;R;0;22;2.49;;;
NSW;Banks;Mortdale Heights;1;5;R;0;334;37.74;;;
NSW;Banks;Mortdale Heights;1;6;R;0;7;0.79;;;
NSW;Banks;Mortdale West;1;1;R;0;53;2.48;;;
NSW;Banks;Mortdale West;1;2;R;0;37;1.73;;;
NSW;Banks;Mortdale West;1;3;R;0;1123;52.50;;;
NSW;Banks;Mortdale West;1;4;R;0;94;4.39;;;
