State;Ticket;Group;Ballot Position;Member;Candidate;Party;Gender;Order Elected;Term Expires
NSW;A;GA;1;;BECKMANN, Jane;GA;F;0;
NSW;A;GA;2;;BRIAN, Bernie;GA;M;0;
NSW;B;NLP;1;;KERR, Doreen;NLP;F;0;
NSW;B;NLP;2;;SMITH, Mike;NLP;M;0;
NSW;B;NLP;3;;JUDD, Ines;NLP;F;0;
NSW;C;CEG;1;;HAY, Leone;CEG;F;0;
NSW;C;CEG;2;;BUTLER, Robert;CEG;M;0;
NSW;C;CEG;3;;WOOD, Gloria;CEG;F;0;
NSW;D;RPA;1;;CONSANDINE, Peter;RPA;M;0;
NSW;D;RPA;2;;KLEIN, Gennie;RPA;F;0;
NSW;E;;1;;TEALE, Leonard;;M;0;
NSW;E;;2;;WARD, Colin;;M;0;
NSW;F;CAP;1;;UEBERGANG, K John;CAP;M;0;
NSW;F;CAP;2;;HAWKINS, Doug;CAP;M;0;
NSW;G;ASP;1;;ASCHER, Michael;ASP;M;0;
NSW;G;ASP;2;;ORR, Ted;ASP;M;0;
NSW;G;ASP;3;;WILKIE, Jeff;ASP;M;0;
NSW;G;ASP;4;;O'CONNELL, Suzanne;ASP;F;0;
NSW;G;ASP;5;;BOURKE, Robyn Lee;ASP;F;0;
NSW;H;;1;;POULOS, Patricia;;F;0;
NSW;H;;2;;ARCHER, Peter B;;M;0;
NSW;H;;3;;HOLLEY, John;;M;0;
NSW;I;LNP;1;#;BAUME, Michael;LP;M;2;30-06-1999
NSW;I;LNP;2;#;TIERNEY, John;LP;M;4;30-06-1999
NSW;I;LNP;3;#;MACDONALD, Sandy;NP;M;6;30-06-1999
NSW;I;LNP;4;;PAYNE, Marise Ann;LP;F;0;
NSW;J;;1;;SANTA CLAUS, O;;M;0;
NSW;J;;2;;ROLO, Lord;;M;0;
NSW;K;DEM;1;;SOWADA, Karin;DEM;F;0;
NSW;K;DEM;2;;GRIFFITHS, Ray Ian;DEM;M;0;
NSW;K;DEM;3;;CHESTERFIELD-EVANS, Arthur;DEM;M;0;
NSW;L;ALP;1;#;RICHARDSON, Graham Frederick;ALP;M;1;30-06-1999
NSW;L;ALP;2;#;FAULKNER, John;ALP;M;3;30-06-1999
NSW;L;ALP;3;#;SIBRAA, Kerry;ALP;M;5;30-06-1999
NSW;L;ALP;4;;ARMSTRONG, Mary-Anne;ALP;F;0;
NSW;M;;1;;STEVENS, David Richard;;M;0;
NSW;M;;2;;HARRISON, Yvonne;;F;0;
NSW;N;GRN;1;;BRIGHAM, Steve;GRN;M;0;
NSW;N;GRN;2;;WALLACE, Joy;GRN;F;0;
NSW;N;GRN;3;;COHEN, Ian;GRN;M;0;
NSW;N;GRN;4;;STEAD, Cecily;GRN;F;0;
NSW;O;CTA;1;;COLEMAN, Bruce;CTA;M;0;
NSW;O;CTA;2;;MCLENNAN, Graham Clarke;CTA;M;0;
NSW;O;CTA;3;;GRIGG, Shirley J;CTA;F;0;
NSW;O;CTA;4;;RYAN, Glen;CTA;M;0;
NSW;P;AFI;1;;KITSON, David A L;AFI;M;0;
NSW;P;AFI;2;;WEATHERLAKE, Ian A;AFI;M;0;
NSW;Q;;1;;LAVERY, Rosemarie;;F;0;
NSW;Q;;2;;JOHN, Robert;;M;0;
NSW;Q;;3;;LAVERY, Priscilla;;F;0;
NSW;R;GRY;1;;ROYLANCE, Frances;GRY;F;0;
NSW;R;GRY;2;;GROUNDS, Gay;GRY;F;0;
NSW;S;;1;;BASS, Walter;;M;0;
NSW;S;;2;;HALES, Paul;;M;0;
NSW;T;;1;;VESCIO, Michael;;M;0;
NSW;T;;2;;WHEATLEY, Pamela Eileen;;F;0;
NSW;U;;1;;SCHOLLBACH, Robert;;M;0;
NSW;U;;2;;STIRLING, Karen;;F;0;
NSW;UG;;1;;GAJIN, Milorad;IND;M;0;
NSW;UG;;2;;ANDERSON, Michael J;IND;M;0;
NSW;UG;;3;;DE BRY, Katherine V;IND;F;0;
NSW;UG;;4;;POULSEN, Ron;;M;0;
