State;Division;Ballot Position;Member;Candidate;Party;Gender;Vote;Vote Percent;Swing
NSW;Banks;1;#;MELHAM, Daryl;ALP;M;31878;43.56;-11.25
NSW;Banks;2;;SPARKES, David;LP;M;28903;39.49;4.77
NSW;Banks;3;;KAYES, John;RARI;M;970;1.33;1.33
NSW;Banks;4;;WEST, Gregg;AFI;M;3797;5.19;5.19
NSW;Banks;5;;BAILEY, Alison;DEM;F;5566;7.60;4.03
NSW;Banks;6;;THOMPSON, Don;IND;M;2076;2.84;2.84
NSW;Banks;902;;;CTA;;0;0.00;-2.34
NSW;Banks;997;;;OTH;;0;0.00;-4.56
NSW;Barton;1;;MCLEAN, Chris. D.;CTA;M;2381;3.20;1.70
NSW;Barton;2;#;MCCLELLAND, Robert;ALP;M;35943;48.38;-7.54
NSW;Barton;3;;SANTORINIOS, Arthur;LP;M;30582;41.17;3.29
NSW;Barton;4;;NASSER, Safwan;IND;M;1359;1.83;1.83
NSW;Barton;5;;CHUNG, Craig;DEM;M;4026;5.42;2.91
NSW;Barton;908;;;NLP;;0;0.00;-0.38
NSW;Barton;997;;;OTH;;0;0.00;-1.80
NSW;Bennelong;1;;MAHON, Wendy;ALP;F;24248;32.16;-9.49
NSW;Bennelong;2;;PARKER, Jamie;GRN;M;1861;2.47;2.47
NSW;Bennelong;3;;KEMP, Paul;AFI;M;1968;2.61;2.61
NSW;Bennelong;4;;DROULERS, Julien Paul;IND;M;187;0.25;0.25
NSW;Bennelong;5;;BERNARD, James Joseph;IND;M;111;0.15;0.15
NSW;Bennelong;6;;SHAW, Robert;NAN;M;1305;1.73;1.73
NSW;Bennelong;7;;REDDY, Suzanne;DEM;F;4700;6.23;0.95
NSW;Bennelong;8;;DAWSON, John;IND;M;208;0.28;-1.38
NSW;Bennelong;9;#;HOWARD, John Winston;LP;M;40589;53.83;3.71
NSW;Bennelong;10;;CARR, Tim;NLP;M;227;0.30;-0.23
NSW;Bennelong;997;;;OTH;;0;0.00;-0.77
NSW;Berowra;1;#;RUDDOCK, Philip;LP;M;45310;58.60;3.38
NSW;Berowra;2;;CONNOLLY, Christopher;GRN;M;2453;3.17;3.17
NSW;Berowra;3;;DISNEY, Simon;DEM;M;5751;7.44;7.44
NSW;Berowra;4;;MCCARROLL, Nola;ALP;F;16666;21.55;-7.23
NSW;Berowra;5;;VAN WYK, Steve Martin;AFI;M;1964;2.54;2.54
NSW;Berowra;6;;GALLAGHER, Mick;IND;M;5034;6.51;-7.99
NSW;Berowra;7;;SCALLY, Bill;NLP;M;143;0.18;-1.31
NSW;Blaxland;1;;KOROVIN, Nick;LP;M;21916;31.05;6.80
NSW;Blaxland;2;;LAWRENCE, Eric;IND;M;526;0.75;0.75
NSW;Blaxland;3;;BEAMS, Nick;;M;244;0.35;0.35
NSW;Blaxland;4;;LAVIS, Michael;AFI;M;1944;2.75;2.75
NSW;Blaxland;5;;AUSSIE-STONE, Marc;IND;M;267;0.38;0.09
NSW;Blaxland;6;;SAYEGH, Peter;IND;M;695;0.98;0.98
NSW;Blaxland;7;;SMITH, Peter;NLP;M;176;0.25;-0.29
NSW;Blaxland;8;;RAHME, Melodie;CTA;F;936;1.33;0.17
NSW;Blaxland;9;;MEIKLE, Jeffrey;DEM;M;2442;3.46;1.47
NSW;Blaxland;10;#;KEATING, Paul John;ALP;M;41444;58.71;-10.69
NSW;Blaxland;997;;;OTH;;0;0.00;-2.38
NSW;Bradfield;1;;WATKINS, Len;AFI;M;2571;3.45;3.45
NSW;Bradfield;2;;KEMENY, Alex;ALP;M;11779;15.80;-6.56
NSW;Bradfield;3;;GALLAGHER, Patrick;IND;M;918;1.23;1.23
NSW;Bradfield;4;;RATCLIFFE, Margaret;CTA;F;1307;1.75;1.75
NSW;Bradfield;5;;BARRY, Ann;DEM;F;6908;9.27;2.99
NSW;Bradfield;6;#;NELSON, Brendan;LP;M;48260;64.75;-5.02
NSW;Bradfield;7;;TOOMEY, Mark;NLP;M;216;0.29;-1.30
NSW;Bradfield;8;;WRIGHT, Richard;GRN;M;2577;3.46;3.46
NSW;Calare;1;;MCLEAN, Bruce;CTA;M;1459;1.97;1.97
NSW;Calare;2;#;ANDREN, Peter;IND;M;21708;29.37;29.37
NSW;Calare;3;;BAKER, Peter Arthur;DEM;M;859;1.16;1.16
NSW;Calare;4;;ALLEN, Rob;ALP;M;21407;28.96;-22.04
NSW;Calare;5;;TOOLE, Trevor;NP;M;15371;20.79;-5.22
NSW;Calare;6;;NOLAN, Richard;NLP;M;172;0.23;0.23
NSW;Calare;7;;MULLIN, Sharon;GRN;F;1312;1.77;1.77
NSW;Calare;8;;FARDELL, Ray;LP;M;11631;15.73;-2.79
NSW;Calare;997;;;OTH;;0;0.00;-4.47
NSW;Charlton;1;#;BROWN, Bob;ALP;M;38665;50.00;-10.91
NSW;Charlton;2;;CRAIG, Peter;LP;M;25884;33.47;6.64
NSW;Charlton;3;;GODFREY, Lyn;DEM;M;6494;8.40;2.98
NSW;Charlton;4;;FRANKS, Ron;AFI;M;2428;3.14;3.14
NSW;Charlton;5;;BRUGMAN, Bernadette;GRN;F;3863;5.00;5.00
NSW;Charlton;905;;;NLP;;0;0.00;-0.33
NSW;Charlton;906;;;CTA;;0;0.00;-1.74
NSW;Charlton;997;;;OTH;;0;0.00;-4.79
NSW;Chifley;1;;FISHER, Alec;DEM;M;6682;9.05;9.05
NSW;Chifley;2;;GRIGG, Shirley;CTA;F;2033;2.75;2.75
NSW;Chifley;3;;GREEN, Jenny;LP;F;19828;26.85;6.14
NSW;Chifley;4;;HARGREAVES, Louise Jayne;NLP;F;653;0.88;0.88
NSW;Chifley;5;;OWEN, Andrew;IND;M;1858;2.52;2.52
NSW;Chifley;6;#;PRICE, Roger;ALP;M;42804;57.95;-10.11
NSW;Chifley;905;;;EFF;;0;0.00;-6.73
NSW;Chifley;997;;;OTH;;0;0.00;-4.51
NSW;Cook;1;;RICHARDSON, Terri;DEM;F;6130;8.12;5.12
NSW;Cook;2;;WOODGER, Janey;RARI;F;2988;3.96;3.96
NSW;Cook;3;;MCDONALD, James Ian;IND;M;1078;1.43;1.43
NSW;Cook;4;#;MUTCH, Stephen;LP;M;41601;55.10;5.52
NSW;Cook;5;;MCGRATH, Mark;ALP;M;23704;31.40;-9.07
NSW;Cook;903;;;NLP;;0;0.00;-0.72
NSW;Cook;904;;;CAP;;0;0.00;-0.65
NSW;Cook;907;;;CTA;;0;0.00;-2.46
NSW;Cook;997;;;OTH;;0;0.00;-3.12
NSW;Cowper;1;;CRANNY, Jillian;GRN;F;4525;6.24;1.56
NSW;Cowper;2;;QUARTLY, Allan;DEM;M;3974;5.48;1.89
NSW;Cowper;3;#;NEHL, Garry;NP;M;40825;56.30;8.24
NSW;Cowper;4;;SEKFY, Paul;ALP;M;23195;31.98;-7.12
NSW;Cowper;902;;;CAP;;0;0.00;-2.51
NSW;Cowper;903;;;NLP;;0;0.00;-1.42
NSW;Cowper;904;;;CEG;;0;0.00;-0.64
NSW;Cunningham;1;;PERROTT, Margaret;;F;1675;2.36;2.36
NSW;Cunningham;2;;MISDOM, Fred J;NLP;M;317;0.45;-0.28
NSW;Cunningham;3;#;MARTIN, Stephen;ALP;M;37267;52.59;-6.00
NSW;Cunningham;4;;CHILTON, Mark;DEM;M;3535;4.99;0.86
NSW;Cunningham;5;;DOUGLAS, Will;GRN;M;4139;5.84;1.13
NSW;Cunningham;6;;WILCOCK, Paul;IND;M;939;1.33;1.33
NSW;Cunningham;7;;WILLIAMS, Philip;LP;M;21124;29.81;3.45
NSW;Cunningham;8;;O'NEILL, Robert;CTA;M;1863;2.63;0.98
NSW;Cunningham;997;;;OTH;;0;0.00;-3.82
NSW;Dobell;1;#;LEE, Michael;ALP;M;32221;43.86;-9.55
NSW;Dobell;2;;MARTIN, True;DEM;M;5223;7.11;3.76
NSW;Dobell;3;;PRITCHARD, Jeremy H;AFI;M;2146;2.92;2.92
NSW;Dobell;4;;KATALINIC, Aldo;IND;M;751;1.02;1.02
NSW;Dobell;5;;FREEMANTLE, Graham;CTA;M;1304;1.78;1.78
NSW;Dobell;6;;EATON, Doug;LP;M;31817;43.31;3.17
NSW;Dobell;997;;;OTH;;0;0.00;-3.09
NSW;Eden-Monaro;1;;BROWN, Irene;AFI;F;1374;1.90;1.90
NSW;Eden-Monaro;2;;FRASER, Peter;NLP;M;200;0.28;-0.39
NSW;Eden-Monaro;3;#;NAIRN, Gary;LP;M;33151;45.95;7.97
NSW;Eden-Monaro;4;;SNOW, Jim;ALP;M;27347;37.90;-9.30
NSW;Eden-Monaro;5;;ENDEAN, Nora;DEM;F;2592;3.59;3.59
NSW;Eden-Monaro;6;;TENNANT-WOOD, Robin;GRN;F;2548;3.53;3.53
NSW;Eden-Monaro;7;;HOWES, David Paul;CTA;M;615;0.85;0.85
NSW;Eden-Monaro;8;;LOYDELL, Robyn;IND;F;4320;5.99;5.99
NSW;Eden-Monaro;901;;;NP;;0;0.00;-7.38
NSW;Eden-Monaro;997;;;OTH;;0;0.00;-6.78
NSW;Farrer;1;;WHITFIELD, Peter Clarence;IND;M;1337;1.88;1.88
NSW;Farrer;2;;EVERINGHAM, John;CTA;M;1047;1.47;1.47
NSW;Farrer;3;;CLANCY, John R;DEM;M;3043;4.27;-0.56
NSW;Farrer;4;;SUMMERS, Lynda;ALP;F;17563;24.67;-5.06
NSW;Farrer;5;#;FISCHER, Tim;NP;M;47231;66.34;0.90
NSW;Farrer;6;;DOWNING, Luke Stephen;IND;M;979;1.37;1.38
NSW;Fowler;1;;CENATIEMPO, Stephen;LP;M;19630;26.40;5.48
NSW;Fowler;2;#;GRACE, Ted;ALP;M;45408;61.06;-7.75
NSW;Fowler;3;;MALONE, Ken;AFI;M;3117;4.19;4.19
NSW;Fowler;4;;VAN OOSTVEEN, Lucia;NLP;F;738;0.99;-0.21
NSW;Fowler;5;;STEVENS, Mark A;DEM;M;5476;7.36;7.36
NSW;Fowler;997;;;OTH;;0;0.00;-9.08
NSW;Gilmore;1;;MCGRATH, Joanne Margaret;DEM;F;3449;4.80;1.35
NSW;Gilmore;2;;CHAPPELL, Charles;CTA;M;1117;1.56;1.56
NSW;Gilmore;3;;KEIGHLEY, Rosemary;NLP;F;220;0.31;0.08
NSW;Gilmore;4;#;GASH, Joanna;LP;F;36261;50.51;8.76
NSW;Gilmore;5;;KNOTT, Peter John;ALP;M;27503;38.31;-4.38
NSW;Gilmore;6;;ROTHSCHILD, David;GRN;M;2039;2.84;-1.88
NSW;Gilmore;7;;DELL, Tom;IND;M;1195;1.66;1.66
NSW;Gilmore;907;;;NP;;0;0.00;-5.05
NSW;Gilmore;997;;;OTH;;0;0.00;-2.09
NSW;Grayndler;1;;MANSOUR, Morris;LP;M;17584;23.59;0.42
NSW;Grayndler;2;;RYDE, Jenny;GRN;F;3419;4.59;-1.45
NSW;Grayndler;3;#;ALBANESE, Anthony;ALP;M;37623;50.48;-12.57
NSW;Grayndler;4;;POULSEN, Ron;;M;208;0.28;0.28
NSW;Grayndler;5;;SHARAH, Alex;CTA;M;766;1.03;0.16
NSW;Grayndler;6;;MENDELSSOHN, David;DEM;M;3715;4.98;2.20
NSW;Grayndler;7;;BUTLER, Kate;IND;F;751;1.01;1.01
NSW;Grayndler;8;;BUTLER, Kevin;NAN;M;10142;13.61;13.61
NSW;Grayndler;9;;HAYNES, Tom;NLP;M;321;0.43;-0.24
NSW;Grayndler;997;;;OTH;;0;0.00;-3.42
NSW;Greenway;1;;RYDER, J.S.;NLP;M;1602;2.17;0.73
NSW;Greenway;2;;CLANCY, Bill;DEM;M;6128;8.29;3.69
NSW;Greenway;3;#;MOSSFIELD, Frank;ALP;M;32297;43.69;-15.14
NSW;Greenway;4;;BAWDEN, Bob;CTA;M;2408;3.26;0.27
NSW;Greenway;5;;BURAKOWSKI, Vicki;LP;F;28122;38.04;5.89
NSW;Greenway;6;;BATES, John;AFI;M;3369;4.56;4.56
NSW;Gwydir;1;;PERRETT, Jim;IND;M;2914;4.19;4.19
NSW;Gwydir;2;;GRAHAM, Anne;DEM;F;3634;5.22;5.22
NSW;Gwydir;3;#;ANDERSON, John;NP;M;43385;62.32;5.19
NSW;Gwydir;4;;CURLEY, John Matthew;ALP;M;19680;28.27;-9.28
NSW;Gwydir;903;;;CAP;;0;0.00;-5.31
NSW;Hughes;1;#;VALE, Danna;LP;F;38211;48.98;10.74
NSW;Hughes;2;;HALLIDAY, Martha;IND;F;1498;1.92;1.92
NSW;Hughes;3;;ALLEN, Steve;GRN;M;2517;3.23;3.23
NSW;Hughes;4;;DERRICK, Christopher;CTA;M;1571;2.01;-0.37
NSW;Hughes;5;;TICKNER, Robert;ALP;M;29690;38.05;-13.79
NSW;Hughes;6;;KOPPELHUBER, Robert;DEM;M;4534;5.81;1.86
NSW;Hughes;905;;;NLP;;0;0.00;-0.39
NSW;Hughes;997;;;OTH;;0;0.00;-3.20
NSW;Hume;1;;COX, Dave;DEM;M;4001;5.58;3.02
NSW;Hume;2;;WATCHIRS, Kevin Vernon;GRN;M;1876;2.61;2.61
NSW;Hume;3;#;SHARP, John;NP;M;40921;57.04;23.44
NSW;Hume;4;;HEWSON, Tony;ALP;M;24943;34.77;-7.02
NSW;Hume;904;;;LP;;0;0.00;-19.20
NSW;Hume;997;;;OTH;;0;0.00;-2.85
NSW;Hunter;1;;JOHNSEN, Michael;NP;M;26767;37.04;19.64
NSW;Hunter;2;#;FITZGIBBON, Joel;ALP;M;36674;50.74;-9.85
NSW;Hunter;3;;BENNISON, Rod;DEM;M;3672;5.08;5.08
NSW;Hunter;4;;VAUGHAN, Jenny;GRN;F;3000;4.15;4.15
NSW;Hunter;5;;BURKE, Bernard;IND;M;2160;2.99;2.99
NSW;Hunter;901;;;NLP;;0;0.00;-2.82
NSW;Hunter;902;;;LP;;0;0.00;-19.19
NSW;Kingsford-Smith;1;;BRIEGER, Christopher Martin;DEM;M;5523;7.68;4.09
NSW;Kingsford-Smith;2;;HAYNES, Suzi;NLP;F;484;0.67;0.10
NSW;Kingsford-Smith;3;#;BRERETON, Laurie;ALP;M;37098;51.58;-7.58
NSW;Kingsford-Smith;4;;MARSHALL, Ted;;M;278;0.39;0.39
NSW;Kingsford-Smith;5;;BILYANA, Yabu;;M;254;0.35;0.35
NSW;Kingsford-Smith;6;;OXLEY, Jeremy;GRN;M;3103;4.31;0.21
NSW;Kingsford-Smith;7;;XENOS, John;LP;M;25190;35.02;3.25
NSW;Kingsford-Smith;997;;;OTH;;0;0.00;-0.81
NSW;Lindsay;1;;EDWARDS, Lesley;GRN;F;3299;4.41;4.41
NSW;Lindsay;2;;WILSON, John A.;DEM;M;4929;6.59;6.59
NSW;Lindsay;3;#;KELLY, Jackie;LP;F;31811;42.52;5.91
NSW;Lindsay;4;;COOKSLEY, Terry;AFI;M;2041;2.73;2.73
NSW;Lindsay;5;;GRIGG, Brian;CTA;M;1614;2.16;-2.68
NSW;Lindsay;6;;FREE, Ross;ALP;M;30168;40.32;-18.23
NSW;Lindsay;7;;DAVIDSON, Stephen Dwight David;IND;M;956;1.28;1.28
NSW;Lowe;1;;WOODS, Peter;IND;M;2279;3.13;0.72
NSW;Lowe;2;;PLUMB, Noel;DEM;M;3143;4.32;2.81
NSW;Lowe;3;;CALVERT, Michelle;NAN;F;2137;2.94;2.94
NSW;Lowe;4;;EASSON, Mary;ALP;F;28447;39.10;-8.41
NSW;Lowe;5;;LANE, Max;;M;167;0.23;0.23
NSW;Lowe;6;;HUGHES, Bob;NLP;M;204;0.28;0.07
NSW;Lowe;7;#;ZAMMIT, Paul;LP;M;33966;46.68;5.12
NSW;Lowe;8;;WOOD, Katie;CTA;F;782;1.07;0.40
NSW;Lowe;9;;HINE, Doug;GRN;M;1367;1.88;1.88
NSW;Lowe;10;;ALLEN, Dave;IND;M;271;0.37;0.37
NSW;Lowe;906;;;AFI;;0;0.00;-0.99
NSW;Lowe;911;;;GLO;;0;0.00;-2.52
NSW;Lowe;997;;;OTH;;0;0.00;-2.61
NSW;Lyne;1;;WEATE, John;ALP;M;21717;29.01;-11.62
NSW;Lyne;2;;ROWSELL, Marje;AFI;F;3237;4.32;4.32
NSW;Lyne;3;;RIACH, Rodger John;DEM;M;3379;4.51;1.73
NSW;Lyne;4;#;VAILE, Mark;NP;M;44056;58.85;32.16
NSW;Lyne;5;;RUSSELL, Susie;GRN;F;2478;3.31;3.31
NSW;Lyne;903;;;EFF;;0;0.00;-3.21
NSW;Lyne;904;;;LP;;0;0.00;-26.68
NSW;Macarthur;1;#;FAHEY, John;LP;M;40963;53.38;8.82
NSW;Macarthur;2;;FRASER, Peter;DEM;M;3714;4.84;4.84
NSW;Macarthur;3;;BETHUNE, Herb;IND;M;2563;3.34;-1.98
NSW;Macarthur;4;;WATKINS, Janet;AFI;F;2090;2.72;2.72
NSW;Macarthur;5;;AGIUS, Stephen;IND;M;275;0.36;0.36
NSW;Macarthur;6;;STREET, Colleen;IND;F;435;0.57;0.57
NSW;Macarthur;7;;KEARNEY, Vicki;GRN;F;2132;2.78;2.78
NSW;Macarthur;8;;LOWRY, Noel;ALP;M;24570;32.02;-14.50
NSW;Macarthur;997;;;OTH;;0;0.00;-3.60
NSW;Mackellar;1;;DIMOND, Vicki;DEM;F;8188;10.95;3.87
NSW;Mackellar;2;;BRISTOW, Rick;CTA;M;1369;1.83;0.10
NSW;Mackellar;3;;BRIDGE, John;AFI;M;2909;3.89;3.89
NSW;Mackellar;4;;MCLOUGHLIN, Ross;ALP;M;14590;19.51;-13.73
NSW;Mackellar;5;#;BISHOP, Bronwyn;LP;F;40886;54.66;-1.95
NSW;Mackellar;6;;SMITH, Rodney;RARI;M;631;0.84;0.84
NSW;Mackellar;7;;DORIC, Stephen;NLP;M;144;0.19;-1.16
NSW;Mackellar;8;;CAIRNS, Chris;GRN;M;3236;4.33;4.33
NSW;Mackellar;9;;ELLIS, Anne;IND;F;2848;3.81;3.81
NSW;Macquarie;1;#;BARTLETT, Kerry;LP;M;35199;48.09;3.73
NSW;Macquarie;2;;GAUL, Carol;GRN;F;2782;3.80;0.01
NSW;Macquarie;3;;DEAHM, Maggie;ALP;F;24614;33.63;-8.85
NSW;Macquarie;4;;MCCALL, John;IND;M;906;1.24;1.24
NSW;Macquarie;5;;KRAUS, Heather;CTA;F;1753;2.40;2.40
NSW;Macquarie;6;;RICKARD, Jon;DEM;M;6127;8.37;1.72
NSW;Macquarie;7;;TYLER, Warwick;AFI;M;1806;2.47;2.47
NSW;Macquarie;904;;;NLP;;0;0.00;-0.50
NSW;Macquarie;997;;;OTH;;0;0.00;-2.20
NSW;Mitchell;1;;PETTITT, Tony;AFI;M;2688;3.73;3.73
NSW;Mitchell;2;;LEWIS, Erica;ALP;F;13790;19.16;-9.03
NSW;Mitchell;3;;HUTCHINSON, John;RARI;M;699;0.97;0.97
NSW;Mitchell;4;;PRICE, Penny;NLP;F;338;0.47;0.47
NSW;Mitchell;5;;KRASON, Colleen;DEM;F;5930;8.24;2.81
NSW;Mitchell;6;#;CADMAN, Alan;LP;M;48541;67.43;2.54
NSW;Mitchell;902;;;CAP;;0;0.00;-1.49
NSW;Newcastle;1;;BURGESS, Cathy;GRN;F;6288;8.72;1.38
NSW;Newcastle;2;;WELSH, Ivan;LP;M;21938;30.43;2.93
