House of Representatives - 1993 Election			
Members Elected			
(Listed alphabetically by division)			


Division	State	Member	Party
Adelaide	SA	Trish Worth	LP
Aston	VIC	Peter Nugent	LP
Ballarat	VIC	Michael Ronaldson	LP
Banks	NSW	Daryl Melham	ALP
Barker	SA	Ian McLachlan	LP
Barton	NSW	Gary Punch	ALP
Bass	TAS	Silvia Smith	ALP
Batman	VIC	Brian Howe	ALP
Bendigo	VIC	Bruce Reid	LP
Bennelong	NSW	John Howard	LP
Berowra	NSW	Philip Ruddock	LP
Blaxland	NSW	Paul Keating	ALP
Bonython	SA	Martyn Evans	ALP
Boothby	SA	Steele Hall	LP
Bowman	QLD	Con Sciacca	ALP
Braddon	TAS	Chris Miles	LP
Bradfield	NSW	David Connolly	LP
Brand	WA	Wendy Fatin	ALP
Brisbane	QLD	Arch Bevis	ALP
Bruce	VIC	Julian Beale	LP
Burke	VIC	Neil O'Keefe	ALP
Calare	NSW	David Simmons	ALP
Calwell	VIC	Andrew Theophanous	ALP
Canberra	ACT	Brendan Smyth	ALP
Canning	WA	George Gear	ALP
Capricornia	QLD	Marjorie Henzell	ALP
Casey	VIC	Bob Halverson	LP
Charlton	NSW	Bob Brown	ALP
Chifley	NSW	Roger Price	ALP
Chisholm	VIC	Michael Wooldridge	LP
Cook	NSW	Don Dobie	LP
Corangamite	VIC	Stewart McArthur	LP
Corinella	VIC	Alan Griffin	ALP
Corio	VIC	Gavan O'Connor	ALP
Cowan	WA	Richard Evans	LP 
Cowper	NSW	Garry Nehl	NP
Cunningham	NSW	Stephen Martin	ALP
Curtin	WA	Allan Rocher	LP 
Dawson	QLD	Ray Braithwaite	NP
Deakin	VIC	Ken Aldred	LP
Denison	TAS	Duncan Kerr	ALP
Dickson	QLD	Michael Lavarch	ALP
Dobell	NSW	Michael Lee	ALP
Dunkley	VIC	Bob Chynoweth	ALP
Eden-Monaro	NSW	Jim Snow	ALP
Fadden	QLD	David Jull	LP
Fairfax	QLD	Alex Somlyay	LP
Farrer	NSW	Tim Fischer	NP
Fisher	QLD	Peter Slipper	LP
Flinders	VIC	Peter Reith	LP
Forde	QLD	Mary Crawford	ALP
Forrest	WA	Geoffrey Prosser	LP
Fowler	NSW	Ted Grace	ALP
Franklin	TAS	Harry Quick	ALP
Fraser	ACT	John Langmore	ALP
Fremantle	WA	Carmen Lawrence	ALP
Gellibrand	VIC	Ralph Willis	ALP
Gilmore	NSW	Peter Knott	ALP 
Gippsland	VIC	Peter McGauran	NP
Goldstein	VIC	David Kemp	LP
Grayndler	NSW	Jeannette McHugh	ALP
Greenway	NSW	Russ Gorman	ALP
Grey	SA	Barry Wakelin	LP
Griffith	QLD	Ben Humphreys	ALP
Groom	QLD	Bill Taylor	LP
Gwydir	NSW	John Anderson	NP
Herbert	QLD	Eamon Lindsay	ALP
Higgins	VIC	Peter Costello	LP
Hindmarsh	SA	Chris Gallus	LP
Hinkler	QLD	Paul Neville	NP
Holt	VIC	Michael Duffy	ALP
Hotham	VIC	Simon Crean	ALP
Hughes	NSW	Robert Tickner	ALP
Hume	NSW	John Sharp	NP
Hunter	NSW	Eric Fitzgibbon	ALP
Indi	VIC	Lou Lieberman	LP
Isaacs	VIC	Rod Atkinson	LP
Jagajaga	VIC	Peter Staples	ALP
Kalgoorlie	WA	Graeme Campbell	ALP
Kennedy	QLD	Bob Katter	NP
Kingsford-Smith	NSW	Laurie Brereton	ALP
Kingston	SA	Gordon Bilney	ALP
Kooyong	VIC	Petro Georgiou	LP
Lalor	VIC	Barry Jones	ALP
La Trobe	VIC	Bob Charles	LP
Leichhardt	QLD	Peter Dodd	ALP
Lilley	QLD	Wayne Swan	ALP
Lindsay	NSW	Ross Free	ALP
Lowe	NSW	Mary Easson	ALP
Lyne	NSW	Mark Vaile	NP
Lyons	TAS	Dick Adams	ALP
Macarthur	NSW	Chris Haviland	ALP
McEwen	VIC	Peter Cleeland	ALP
Mackellar	NSW	Bronwyn Bishop	LP
Macquarie	NSW	Maggie Deahm	ALP
McMillan	VIC	Barry Cunningham	ALP
McPherson	QLD	John Bradford	LP
Makin	SA	Peter Duncan	ALP
Mallee	VIC	John Forrest	NP
Maranoa	QLD	Bruce Scott	NP
Maribyrnong	VIC	Alan Griffiths	ALP
Mayo	SA	Alexander Downer	LP
Melbourne	VIC	Lindsay Tanner	ALP
Melbourne Ports	VIC	Clyde Holding	ALP
Menzies	VIC	Kevin Andrews	LP 
Mitchell	NSW	Alan Cadman	LP
Moncrieff	QLD	Kathy Sullivan	LP
Moore	WA	Paul Filing	LP
Moreton	QLD	Garrie Gibson	ALP
Murray	VIC	Bruce Lloyd	NP
Newcastle	NSW	Allan Morris	ALP
New England	NSW	Ian Sinclair	NP
North Sydney	NSW	Ted Mack	IND
Northern Territory	NT	Warren Snowdon	ALP
O'Connor	WA	Wilson Tuckey	LP
Oxley	QLD	Les Scott	ALP
Page	NSW	Harry Woods	ALP
