House of Representatives - 1993 Election		
Seats Decided on Preferences		
		

New South Wales (16)		
Cook	Lyne	Parkes
Cowper	Macarthur	Parramatta
Eden-Monaro	Macquarie	Paterson
Gilmore	North Sydney	Richmond
Hume	Page	Riverina
Lowe		
		
		
Victoria (12)		
Aston	Dunkley	McMillan
Ballarat	Indi	Mallee
Bendigo	La Trobe	Melbourne Ports
Deakin	McEwen	Wills
		
		
Queensland (19)		
Brisbane	Griffith	Lilley
Capricornia	Groom	McPherson
Dawson	Herbert	Moreton
Dickson	Hinkler	Petrie
Fadden	Kennedy	Rankin
Fairfax	Leichhardt	Wide Bay
Fisher		
		
		
Western Australia (6)		
Brand	Cowan	Stirling
Canning	Perth	Swan
		
		
South Australia (6)		
Adelaide	Hindmarsh	Makin
Grey	Kingston	Sturt
		
		
Tasmania (4)		
Bass	Franklin	Lyons
Braddon		
		
		
Total: 63 seats decided on preferences		
