House of Representatives - 1993 Election		
Swing to ALP		
By Division in Descending Order of Swing		


Division	State	Swing
Wills	VIC	12.27
Maribyrnong	VIC	11.51
Calwell	VIC	11.37
Franklin	TAS	9.64
Scullin	VIC	9.23
Blaxland	NSW	9.1
Hotham	VIC	8.78
Denison	TAS	8.45
Lalor	VIC	8.38
Gellibrand	VIC	6.87
Burke	VIC	6.66
Melbourne	VIC	6.27
Watson	NSW	6.14
Batman	VIC	6.03
Lyons	TAS	5.72
Prospect	NSW	5.59
Braddon	TAS	5.41
Grayndler	NSW	5.34
Lyne	NSW	5.21
Throsby	NSW	5.08
Menzies	VIC	5.02
Hunter	NSW	4.87
McMillan	VIC	4.84
Barton	NSW	4.57
Bass	TAS	4.54
Corinella	VIC	4.47
Mallee	VIC	4.46
Lowe	NSW	4.45
Greenway	NSW	4.4
Sydney	NSW	4.38
Bruce	VIC	4.24
Fowler	NSW	4.2
Kingsford-Smith	NSW	4.12
Reid	NSW	4.05
Bennelong	NSW	3.96
McEwen	VIC	3.9
Corangamite	VIC	3.82
Canberra	ACT	3.82
Parkes	NSW	3.8
Melbourne Ports	VIC	3.8
Chisholm	VIC	3.41
Wannon	VIC	3.39
Paterson	NSW	3.27
Holt	VIC	3.16
Cunningham	NSW	2.97
Corio	VIC	2.97
Cook	NSW	2.95
Banks	NSW	2.91
Murray	VIC	2.86
Jagajaga	VIC	2.82
Isaacs	VIC	2.74
Aston	VIC	2.71
Gippsland	VIC	2.64
Calare	NSW	2.58
Robertson	NSW	2.56
Parramatta	NSW	2.46
Casey	VIC	2.26
Forde	QLD	2.22
Charlton	NSW	2.09
Macquarie	NSW	1.9
Chifley	NSW	1.82
Dunkley	VIC	1.81
Fraser	ACT	1.78
Werriwa	NSW	1.69
Higgins	VIC	1.69
Oxley	QLD	1.64
Shortland	NSW	1.54
Cowper	NSW	1.5
Mitchell	NSW	1.36
Indi	VIC	1.32
Richmond	NSW	1.26
Gilmore	NSW	1.24
Bendigo	VIC	1.08
Deakin	VIC	1.08
Perth	WA	0.97
Hume	NSW	0.84
McPherson	QLD	0.83
Fadden	QLD	0.75
Kooyong	VIC	0.74
Newcastle	NSW	0.67
Warringah	NSW	0.59
Lindsay	NSW	0.54
Mackellar	NSW	0.51
North Sydney	NSW	0.46
Goldstein	VIC	0.42
Hughes	NSW	0.37
Farrer	NSW	0.34
Northern Territory		0.29
Makin	SA	0.28
Moncrieff	QLD	0.21
Pearce	WA	0.17
Berowra	NSW	0.05
Flinders	VIC	0.05
Griffith	QLD	-0.04
Gwydir	NSW	-0.05
Eden-Monaro	NSW	-0.07
Tangney	WA	-0.1
Moreton	QLD	-0.12
Brisbane	QLD	-0.16
Kalgoorlie	WA	-0.29
Ballarat	VIC	-0.32
Port Adelaide	SA	-0.35
Bradfield	NSW	-0.45
Lilley	QLD	-0.46
Rankin	QLD	-0.49
Fremantle	WA	-0.51
Dobell	NSW	-0.57
Bowman	QLD	-0.61
Page	NSW	-0.66
Riverina	NSW	-0.67
Wentworth	NSW	-0.67
Petrie	QLD	-0.84
Bonython	SA	-0.92
La Trobe	VIC	-1.01
Mayo	SA	-1.01
Sturt	SA	-1.04
Macarthur	NSW	-1.33
Brand	WA	-1.49
Canning	WA	-1.58
Stirling	WA	-1.64
Groom	QLD	-1.69
Cowan	WA	-1.78
Moore	WA	-1.81
Forrest	WA	-1.82
Fairfax	QLD	-2.02
O'Connor	WA	-2.11
Swan	WA	-2.13
Fisher	QLD	-2.21
Barker	SA	-2.27
Curtin	WA	-2.41
Leichhardt	QLD	-2.42
Ryan	QLD	-2.48
Dickson	QLD	-2.53
Hindmarsh	SA	-2.61
Herbert	QLD	-2.63
Kingston	SA	-2.85
Adelaide	SA	-3.15
Boothby	SA	-3.29
Dawson	QLD	-3.68
New England	NSW	-3.92
Grey	SA	-4.11
Wide Bay	QLD	-4.12
Hinkler	QLD	-4.62
Maranoa	QLD	-4.64
Capricornia	QLD	-4.68
Kennedy	QLD	-4.78
Wakefield	SA	-4.91
