House of Representatives - 1993 Election																																					
Nomination Numbers by Gender																																					

																																					
		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
AFI	1		1		1		1																										2		2		4
AIP									7		2																						7		2		9
ALP	42		8		32		6		19		6		11		3		11		1		4		1		1		1		1				121		26		147
ASG																									1								1		0		1
CAP	8								22		2						1																31		2		33
CCG	1																																1		0		1
CEG	1				1				1																								3		0		3
CLP																													1				1		0		1
CTA	14		2		7		4						4				4		3		1												30		9		39
DEM	30		7		32		5		15		10		9		5		7		5		4		1		2								99		33		132
EFF	2		1		1																												3		1		4
ESG	1																																1		0		1
GDA																									1								1		0		1
GLO	1																																1		0		1
GRN	5		6				1																										5		7		12
GRY																	1		1														1		1		2
GSA																	1																1		0		1
GWA													7		7																		7		7		14
IND	51		10		18		6		29		1		9		2		22		4		1				4								134		23		157
LP	41		4		27		9		21		4		12		2		10		2		5				2								118		21		139
NLP	24		13		19		19		3		4		4		7		8		4						1		1						59		48		107
NP	15				4				20		5		1				1																41		5		46
QG									13		12																						13		12		25
RCG			1																														0		1		1
RCL	1																																1		0		1
TG																					4		1										4		1		5
WSG			1																														0		1		1
OTH	10		7		14		5		6		4		1		1		3		1				1				1						34		20		54
Sub-Total	248		61		156		56		156		50		58		27		69		21		19		4		12		3		2		0		720		222		942
TOTAL		309				212				206				85				90				23				15				2				942			942
