House of Representatives - 1993 Election 																
First Preference Votes																
By Vote Type by Party by State																
 																

National																
Enrolment 11384638																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	139	139	49	3388659	36.54	219675	36.15	11362	26.1	143251	41.37	125625	41.22	7	3888579	36.77
NP	46	46	16	659422	7.11	42122	6.93	2779	6.38	22681	6.55	31028	10.18	4	758036	7.17
ALP	147	147	80	4212959	45.42	257670	42.4	23449	53.87	137809	39.79	119511	39.21	-8	4751390	44.92
CLP	1	1	0	31197	0.34	0	0	236	0.54	2517	0.73	1257	0.41	0	35207	0.33
DEM	132	132	0	340582	3.67	30131	4.96	1473	3.38	14488	4.18	10401	3.41	-15	397060	3.75
GRN	12	12	0	35718	0.39	3407	0.56	532	1.22	1331	0.38	696	0.23	0	41684	0.39
CTA	39	39	0	43241	0.47	3388	0.56	204	0.47	1454	0.42	1184	0.39	4	49467	0.47
Other	144	427	2	562787	6.07	51248	8.43	3493	8.02	22773	6.58	15068	4.94	-13	655356	6.2
FORMAL				9274565	96.97	607641	96.79	43528	94.86	346304	97.84	304770	98.82	-29	10576779	97.03
INFORMAL				290217	3.03	20135	3.21	2358	5.14	7649	2.16	3642	1.18	81	324082	2.97
TOTAL				9564782	87.74	627776	5.76	45886	0.42	353953	3.25	308412	2.83	52	10900861	95.75


New South Wales																
Enrolment 3814932																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	45	45	8	980468	31.56	65060	31.02	5936	23.54	42318	37.38	33500	35.93	9	1127291	31.77
NP	15	15	8	300380	9.67	19442	9.27	2195	8.7	11661	10.3	12511	13.42	2	346191	9.76
ALP	50	50	33	1518122	48.86	97377	46.43	13849	54.91	46260	40.86	38897	41.72	7	1714512	48.32
DEM	37	37	0	85212	2.74	7561	3.6	658	2.61	3730	3.29	2657	2.85	-1	99817	2.81
GRN	11	11	0	32766	1.05	3204	1.53	524	2.08	1244	1.1	629	0.67	0	38367	1.08
CTA	16	16	0	18870	0.61	1559	0.74	133	0.53	675	0.6	530	0.57	-3	21764	0.61
Other	48	135	1	171232	5.51	15539	7.41	1925	7.63	7326	6.47	4518	4.85	-4	200536	5.65
FORMAL				3107050	96.84	209742	96.69	25220	95.08	113214	97.72	93242	98.85	10	3548478	96.9
INFORMAL				101441	3.16	7187	3.31	1305	4.92	2637	2.28	1084	1.15	10	113664	3.1
TOTAL				3208491	87.61	216929	5.92	26525	0.72	115851	3.16	94326	2.58	20	3662142	95.99


Victoria																
Enrolment 2932640																

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal			Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Adj	Votes	%
LP	36	36	17	962343	39.75	57949	39.21	2397	31.28	38968	47.03	41309	49.49	-1	1102965	40.21
