House of Representatives - 1993 Election							
Two Party Preferred Statistics							
By Division							

National Summary							
			Coalition				
State	ALP		(LP/NP/CLP)		Total	Swing	Exh
	Votes	%	Votes	%			
New South Wales	1928635	54.38	1617712	45.62	3546347	2.25	2131
Victoria	1419835	51.8	1320898	48.2	2740733	4.34	2082
Queensland	884426	48.43	941709	51.57	1826135	-1.76	1189
Western Australia	445462	46.02	522580	53.98	968042	-1.11	551
South Australia	436650	47.33	485892	52.67	922542	-2.17	1133
Tasmania	167780	54.65	139239	45.35	307019	6.75	121
Australian Capital Territory	110055	61.19	69796	38.81	179851	2.65	118
Northern Territory	43578	55.31	35207	44.69	78785	0.29	0

Australia	5436421	51.44	5133033	48.56	10569454	1.54	7325


New South Wales							

Division	ALP		LP/NP		Total	Swing	Exh
	Votes	%	Votes	%			
Banks	44675	60.54	29117	39.46	73792	2.91	38
Barton	43994	59.39	30077	40.61	74071	4.57	37
Bennelong	34629	46.81	39341	53.19	73970	3.96	47
Berowra	28216	37.8	46433	62.2	74649	0.05	17
Blaxland	50283	72.1	19461	27.9	69744	9.1	61
Bradfield	20020	26.96	54247	73.04	74267	-0.45	10
Calare	39005	54.06	33142	45.94	72147	2.58	73
Charlton	49215	67.1	24127	32.9	73342	2.09	19
Chifley	50214	72.57	18976	27.43	69190	1.82	44
Cook	34261	46.53	39367	53.47	73628	2.95	36
Cowper	31311	45.94	36846	54.06	68157	1.5	45
Cunningham	47485	67.91	22440	32.09	69925	2.97	66
Dobell	39140	56.82	29746	43.18	68886	-0.57	5
Eden-Monaro	37036	54.28	31199	45.72	68235	-0.07	44
Farrer	22615	32.57	46829	67.43	69444	0.34	5
Fowler	49979	72	19437	28	69416	4.2	44
Gilmore	33721	50.45	33115	49.55	66836	1.24	58
Grayndler	52589	72.81	19638	27.19	72227	5.34	98
Greenway	44316	63.42	25556	36.58	69872	4.4	21
Gwydir	28442	39.73	43147	60.27	71589	-0.05	86
Hughes	39949	56.42	30855	43.58	70804	0.37	14
Hume	32975	46.3	38244	53.7	71219	0.84	29
Hunter	45414	63.92	25638	36.08	71052	4.87	23
Kingsford-Smith	45611	65.24	24303	34.76	69914	4.12	48
Lindsay	41658	60.22	27513	39.78	69171	0.54	14
Lowe	39868	55.01	32610	44.99	72478	4.45	64
Lyne	31993	45.76	37918	54.24	69911	5.21	47
Macarthur	35258	51.28	33496	48.72	68754	-1.33	21
Mackellar	28193	38.84	44394	61.16	72587	0.51	12
Macquarie	34783	50.12	34619	49.88	69402	1.9	43
Mitchell	21149	31.33	46347	68.67	67496	1.36	28
Newcastle	48683	66.88	24107	33.12	72790	0.67	32
New England	28226	39.8	42693	60.2	70919	-3.92	22
North Sydney	30379	40.47	44681	59.53	75060	0.46	23
Page	36809	50.13	36616	49.87	73425	-0.66	142
Parkes	37105	49.47	37907	50.53	75012	3.8	35
Parramatta	38673	53.24	33966	46.76	72639	2.46	54
Paterson	37006	53.3	32421	46.7	69427	3.27	65
Prospect	46451	69.04	20834	30.96	67285	5.59	85
Reid	48579	68.8	22025	31.2	70604	4.05	45
Richmond	35598	51.77	33160	48.23	68758	1.26	42
Riverina	27147	37.07	46078	62.93	73225	-0.67	24
Robertson	37960	55.55	30369	44.45	68329	2.56	11
Shortland	46813	67.33	22713	32.67	69526	1.54	24
Sydney	49402	69.47	21708	30.53	71110	4.38	58
Throsby	49911	74.02	17515	25.98	67426	5.08	128
Warringah	29027	39.74	44007	60.26	73034	0.59	15
Watson	45355	64.84	24593	35.16	69948	6.14	67
