House of Representatives - 1993 Election				
National List of Candidates				

				
				
Candidate	Party		Division	State

"ABBOTT, John"	LP		Hinkler	QLD
"ABNETT, Geoff"	CAP		Oxley	QLD
"ABRAHAMSON, Iona"	NP		Fadden	QLD
"ADAMS, Dick"	ALP		Lyons	TAS
"ADAMSON, Greg"	GDA		Canberra	ACT
"ADKINS, Greg"	ALP		Deakin	VIC
"ALDOUS, Richard"	NLP		Chisholm	VIC
"ALDRED, Ken"	LP		Deakin	VIC
"ALLEN, Don"	IND		Wakefield	SA
"ALROE, Chris"	LP		Capricornia	QLD
"ALSOP, Ray"	NLP		Greenway	NSW
"ANDERSEN, Regine"	DEM		Barker	SA
"ANDERSON, Charles"	CAP		Mitchell	NSW
"ANDERSON, Donald F"	DEM		Wannon	VIC
"ANDERSON, John"	NP		Gwydir	NSW
"ANDERSON, Kevin Charles"	DEM		Denison	TAS
"ANDERSON, Troy"	DEM		Barton	NSW
"ANDREW, Neil"	LP		Wakefield	SA
"ANDREWS, Frank"	IND		Lilley	QLD
"ANDREWS, Kevin"	LP		Menzies	VIC
"ANTHONY, Larry"	NP		Richmond	NSW
"ARCHER, Phil"	ALP		Hume	NSW
"ARORA, Gloria"	LP		Fowler	NSW
"ATKINS, Max"	NP		Gilmore	NSW
"ATKINSON, Julie Maria"	NLP		Cook	NSW
"ATKINSON, Rod"	LP		Isaacs	VIC
"ATKINSON, Sallyanne"	LP		Rankin	QLD
"AUSSIE-STONE, Marcus"	IND		Blaxland	NSW
"AUSTEN, Brian"	DEM		Bass	TAS

"BACH, Willy"	QG		Ryan	QLD
"BACKHOUSE, William Ernest"			Deakin	VIC
"BAILEY, Fran"	LP		McEwen	VIC
"BAINES, Greg"	DEM		Newcastle	NSW
"BAKER, Andrew"	CAP		Wide Bay	QLD
"BALDING, Paul"	IND		Barton	NSW
"BALDWIN, Bob"	LP		Dobell	NSW
"BALDWIN, John"	IND		Charlton	NSW
"BALDWIN, Peter"	ALP		Sydney	NSW
"BARNES, Chris"	LP		Hunter	NSW
"BARNES, Richard"	NLP		Throsby	NSW
"BARRETT, John Gregory"	LP		Lyne	NSW
"BARRETT, Ken"	NLP		Tangney	WA
"BARRON, Alan J"	CTA		Deakin	VIC
"BARRY, Tom"	NP		Eden-Monaro	NSW
"BATTEN, Stan"	IND		Makin	SA
"BAWDEN, Alan"	IND		Dickson	QLD
"BAYET, Philippe"	CTA		Mayo	SA
"BEALE, Julian"	LP		Bruce	VIC
"BEARD, Mal"	CAP		Dickson	QLD
"BEATTIE-BURNETT, D. C."	QG		Moreton	QLD
"BEAZLEY, Kim"	ALP		Swan	WA
"BEDDALL, David"	ALP		Rankin	QLD
"BEGG, Zanny"			Wentworth	NSW
"BELL, Aidan"	IND		Corio	VIC
"BELL, Debbie"			Rankin	QLD
"BELL, John"	NLP		Maribyrnong	VIC
"BELLANTONIO, Carolynn"	LP		Lindsay	NSW
"BENJAMIN, Jennifer"	NLP		Perth	WA
"BENSON, Nada"			Gellibrand	VIC
"BERGHOFER, Garry W."	CAP		Groom	QLD
"BERRIMAN, Mark"	GRN		Sydney	NSW
"BESSELL, Daniel"	GWA		Canning	WA
"BETHUNE, Herb"	IND		Macarthur	NSW
"BEVIS, Arch"	ALP		Brisbane	QLD
"BICKLE, Frank"	QG		Bowman	QLD
"BIDSTRUP, David"	IND		Adelaide	SA
"BIGNELL, Chris"	CTA		Perth	WA
"BILNEY, Gordon"	ALP		Kingston	SA
"BILYANA, Yabu"			Chifley	NSW
"BLACKBURN, Paul"	NLP		Holt	VIC
"BLAINE, George"	LP		Oxley	QLD
"BLEFARI, Frank"	IND		Newcastle	NSW
"BLEWETT, Neal"	ALP		Bonython	SA
"BLURTON, Peter"	IND		Perth	WA
"BOLAND, Kate"	GWA		Stirling	WA
"BOLAND, Patricia"	NLP		Wentworth	NSW
"BOLTON, Sue"			Fraser	ACT
"BOSCHIN, Cathy"	NLP		McMillan	VIC
"BOUWER, Willem"	DEM		Curtin	WA
"BOYD, Cliff"	IND		Hindmarsh	SA
"BOYLAN, Francis Damien"	IND		Barker	SA
"BRADFORD, John"	LP		McPherson	QLD
"BRADY, Mark"	NLP		Ryan	QLD
"BRAITHWAITE, Ray"	NP		Dawson	QLD
"BRASSIL, Pat"	ALP		Riverina	NSW
"BREBNER, Barry"	ALP		Parkes	NSW
"BRERETON, Laurie"	ALP		Kingsford-Smith	NSW
"BREWSTER, Laurence"	LP		Charlton	NSW
"BRIDGEMAN, David"			Capricornia	QLD
"BROADBENT, Beverley"	DEM		Melbourne Ports	VIC
"BROADBENT, Russell Evan"	LP		Corinella	VIC
"BROOKFIELD, Ian"	LP		Bonython	SA
"BROWN, Bob"	ALP		Charlton	NSW
"BROWN, Bob"	ALP		Moncrieff	QLD
"BROWN, Bob"	TG		Denison	TAS
"BROWN, Libby"	DEM		Moore	WA
"BROWN, Malcolm"	DEM		Flinders	VIC
"BROWN, Robert"	NLP		Kingston	SA
"BROWN, Susan"	NLP		Makin	SA
"BRUNORO, Emile"	IND		Fraser	ACT
"BRYANT, Don"	DEM		Tangney	WA
"BRYANT, Joe"	EFF		Chifley	NSW
"BUCHANAN, Ian"	DEM		Hume	NSW
"BUCKLEY, Ben"	IND		Gippsland	VIC
"BUCKLEY, Joanne"	IND		Hughes	NSW
"BULL, Sue"			Prospect	NSW
"BURGETT, Ian"	ALP		Fisher	QLD
"BURNS, Michael"	DEM		Holt	VIC
"BURROWES, Ian"	CTA		Burke	VIC
"BURTMANIS, Egils"	IND		Kingston	SA
"BUTLER, Greg"	DEM		Gilmore	NSW
"BYERS, Alan"	IND		Prospect	NSW
"BYLEVELD, Norman L"	IND		Prospect	NSW

"CADMAN, Alan Glyndwr"	LP		Mitchell	NSW
"CAMERON, Eoin"	LP		Stirling	WA
"CAMILLERI, Micheal Anthony"	IND		Mayo	SA
"CAMINSCHI, Andrew"	IND		Swan	WA
"CAMPBELL, Graeme"	ALP		Kalgoorlie	WA
"CAMPBELL, Lorelle Maree"	QG		Hinkler	QLD
"CANNANE, Steve"	ALP		Warringah	NSW
"CANT, Paul"	CTA		Brand	WA
"CANTERBURY, Anne"	LP		Lalor	VIC
"CAPLICK, Judy"	ALP		Wide Bay	QLD
"CARLTON, James Joseph"	LP		Mackellar	NSW
"CARR, Geoff"	DEM		Batman	VIC
"CARR, Timothy"	NLP		Berowra	NSW
"CARRAILL, Stuart"	IND		North Sydney	NSW
"CARRICK, Trevor"	CTA		Blaxland	NSW
"CASHMORE, Dave"	LP		Kennedy	QLD
"CATLEY, Bob"	ALP		Adelaide	SA
"CAVEN, Veronica"	NLP		Ballarat	VIC
"CAVILL, Jim"	IND		Leichhardt	QLD
"CERRITELLI, Joe"	ALP		Higgins	VIC
"CHAMBERLAIN, Julie"	NLP		Werriwa	NSW
"CHAMBERS, Andrew"	CAP		Maranoa	QLD
"CHANDRA, Leslie Ram"	DEM		Bruce	VIC
"CHAPLIN, M"	NLP		Watson	NSW
"CHAPMAN, Christine Anne"	CTA		Aston	VIC
"CHAPPLE, Robin"	GWA		Kalgoorlie	WA
"CHARLES, Bob"	LP		La Trobe	VIC
"CHARLWOOD, Jan"	NLP		Flinders	VIC
"CHIPPERFIELD, Pamela"	NLP		Mayo	SA
"CHOJNACKI, Mariusz"	IND		Brisbane	QLD
"CHOVEAUX, Justin"	NP		Brisbane	QLD
"CHURCHES, David"	DEM		Forrest	WA
"CHYNOWETH, Bob"	ALP		Dunkley	VIC
"CIANFRANO, Robert David"	IND		Calare	NSW
"CLANCY, Bill"	DEM		Greenway	NSW
"CLARK, Terry William"	DEM		Hinkler	QLD
"CLARKE, Gerard Stanley"	LP		Maranoa	QLD
"CLARKE, Larry"	NLP		Melbourne	VIC
"CLARKE, Wayne"	ALP		Kooyong	VIC
"CLEARY, Philip"	IND		Wills	VIC
"CLEELAND, Peter"	ALP		McEwen	VIC
"COATES, Andrew"	IND		Lilley	QLD
"COBB, Michael"	NP		Parkes	NSW
"COGHLAN, Laurie"	LP		Shortland	NSW
"COLBERT, Andrew"	IND		Melbourne Ports	VIC
"CONNOLLY, David Miles"	LP		Bradfield	NSW
"CONNOR, Rex"	RCL		Throsby	NSW
"COOK, Terry"			Shortland	NSW
"COOMBES, John"	TG		Braddon	TAS
"COOPER, Dias"	DEM		Melbourne	VIC
"CORBLEY, Marion"	CAP		Forde	QLD
"COSTELLO, Peter"	LP		Higgins	VIC
"COURTICE, Brian William"	ALP		Hinkler	QLD
"COURTNEY-HOLLAND, Mark"	NLP		Bradfield	NSW
"COX, Dave"	IND		Hume	NSW
"CRAIK, Christine"			Melbourne Ports	VIC
"CRANNY, Jillian"	GRN		Cowper	NSW
"CRAVEN, Susan Anne"	ALP		Aston	VIC
"CRAWFORD, Mary"	ALP		Forde	QLD
"CREAN, Simon"	ALP		Hotham	VIC
"CRESSWELL, Barney"	LP		Perth	WA
"CROOKS, Fred"	CAP		Richmond	NSW
"CROSIO, Janice"	ALP		Prospect	NSW
"CROSSING, Bruce"	NP		Hunter	NSW
"CROSSLEY, L"	TG		Franklin	TAS
"CROWE, G R"	IND		Grey	SA
"CUMMINGS, Bill"	LP		Leichhardt	QLD
"CUMMINGS, Kate"	IND		Lowe	NSW
"CUNNINGHAM, Barry"	ALP		McMillan	VIC
"CURNOW, Tom"	CTA		Sturt	SA

"D'CRUZ, Cathryn"	NLP		Stirling	WA
"D'SOUZA, Nigel"			Batman	VIC
"DALGLIESH, Geoff"			Bennelong	NSW
"DARBY, Michael"	IND		Dickson	QLD
"DARVILLE, Harry"	QG		Fadden	QLD
"DAVARIS, Paul"	CTA		Banks	NSW
"DAVIES, Diana"	NLP		Curtin	WA
"DAVIS, Brian Robert"	IND		Calare	NSW
"DAWKINS, John"	ALP		Fremantle	WA
"DAWSON, Bob"	DEM		Sydney	NSW
"DAWSON, John Craig"	IND		Bennelong	NSW
"DAY, Brian"	DEM		Dobell	NSW
"DE ANGELIS, Peter Marlon"	ALP		Menzies	VIC
"DE BRENNI, Allan. R."	NP		McPherson	QLD
"DE CAEN, Rob"	DEM		Ballarat	VIC
"DE CHELLIS, Marco"	ALP		Sturt	SA
"DE FEGELY, Rob"	LP		Eden-Monaro	NSW
"DE LA HUNTY, Shirley"	IND		Canning	WA
"DE RIDDER, Saeed"	QG		Kennedy	QLD
"DE WAN, Gabrielle"	NLP		Hotham	VIC
"DEAHM, Maggie"	ALP		Macquarie	NSW
"DEAN, Ron K"	IND		Hindmarsh	SA
"DEAN, Shane"			Moreton	QLD
"DEANE, Sue"	ALP		Berowra	NSW
"DENNISON, Cyril"	IND		Lilley	QLD
"DEVENNEY, Ruth"	IND		Gilmore	NSW
"DEVEREUX, Peter M"	ALP		Ballarat	VIC
"DI TEMPORA, Nicolas"	NLP		Bruce	VIC
"DICKINS, Joan"	NLP		Batman	VIC
"DICKINS, Michael"	NLP		Burke	VIC
"DICKS, Norm"	IND		Brand	WA
"DICKSON, Alan L"	DEM		Forde	QLD
"DICKSON, Steven L"	IND		Griffith	QLD
"DIK, Otto"	GWA		Cowan	WA
"DISNEY, Simon"	DEM		Warringah	NSW
"DOBIE, Don"	LP		Cook	NSW
"DOBINSON, John"	DEM		Menzies	VIC
"DOBSON, Eva"	IND		Makin	SA
"DODD, Peter"	ALP		Leichhardt	QLD
"DORIC, Stephen"	NLP		Reid	NSW
"DORING, Robert Melville"	CAP		Brisbane	QLD
"DOUST, Jon"			Curtin	WA
"DOVE, Warwick"			Kingsford-Smith	NSW
"DOWDING, Teresa"			Denison	TAS
"DOWNER, Alexander"	LP		Mayo	SA
"DOYLE, Greg"	IND		Eden-Monaro	NSW
"DRIVER, Dennis"	ALP		Lyne	NSW
"DUFFY, Michael"	ALP		Holt	VIC
"DUNCAN, Peter"	ALP		Makin	SA
"DUNN, Martin"	LP		Fraser	ACT
"DUNNE, John Forrest"	IND		O'Connor	WA
"DURAND, Dorothy"	CTA		Makin	SA
"DUROVIC, Susan"	IND		Wentworth	NSW
