House of Representatives - 1993 Election									
Votes Counted by Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
New South Wales	3814932	3208491	216929	94326	115851	26525	20	3662142	95.99
Victoria	2932640	2493130	152497	84372	84524	8087	16	2822626	96.25
Queensland	1971729	1628749	113892	67083	63597	3121	17	1876459	95.17
Western Australia	1038968	873875	70746	19247	25847	3870	0	993585	95.63
South Australia	1014400	857025	53946	26351	24058	1384	-1	962763	94.91
Tasmania	327919	282035	16027	9239	8153	320	0	315774	96.30
Australian Capital Territory	192487	148187	3739	5647	26861	1775	0	186209	96.74
Northern Territory	91563	73290	0	2147	5062	804	0	81303	88.79
NATIONAL TOTAL	11384638	9564782	627776	308412	353953	45886	52	10900861	95.75
									
									
New South Wales									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Banks	79242	67372	4741	2053	1997	260	0	76423	96.44
Barton	80185	68416	3862	1947	2510	491	0	77226	96.31
Bennelong	79036	66647	4599	2214	2355	320	0	76135	96.33
Berowra	79538	65973	4597	1911	3846	293	0	76620	96.33
Blaxland	76955	65929	3961	1548	1533	532	0	73503	95.51
Bradfield	79193	65856	4426	2058	3685	195	0	76220	96.25
Calare	75897	64407	4724	2512	1213	714	0	73570	96.93
Charlton	77970	66359	4292	1857	2859	443	0	75810	97.23
Chifley	76187	64973	4610	771	1646	694	0	72694	95.42
Cook	78050	65546	4458	1840	3262	440	0	75546	96.79
Cowper	72758	60545	4232	1677	2547	713	0	69714	95.82
Cunningham	75134	64629	3404	1852	1996	529	0	72410	96.37
Dobell	72511	60251	4779	1785	3011	517	0	70343	97.01
Eden-Monaro	73191	60747	3098	2768	2708	678	0	69999	95.64
Farrer	74250	62955	2076	2675	3177	553	0	71436	96.21
Fowler	77164	66041	4034	971	1369	856	0	73271	94.95
Gilmore	70480	59366	3806	2147	2530	528	0	68377	97.02
Grayndler	80895	66462	5002	1489	1974	866	0	75793	93.69
Greenway	75426	64819	4268	1185	1884	458	0	72614	96.27
Gwydir	76706	63071	5941	2255	1794	613	0	73674	96.05
Hughes	74826	63823	4741	1400	2394	359	0	72717	97.18
Hume	75091	63145	4636	2554	1928	527	0	72790	96.94
Hunter	75411	63881	4618	2036	1720	539	0	72794	96.53
Kingsford-Smith	77048	64697	3669	1765	2449	562	0	73142	94.93
Lindsay	73911	63293	4757	954	1880	538	0	71422	96.63
Lowe	79183	67045	3984	2172	2209	458	0	75868	95.81
Lyne	74030	62740	4303	1766	2120	507	0	71436	96.50
Macarthur	73664	62545	4560	1395	1853	460	0	70813	96.13
Mackellar	78150	64946	4519	1762	2951	668	0	74846	95.77
Macquarie	74155	62089	4687	1950	1994	498	7	71225	96.05
Mitchell	71384	60437	4570	1461	2405	253	0	69126	96.84
Newcastle	77791	66158	4595	2176	1578	513	14	75034	96.46
New England	75009	62115	4432	2216	3157	559	0	72479	96.63
North Sydney	81050	65337	5088	2117	3480	620	0	76642	94.56
Page	78020	66409	3300	2487	2277	640	-1	75112	96.27
Parkes	80526	66320	4969	2342	2761	559	0	76951	95.56
Parramatta	77936	65021	5217	2306	2035	291	0	74870	96.07
Paterson	73387	63280	3912	2109	1491	388	0	71180	96.99
Prospect	74251	64786	3770	1047	1311	471	0	71385	96.14
Reid	77734	66009	4435	1647	1588	589	0	74268	95.54
Richmond	74211	61700	2535	2498	3635	608	0	70976	95.64
Riverina	78023	66014	3776	2181	2243	790	0	75004	96.13
Robertson	72618	60188	4785	2113	2319	495	0	69900	96.26
Shortland	73877	63256	4113	1646	2065	294	0	71374	96.61
Sydney	79556	61663	6371	1603	2877	1039	0	73553	92.45
Throsby	73071	64297	2956	1306	1455	510	0	70524	96.51
Warringah	78378	64447	4823	2169	2909	482	0	74830	95.47
Watson	77249	66181	3937	1746	1482	401	0	73747	95.47
Wentworth	80352	63489	5208	2800	3768	709	0	75974	94.55
Werriwa	74272	62816	4753	1087	1621	505	0	70782	95.30
TOTAL	3814932	3208491	216929	94326	115851	26525	20	3662142	95.99
									
									
Victoria									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Aston	79158	68188	4043	2253	2081	137	0	76702	96.90
Ballarat	74285	63316	3344	2826	2381	272	0	72139	97.11
Batman	78231	66313	3674	2370	1716	257	0	74330	95.01
Bendigo	77106	66024	4072	2611	1971	213	1	74892	97.13
Bruce	75148	64442	3600	1979	2956	89	0	73066	97.23
Burke	77102	66149	4435	2018	1536	212	0	74350	96.43
Calwell	81679	71225	3912	1403	1737	208	0	78485	96.09
Casey	78107	66135	4329	1996	2873	213	0	75546	96.72
Chisholm	76599	64280	4333	2515	2534	115	0	73777	96.32
Corangamite	75646	65190	3946	1845	2087	137	0	73205	96.77
Corinella	83476	72046	4377	2444	1683	235	0	80785	96.78
Corio	77036	66319	3298	2504	1903	305	0	74329	96.49
Deakin	76655	64250	4502	2392	2687	104	0	73935	96.45
Dunkley	73110	61935	3411	2500	2420	152	0	70418	96.32
Flinders	73695	62265	3545	2162	2830	275	0	71077	96.45
Gellibrand	76125	65206	2967	1962	1846	376	0	72357	95.05
