House of Representatives - 1993 Election: Northern Territory																
First Preference Votes 																
By Candidate by Polling Place																


Northern Territory (91563)																

		# SNOWDON			PALMER			FORMAL			INFORMAL			TOTAL		
		Warren		         	Arthur		         			     			     			     
		ALP			CLP					 			 			 
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Alice Springs	                               	629	52.95	 	559	47.05	 	1188	96.51	 	43	3.49	 	1231	1.51	 
Alyangula	                                   	237	66.02	 	122	33.98	 	359	96.77	 	12	3.23	 	371	0.46	 
Anula	                                       	1426	55.21	 	1157	44.79	 	2583	97.36	 	70	2.64	 	2653	3.26	 
Batchelor	                                   	159	53.18	 	140	46.82	 	299	95.22	 	15	4.78	 	314	0.39	 
Berrimah	                                    	339	47.88	 	369	52.12	 	708	98.74	 	9	1.26	 	717	0.88	 
Berry Springs	                               	229	47.22	 	256	52.78	 	485	96.42	 	18	3.58	 	503	0.62	 
Braitling	                                   	834	45.65	 	993	54.35	 	1827	96.92	 	58	3.08	 	1885	2.32	 
Casuarina	                                   	2146	56.49	 	1653	43.51	 	3799	97.19	 	110	2.81	 	3909	4.81	 
Christmas Island	                            	265	79.58	 	68	20.42	 	333	96.52	 	12	3.48	 	345	0.42	 
Darwin	                                      	512	57.27	 	382	42.73	 	894	96.96	 	28	3.04	 	922	1.13	 
Driver	                                      	1642	55.49	 	1317	44.51	 	2959	96.26	 	115	3.74	 	3074	3.78	 
Gillen	                                      	1423	47.91	 	1547	52.09	 	2970	96.65	 	103	3.35	 	3073	3.78	 
Gray	                                        	555	55.95	 	437	44.05	 	992	97.45	 	26	2.55	 	1018	1.25	 
Home Island	                                 	196	85.59	 	33	14.41	 	229	90.87	 	23	9.13	 	252	0.31	 
Howard Springs	                              	899	45.45	 	1079	54.55	 	1978	97.82	 	44	2.18	 	2022	2.49	 
Humpty Doo	                                  	907	46.09	 	1061	53.91	 	1968	97.19	 	57	2.81	 	2025	2.49	 
Jabiru	                                      	304	56.82	 	231	43.18	 	535	98.17	 	10	1.83	 	545	0.67	 
Karama	                                      	2095	56.74	 	1597	43.26	 	3692	96.7	 	126	3.3	 	3818	4.7	 
Katherine	                                   	902	41.74	 	1259	58.26	 	2161	97.43	 	57	2.57	 	2218	2.73	 
Katherine East	                              	499	50.51	 	489	49.49	 	988	97.82	 	22	2.18	 	1010	1.24	 
Larapinta	                                   	458	48.11	 	494	51.89	 	952	97.14	 	28	2.86	 	980	1.21	 
Larrakeyah	                                  	470	41.12	 	673	58.88	 	1143	98.03	 	23	1.97	 	1166	1.43	 
Leanyer	                                     	1236	51.54	 	1162	48.46	 	2398	97.32	 	66	2.68	 	2464	3.03	 
Ludmilla	                                    	951	50.08	 	948	49.92	 	1899	96.79	 	63	3.21	 	1962	2.41	 
Nakara	                                      	1023	50.54	 	1001	49.46	 	2024	97.26	 	57	2.74	 	2081	2.56	 
Nhulunbuy	                                   	1050	61.91	 	646	38.09	 	1696	97.36	 	46	2.64	 	1742	2.14	 
Nightcliff	                                  	1558	51.02	 	1496	48.98	 	3054	97.42	 	81	2.58	 	3135	3.86	 
Parap	                                       	1449	51.6	 	1359	48.4	 	2808	97.33	 	77	2.67	 	2885	3.55	 
Pine Creek	                                  	143	59.09	 	99	40.91	 	242	99.18	 	2	0.82	 	244	0.3	 
Rapid Creek	                                 	1287	61.37	 	810	38.63	 	2097	97.35	 	57	2.65	 	2154	2.65	 
Sadadeen	                                    	1370	52.09	 	1260	47.91	 	2630	97.52	 	67	2.48	 	2697	3.32	 
Stuart Park	                                 	672	52.38	 	611	47.62	 	1283	96.54	 	46	3.46	 	1329	1.63	 
Tennant Creek	                               	757	53.05	 	670	46.95	 	1427	96.16	 	57	3.84	 	1484	1.83	 
Tindal	                                      	121	31.93	 	258	68.07	 	379	98.44	 	6	1.56	 	385	0.47	 
Tiwi	                                        	612	60.59	 	398	39.41	 	1010	97.21	 	29	2.79	 	1039	1.28	 
Wanguri	                                     	954	56.28	 	741	43.72	 	1695	97.64	 	41	2.36	 	1736	2.14	 
West Island	                                 	28	53.85	 	24	46.15	 	52	94.55	 	3	5.45	 	55	0.07	 
Wulagi	                                      	752	56.58	 	577	43.42	 	1329	97.94	 	28	2.06	 	1357	1.67	 
Yirara	                                      	244	47.29	 	272	52.71	 	516	96.27	 	20	3.73	 	536	0.66	 
Yulara	                                      	171	57.58	 	126	42.42	 	297	98.34	 	5	1.66	 	302	0.37	 
Special Hospitals	                           	126	53.62	 	109	46.38	 	235	92.52	 	19	7.48	 	254	0.31	 
Remote Mobiles	                              	8210	75.18	 	2710	24.82	 	10920	96.03	 	451	3.97	 	11371	13.99	 
Prison Mobiles	                              	21	84	 	4	16	 	25	92.59	 	2	7.41	 	27	0.03	 
Total Ordinary	                              	39861	56.1	 	31197	43.9	 	71058	96.95	 	2232	3.05	 	73290	90.14	 
POSTAL	                                      	834	39.89	 	1257	60.11	 	2091	97.39	 	56	2.61	 	2147	2.64	 
PRE_POLL	                                    	2366	48.45	 	2517	51.55	 	4883	96.46	 	179	3.54	 	5062	6.23	 
PROVISIONAL	                                 	517	68.66	 	236	31.34	 	753	93.66	 	51	6.34	 	804	0.99	 
Division Summary	                            	43578	55.31	 	35207	44.69	 	78785	96.9	 	2518	3.1	 	81303	88.79	 
