House of Representatives - 1993 Election: South Australia																																		
First Preference Votes 																																		
By Candidate by Polling Place																																		


Adelaide (85484)																																		

		KING			BIDSTRUP			HANIEH			FENWICK			MITCHELL			# WORTH			MATUHINA			CATLEY			FORMAL			INFORMAL			TOTAL		
		Jack		       	David		        	Adam		       	Peter		        	Matthew		          	Trish		        	Chris		        	Bob		      			     			     			     
		IND			IND						NLP			DEM			LP			IND			ALP					 			 			 
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Adelaide (Adelaide)	                         	16	2.72	 	3	0.51	 	7	1.19	 	9	1.53	 	76	12.93	 	188	31.97	 	5	0.85	 	284	48.3	 	588	94.99	 	31	5.01	 	619	0.78	 
Adelaide East	                               	15	2.77	 	4	0.74	 	1	0.18	 	13	2.4	 	41	7.58	 	253	46.77	 	2	0.37	 	212	39.19	 	541	96.26	 	21	3.74	 	562	0.7	 
Adelaide Hospital	                           	4	1.77	 	1	0.44	 	2	0.88	 	3	1.33	 	20	8.85	 	91	40.27	 	0	0	 	105	46.46	 	226	97.84	 	5	2.16	 	231	0.29	 
Adelaide South	                              	21	1.77	 	6	0.51	 	21	1.77	 	22	1.86	 	90	7.59	 	528	44.56	 	2	0.17	 	495	41.77	 	1185	96.66	 	41	3.34	 	1226	1.54	 
Adelaide West	                               	29	3.65	 	4	0.5	 	7	0.88	 	18	2.27	 	70	8.82	 	258	32.49	 	2	0.25	 	406	51.13	 	794	94.52	 	46	5.48	 	840	1.05	 
Black Forest	                                	17	2	 	3	0.35	 	4	0.47	 	17	2	 	78	9.2	 	392	46.23	 	5	0.59	 	332	39.15	 	848	96.58	 	30	3.42	 	878	1.1	 
Blair Athol Central	                         	42	2.86	 	9	0.61	 	4	0.27	 	34	2.31	 	121	8.23	 	594	40.41	 	8	0.54	 	658	44.76	 	1470	94.11	 	92	5.89	 	1562	1.96	 
Blair Athol North	                           	40	2.68	 	5	0.33	 	5	0.33	 	31	2.07	 	145	9.7	 	413	27.63	 	12	0.8	 	844	56.45	 	1495	93.91	 	97	6.09	 	1592	1.99	 
Broadview	                                   	21	1.48	 	3	0.21	 	1	0.07	 	22	1.55	 	138	9.75	 	722	50.99	 	4	0.28	 	505	35.66	 	1416	97.39	 	38	2.61	 	1454	1.82	 
Brompton	                                    	31	2.97	 	2	0.19	 	10	0.96	 	21	2.01	 	96	9.2	 	289	27.71	 	4	0.38	 	590	56.57	 	1043	93.13	 	77	6.88	 	1120	1.4	 
Clarence Park	                               	21	1.68	 	1	0.08	 	16	1.28	 	15	1.2	 	106	8.46	 	665	53.07	 	1	0.08	 	428	34.16	 	1253	97.66	 	30	2.34	 	1283	1.61	 
Clarence Park West	                          	52	2.41	 	3	0.14	 	9	0.42	 	44	2.04	 	192	8.9	 	996	46.18	 	4	0.19	 	857	39.73	 	2157	96.94	 	68	3.06	 	2225	2.79	 
Collinswood	                                 	14	1.44	 	1	0.1	 	3	0.31	 	13	1.34	 	86	8.88	 	533	55.01	 	2	0.21	 	317	32.71	 	969	97	 	30	3	 	999	1.25	 
Croydon	                                     	43	3.34	 	5	0.39	 	22	1.71	 	17	1.32	 	69	5.37	 	341	26.52	 	5	0.39	 	784	60.96	 	1286	94.56	 	74	5.44	 	1360	1.7	 
Croydon Park	                                	55	3.66	 	9	0.6	 	6	0.4	 	17	1.13	 	75	4.99	 	518	34.46	 	5	0.33	 	818	54.42	 	1503	93.18	 	110	6.82	 	1613	2.02	 
Croydon Park West (Adelaide)	                	20	2.99	 	4	0.6	 	10	1.49	 	9	1.35	 	42	6.28	 	216	32.29	 	1	0.15	 	367	54.86	 	669	92.28	 	56	7.72	 	725	0.91	 
Enfield	                                     	33	2.35	 	2	0.14	 	7	0.5	 	26	1.85	 	134	9.52	 	525	37.31	 	6	0.43	 	674	47.9	 	1407	95.71	 	63	4.29	 	1470	1.84	 
Enfield North (Adelaide)	                    	38	3.05	 	2	0.16	 	3	0.24	 	23	1.85	 	130	10.43	 	371	29.78	 	15	1.2	 	664	53.29	 	1246	94.97	 	66	5.03	 	1312	1.64	 
Enfield South	                               	28	1.99	 	2	0.14	 	3	0.21	 	33	2.35	 	135	9.59	 	599	42.57	 	14	1	 	593	42.15	 	1407	96.44	 	52	3.56	 	1459	1.83	 
Fullarton	                                   	40	1.73	 	7	0.3	 	12	0.52	 	42	1.82	 	159	6.88	 	1300	56.28	 	9	0.39	 	741	32.08	 	2310	97.1	 	69	2.9	 	2379	2.98	 
Goodwood	                                    	42	2.57	 	7	0.43	 	17	1.04	 	37	2.26	 	154	9.42	 	576	35.23	 	7	0.43	 	795	48.62	 	1635	96.01	 	68	3.99	 	1703	2.13	 
Goodwood Park	                               	14	1.39	 	2	0.2	 	3	0.3	 	21	2.09	 	84	8.34	 	444	44.09	 	0	0	 	439	43.59	 	1007	95.63	 	46	4.37	 	1053	1.32	 
Hackney	                                     	6	0.5	 	4	0.33	 	9	0.75	 	30	2.51	 	89	7.44	 	678	56.64	 	5	0.42	 	376	31.41	 	1197	97.32	 	33	2.68	 	1230	1.54	 
Hindmarsh	                                   	15	3.07	 	3	0.61	 	10	2.04	 	9	1.84	 	30	6.13	 	143	29.24	 	1	0.2	 	278	56.85	 	489	95.51	 	23	4.49	 	512	0.64	 
Hyde Park	                                   	11	0.64	 	1	0.06	 	2	0.12	 	21	1.23	 	87	5.1	 	1189	69.65	 	1	0.06	 	395	23.14	 	1707	97.77	 	39	2.23	 	1746	2.19	 
Joslin	                                      	35	1.57	 	8	0.36	 	5	0.22	 	40	1.79	 	182	8.14	 	1200	53.67	 	9	0.4	 	757	33.86	 	2236	97.13	 	66	2.87	 	2302	2.88	 
Keswick	                                     	15	2.17	 	5	0.72	 	5	0.72	 	19	2.75	 	49	7.1	 	290	42.03	 	4	0.58	 	303	43.91	 	690	95.57	 	32	4.43	 	722	0.9	 
Kilburn	                                     	55	2.81	 	14	0.71	 	12	0.61	 	34	1.73	 	148	7.55	 	518	26.43	 	20	1.02	 	1159	59.13	 	1960	91.8	 	175	8.2	 	2135	2.67	 
Lower North Adelaide	                        	7	0.73	 	3	0.31	 	2	0.21	 	21	2.19	 	84	8.78	 	531	55.49	 	0	0	 	309	32.29	 	957	97.16	 	28	2.84	 	985	1.23	 
Malvern	                                     	19	1.14	 	2	0.12	 	6	0.36	 	21	1.26	 	109	6.52	 	1125	67.32	 	2	0.12	 	387	23.16	 	1671	98.12	 	32	1.88	 	1703	2.13	 
Marden West (Adelaide)	                      	6	2.01	 	1	0.34	 	0	0	 	9	3.02	 	28	9.4	 	143	47.99	 	1	0.34	 	110	36.91	 	298	95.21	 	15	4.79	 	313	0.39	 
Myrtle Bank	                                 	18	0.91	 	12	0.61	 	7	0.35	 	21	1.06	 	132	6.68	 	1340	67.85	 	7	0.35	 	438	22.18	 	1975	98.01	 	40	1.99	 	2015	2.52	 
Nailsworth	                                  	20	1.4	 	7	0.49	 	8	0.56	 	34	2.38	 	146	10.23	 	574	40.22	 	4	0.28	 	634	44.43	 	1427	95.64	 	65	4.36	 	1492	1.87	 
North Adelaide	                              	27	1.07	 	5	0.2	 	23	0.91	 	65	2.56	 	204	8.05	 	1435	56.61	 	8	0.32	 	768	30.3	 	2535	97.84	 	56	2.16	 	2591	3.25	 
Northfield South (Adelaide)	                 	49	3.12	 	3	0.19	 	0	0	 	18	1.15	 	128	8.15	 	636	40.51	 	8	0.51	 	728	46.37	 	1570	94.75	 	87	5.25	 	1657	2.08	 
Parkside East (Adelaide)	                    	65	2.87	 	11	0.49	 	33	1.46	 	51	2.25	 	200	8.82	 	970	42.79	 	12	0.53	 	925	40.8	 	2267	96.51	 	82	3.49	 	2349	2.94	 
Prospect	                                    	42	1.94	 	9	0.42	 	28	1.29	 	62	2.86	 	215	9.92	 	828	38.19	 	10	0.46	 	974	44.93	 	2168	95.42	 	104	4.58	 	2272	2.85	 
Prospect Estate	                             	17	1.97	 	3	0.35	 	8	0.93	 	17	1.97	 	87	10.1	 	301	34.96	 	3	0.35	 	425	49.36	 	861	95.45	 	41	4.55	 	902	1.13	 
Prospect North	                              	28	2.31	 	7	0.58	 	16	1.32	 	33	2.73	 	112	9.26	 	462	38.18	 	4	0.33	 	548	45.29	 	1210	94.61	 	69	5.39	 	1279	1.6	 
Prospect South	                              	14	1.21	 	2	0.17	 	13	1.12	 	23	1.99	 	110	9.51	 	585	50.56	 	2	0.17	 	408	35.26	 	1157	96.66	 	40	3.34	 	1197	1.5	 
Prospect West	                               	40	1.74	 	9	0.39	 	35	1.52	 	61	2.65	 	257	11.16	 	901	39.14	 	10	0.43	 	989	42.96	 	2302	95.44	 	110	4.56	 	2412	3.02	 
Renown Park	                                 	42	2.49	 	5	0.3	 	7	0.41	 	31	1.84	 	139	8.23	 	465	27.53	 	7	0.41	 	993	58.79	 	1689	93.68	 	114	6.32	 	1803	2.26	 
St Peters	                                   	1	0.64	 	0	0	 	0	0	 	4	2.56	 	15	9.62	 	84	53.85	 	0	0	 	52	33.33	 	156	95.71	 	7	4.29	 	163	0.2	 
Thebarton	                                   	71	4.04	 	3	0.17	 	51	2.9	 	28	1.59	 	115	6.54	 	449	25.54	 	7	0.4	 	1034	58.82	 	1758	94.57	 	101	5.43	 	1859	2.33	 
Unley	                                       	46	1.7	 	10	0.37	 	33	1.22	 	67	2.48	 	215	7.96	 	1220	45.19	 	9	0.33	 	1100	40.74	 	2700	96.36	 	102	3.64	 	2802	3.51	 
Walkerville	                                 	23	0.91	 	4	0.16	 	3	0.12	 	51	2.01	 	159	6.26	 	1731	68.2	 	7	0.28	 	560	22.06	 	2538	97.65	 	61	2.35	 	2599	3.26	 
Wayville	                                    	12	1.77	 	1	0.15	 	10	1.47	 	12	1.77	 	56	8.25	 	340	50.07	 	1	0.15	 	247	36.38	 	679	96.04	 	28	3.96	 	707	0.89	 
West Croydon (Adelaide)	                     	46	3.69	 	12	0.96	 	7	0.56	 	32	2.56	 	103	8.25	 	381	30.53	 	10	0.8	 	657	52.64	 	1248	92.51	 	101	7.49	 	1349	1.69	 
Special Hospitals	                           	25	2.91	 	6	0.7	 	0	0	 	6	0.7	 	28	3.26	 	549	63.99	 	1	0.12	 	243	28.32	 	858	93.57	 	59	6.43	 	917	1.15	 
Total Ordinary	                              	1391	2.08	 	235	0.35	 	506	0.76	 	1307	1.96	 	5468	8.19	 	29880	44.76	 	266	0.4	 	27705	41.5	 	66758	95.81	 	2920	4.19	 	69678	87.3	 
ABSENT	                                      	144	3.11	 	39	0.84	 	35	0.75	 	139	3	 	565	12.19	 	1924	41.5	 	32	0.69	 	1758	37.92	 	4636	94.81	 	254	5.19	 	4890	6.13	 
POSTAL	                                      	43	1.57	 	11	0.4	 	5	0.18	 	28	1.02	 	196	7.14	 	1399	50.93	 	6	0.22	 	1059	38.55	 	2747	98.46	 	43	1.54	 	2790	3.5	 
PRE_POLL	                                    	41	1.85	 	9	0.41	 	11	0.5	 	38	1.71	 	210	9.46	 	1033	46.53	 	13	0.59	 	865	38.96	 	2220	96.9	 	71	3.1	 	2291	2.87	 
PROVISIONAL	                                 	5	3.25	 	1	0.65	 	1	0.65	 	2	1.3	 	12	7.79	 	60	38.96	 	1	0.65	 	72	46.75	 	154	90.59	 	16	9.41	 	170	0.21	 
Division Summary	                            	1624	2.12	 	295	0.39	 	558	0.73	 	1514	1.98	 	6451	8.43	 	34296	44.82	 	318	0.42	 	31459	41.11	 	76515	95.86	 	3304	4.14	 	79819	93.37	 
 																																		


Barker (83749)																																		

		WELLS			KENT			ANDERSEN			BOYLAN			WIKBLOM			EARLY			# MCLACHLAN			FORMAL			INFORMAL			TOTAL					
		Chris		        	Deidre		         	Regine		         	Francis Damien		                 	Stephen		          	Harry		        	Ian Murray		             			     			     			     			
		NLP			CTA			DEM			IND			IND			ALP			LP					 			 			 			
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Alawoona	                                    	2	4.26	 	0	0	 	3	6.38	 	2	4.26	 	1	2.13	 	3	6.38	 	36	76.6	 	47	97.92	 	1	2.08	 	48	0.06	 			
Allendale East	                              	2	0.85	 	3	1.27	 	14	5.93	 	5	2.12	 	2	0.85	 	43	18.22	 	167	70.76	 	236	98.33	 	4	1.67	 	240	0.3	 			
American River	                              	6	3.41	 	9	5.11	 	20	11.36	 	2	1.14	 	0	0	 	19	10.8	 	120	68.18	 	176	97.24	 	5	2.76	 	181	0.23	 			
Ashbourne	                                   	5	4.9	 	1	0.98	 	13	12.75	 	0	0	 	0	0	 	13	12.75	 	70	68.63	 	102	99.03	 	1	0.97	 	103	0.13	 			
Avenue Range	                                	1	1.05	 	1	1.05	 	2	2.11	 	1	1.05	 	0	0	 	5	5.26	 	85	89.47	 	95	98.96	 	1	1.04	 	96	0.12	 			
Beachport	                                   	6	1.18	 	3	0.59	 	15	2.94	 	78	15.29	 	0	0	 	73	14.31	 	335	65.69	 	510	97.51	 	13	2.49	 	523	0.65	 
Black Hill	                                  	2	4	 	0	0	 	6	12	 	1	2	 	1	2	 	9	18	 	31	62	 	50	96.15	 	2	3.85	 	52	0.06	 
Bool Lagoon	                                 	2	2.67	 	0	0	 	0	0	 	3	4	 	0	0	 	1	1.33	 	69	92	 	75	98.68	 	1	1.32	 	76	0.09	 
Bordertown	                                  	24	1.32	 	80	4.41	 	70	3.86	 	31	1.71	 	10	0.55	 	262	14.44	 	1337	73.7	 	1814	96.54	 	65	3.46	 	1879	2.34	 
Borrika	                                     	1	1.61	 	2	3.23	 	2	3.23	 	2	3.23	 	0	0	 	3	4.84	 	52	83.87	 	62	100	 	0	0	 	62	0.08	 
Brinkley	                                    	1	0.91	 	1	0.91	 	0	0	 	0	0	 	6	5.45	 	9	8.18	 	93	84.55	 	110	98.21	 	2	1.79	 	112	0.14	 
Cambrai	                                     	8	3.81	 	1	0.48	 	13	6.19	 	0	0	 	4	1.9	 	30	14.29	 	154	73.33	 	210	95.02	 	11	4.98	 	221	0.28	 
Carpenter Rocks	                             	4	2.22	 	0	0	 	15	8.33	 	3	1.67	 	0	0	 	62	34.44	 	96	53.33	 	180	96.77	 	6	3.23	 	186	0.23	 
Compton-Burrungule	                          	8	2.29	 	9	2.58	 	22	6.3	 	4	1.15	 	1	0.29	 	84	24.07	 	221	63.32	 	349	97.49	 	9	2.51	 	358	0.45	 
Coomandook	                                  	2	1.18	 	0	0	 	5	2.94	 	5	2.94	 	4	2.35	 	19	11.18	 	135	79.41	 	170	98.84	 	2	1.16	 	172	0.21	 
Coonalpyn	                                   	3	0.89	 	1	0.3	 	10	2.96	 	6	1.78	 	17	5.03	 	37	10.95	 	264	78.11	 	338	95.75	 	15	4.25	 	353	0.44	 
Coonawarra	                                  	0	0	 	3	1.6	 	4	2.14	 	3	1.6	 	2	1.07	 	17	9.09	 	158	84.49	 	187	98.42	 	3	1.58	 	190	0.24	 
Copeville	                                   	2	4.55	 	0	0	 	0	0	 	0	0	 	0	0	 	1	2.27	 	41	93.18	 	44	100	 	0	0	 	44	0.05	 
Currency Creek	                              	4	2.01	 	0	0	 	9	4.52	 	1	0.5	 	3	1.51	 	37	18.59	 	145	72.86	 	199	97.07	 	6	2.93	 	205	0.26	 
Delamere	                                    	7	3.43	 	2	0.98	 	25	12.25	 	0	0	 	0	0	 	31	15.2	 	139	68.14	 	204	95.77	 	9	4.23	 	213	0.27	 
Encounter Bay	                               	21	2.49	 	31	3.68	 	58	6.89	 	9	1.07	 	2	0.24	 	212	25.18	 	509	60.45	 	842	96.34	 	32	3.66	 	874	1.09	 
Finniss	                                     	1	1.14	 	0	0	 	3	3.41	 	1	1.14	 	2	2.27	 	14	15.91	 	67	76.14	 	88	98.88	 	1	1.12	 	89	0.11	 
Frances	                                     	0	0	 	1	0.72	 	3	2.17	 	4	2.9	 	2	1.45	 	16	11.59	 	112	81.16	 	138	97.87	 	3	2.13	 	141	0.18	 
Furner	                                      	2	1.63	 	0	0	 	1	0.81	 	13	10.57	 	1	0.81	 	7	5.69	 	99	80.49	 	123	99.19	 	1	0.81	 	124	0.15	 
Geranium-Jabuk	                              	0	0	 	3	2.27	 	4	3.03	 	2	1.52	 	0	0	 	4	3.03	 	119	90.15	 	132	98.51	 	2	1.49	 	134	0.17	 
Glenburnie	                                  	4	1.66	 	8	3.32	 	9	3.73	 	5	2.07	 	4	1.66	 	62	25.73	 	149	61.83	 	241	98.37	 	4	1.63	 	245	0.31	 
Glencoe	                                     	10	2.6	 	6	1.56	 	34	8.83	 	11	2.86	 	3	0.78	 	110	28.57	 	211	54.81	 	385	99.23	 	3	0.77	 	388	0.48	 
Goolwa	                                      	52	2.3	 	51	2.26	 	211	9.35	 	23	1.02	 	33	1.46	 	726	32.18	 	1160	51.42	 	2256	96.91	 	72	3.09	 	2328	2.9	 
Gosse	                                       	1	1.35	 	3	4.05	 	7	9.46	 	1	1.35	 	3	4.05	 	8	10.81	 	51	68.92	 	74	94.87	 	4	5.13	 	78	0.1	 
Greenways-Conmurra	                          	2	1.72	 	2	1.72	 	2	1.72	 	15	12.93	 	0	0	 	6	5.17	 	89	76.72	 	116	100	 	0	0	 	116	0.14	 
Hatherleigh	                                 	0	0	 	0	0	 	2	2.3	 	8	9.2	 	0	0	 	6	6.9	 	71	81.61	 	87	98.86	 	1	1.14	 	88	0.11	 
Hindmarsh Island	                            	2	1.1	 	0	0	 	12	6.63	 	0	0	 	1	0.55	 	40	22.1	 	126	69.61	 	181	96.28	 	7	3.72	 	188	0.23	 
Hindmarsh Valley	                            	0	0	 	0	0	 	6	4.84	 	0	0	 	0	0	 	11	8.87	 	107	86.29	 	124	100	 	0	0	 	124	0.15	 
Hope Forest	                                 	4	2.21	 	3	1.66	 	10	5.52	 	2	1.1	 	1	0.55	 	33	18.23	 	128	70.72	 	181	99.45	 	1	0.55	 	182	0.23	 
Hynam	                                       	1	0.65	 	1	0.65	 	4	2.58	 	1	0.65	 	1	0.65	 	17	10.97	 	130	83.87	 	155	97.48	 	4	2.52	 	159	0.2	 
Inman Valley	                                	4	2.41	 	0	0	 	20	12.05	 	1	0.6	 	0	0	 	24	14.46	 	117	70.48	 	166	97.08	 	5	2.92	 	171	0.21	 
Jervois	                                     	3	1.75	 	1	0.58	 	5	2.92	 	2	1.17	 	3	1.75	 	11	6.43	 	146	85.38	 	171	98.28	 	3	1.72	 	174	0.22	 
Kalangadoo	                                  	7	1.8	 	19	4.88	 	18	4.63	 	13	3.34	 	3	0.77	 	98	25.19	 	231	59.38	 	389	97.25	 	11	2.75	 	400	0.5	 
Karatta	                                     	2	6.67	 	1	3.33	 	0	0	 	0	0	 	1	3.33	 	6	20	 	20	66.67	 	30	90.91	 	3	9.09	 	33	0.04	 
Karoonda	                                    	13	3.23	 	12	2.98	 	19	4.71	 	2	0.5	 	4	0.99	 	38	9.43	 	315	78.16	 	403	98.05	 	8	1.95	 	411	0.51	 
Keith	                                       	28	2.57	 	18	1.65	 	34	3.12	 	9	0.83	 	7	0.64	 	150	13.77	 	843	77.41	 	1089	97.58	 	27	2.42	 	1116	1.39	 
Keppoch	                                     	2	2.5	 	2	2.5	 	1	1.25	 	1	1.25	 	2	2.5	 	4	5	 	68	85	 	80	100	 	0	0	 	80	0.1	 
Keyneton	                                    	4	2.4	 	1	0.6	 	14	8.38	 	0	0	 	0	0	 	29	17.37	 	119	71.26	 	167	98.24	 	3	1.76	 	170	0.21	 
Ki Ki	                                       	0	0	 	4	6.25	 	3	4.69	 	0	0	 	0	0	 	3	4.69	 	54	84.38	 	64	98.46	 	1	1.54	 	65	0.08	 
Kingscote	                                   	29	2.07	 	115	8.21	 	151	10.79	 	24	1.71	 	26	1.86	 	213	15.21	 	842	60.14	 	1400	96.15	 	56	3.85	 	1456	1.82	 
Kingston	                                    	23	1.75	 	19	1.45	 	45	3.43	 	19	1.45	 	9	0.69	 	242	18.45	 	955	72.79	 	1312	97.62	 	32	2.38	 	1344	1.68	 
Kongorong	                                   	5	1.95	 	2	0.78	 	14	5.45	 	5	1.95	 	0	0	 	34	13.23	 	197	76.65	 	257	98.47	 	4	1.53	 	261	0.33	 
Kybybolite	                                  	2	1.75	 	3	2.63	 	2	1.75	 	2	1.75	 	1	0.88	 	32	28.07	 	72	63.16	 	114	97.44	 	3	2.56	 	117	0.15	 
Lameroo	                                     	7	1.28	 	16	2.94	 	21	3.85	 	6	1.1	 	7	1.28	 	58	10.64	 	430	78.9	 	545	96.63	 	19	3.37	 	564	0.7	 
Lochaber	                                    	0	0	 	3	3.06	 	2	2.04	 	1	1.02	 	1	1.02	 	5	5.1	 	86	87.76	 	98	98.99	 	1	1.01	 	99	0.12	 
Lucindale	                                   	8	1.67	 	10	2.09	 	19	3.97	 	16	3.34	 	4	0.84	 	42	8.77	 	380	79.33	 	479	97.36	 	13	2.64	 	492	0.61	 
Mannum	                                      	45	2.7	 	25	1.5	 	125	7.51	 	14	0.84	 	38	2.28	 	533	32.03	 	884	53.13	 	1664	95.91	 	71	4.09	 	1735	2.16	 
Mantung	                                     	0	0	 	0	0	 	0	0	 	0	0	 	1	3.57	 	2	7.14	 	25	89.29	 	28	100	 	0	0	 	28	0.03	 
Marama	                                      	0	0	 	0	0	 	1	1.45	 	1	1.45	 	0	0	 	1	1.45	 	66	95.65	 	69	100	 	0	0	 	69	0.09	 
Meningie	                                    	19	1.96	 	10	1.03	 	40	4.12	 	10	1.03	 	9	0.93	 	149	15.35	 	734	75.59	 	971	96.91	 	31	3.09	 	1002	1.25	 
Middleton	                                   	11	2.43	 	0	0	 	43	9.49	 	3	0.66	 	10	2.21	 	143	31.57	 	243	53.64	 	453	96.38	 	17	3.62	 	470	0.59	 
Milang	                                      	16	3.45	 	11	2.37	 	36	7.76	 	4	0.86	 	8	1.72	 	103	22.2	 	286	61.64	 	464	95.67	 	21	4.33	 	485	0.61	 
Mil Lel	                                     	3	1.7	 	2	1.14	 	9	5.11	 	3	1.7	 	4	2.27	 	17	9.66	 	138	78.41	 	176	96.17	 	7	3.83	 	183	0.23	 
Millicent	                                   	53	2.17	 	30	1.23	 	104	4.26	 	259	10.61	 	19	0.78	 	810	33.2	 	1165	47.75	 	2440	96.06	 	100	3.94	 	2540	3.17	 
Millicent South	                             	32	3.37	 	13	1.37	 	51	5.37	 	73	7.69	 	9	0.95	 	388	40.89	 	383	40.36	 	949	96.25	 	37	3.75	 	986	1.23	 
Moorak	                                      	5	1.22	 	4	0.98	 	15	3.67	 	4	0.98	 	0	0	 	60	14.67	 	321	78.48	 	409	98.55	 	6	1.45	 	415	0.52	 
Mount Benson	                                	1	1.03	 	0	0	 	4	4.12	 	9	9.28	 	0	0	 	9	9.28	 	74	76.29	 	97	97	 	3	3	 	100	0.12	 
Mount Burr-Mount McIntyre	                   	8	2.55	 	6	1.91	 	15	4.78	 	25	7.96	 	2	0.64	 	131	41.72	 	127	40.45	 	314	95.44	 	15	4.56	 	329	0.41	 
Mount Compass	                               	27	3.8	 	24	3.38	 	67	9.44	 	10	1.41	 	3	0.42	 	126	17.75	 	453	63.8	 	710	96.6	 	25	3.4	 	735	0.92	 
Mount Gambier	                               	61	2.14	 	39	1.37	 	133	4.66	 	33	1.16	 	10	0.35	 	888	31.13	 	1689	59.2	 	2853	95.77	 	126	4.23	 	2979	3.72	 
Mount Gambier East	                          	67	2.17	 	85	2.75	 	210	6.8	 	28	0.91	 	16	0.52	 	1481	47.96	 	1201	38.89	 	3088	94.32	 	186	5.68	 	3274	4.08	 
Mount Gambier North	                         	54	2.44	 	43	1.94	 	145	6.55	 	21	0.95	 	21	0.95	 	981	44.31	 	949	42.86	 	2214	95.51	 	104	4.49	 	2318	2.89	 
Mount Gambier Park	                          	20	1.34	 	19	1.28	 	105	7.05	 	8	0.54	 	27	1.81	 	534	35.84	 	777	52.15	 	1490	96.38	 	56	3.62	 	1546	1.93	 
