House of Representatives - 1996 Election		
Seats Decided on Preferences		

New South Wales (18)		
Banks (ALP)	Calare (IND)	Dobell (ALP)
Greenway (ALP)	Lindsay (LP)	Macquarie (LP)
Parramatta (LP)	Richmond (NP)	Sydney (ALP)
Barton (ALP)	Charlton (ALP)	Eden-Monaro (LP)
Hughes (LP)	Lowe (LP)	Page (NP)
Paterson (LP)	Robertson (LP)	Werriwa (ALP)


Victoria (14)		
Ballarat (LP)	Melbourne Ports (ALP)	LaTrobe (LP)
Dunkley (LP)	Bruce (ALP)	Wills (ALP)
McMillan (LP)	Jagajaga (ALP)	Deakin (LP)
Bendigo (LP)	Murray (LP)	McEwen (LP)
Isaacs (ALP)	Chisholm (LP)	


Queensland (14)		
Bowman (LP)	Longman (LP)	Herbert (LP)
Fisher (LP)	Capricornia (NP)	Rankin (ALP)
Lilley (LP)	Griffith (LP)	Dickson (LP)
Brisbane (ALP)	Oxley (IND)	Leichhardt (LP)
Forde (LP)	Dawson (NP)	


Western Australia (9)		
Brand (ALP)	Canning (LP)	Cowan (LP)
Curtin (IND)	Fremantle (ALP)	Kalgoorlie (IND)
Moore (IND)	Perth (ALP)	Swan (LP)


South Australia (5)		
Adelaide (LP)	Port Adelaide (ALP)	Makin (LP)
Kingston (LP)	Bonython (ALP)	


Tasmania (2)		
Franklin (ALP)	Lyons (ALP)	


Australian Capital Territory (2)		
Canberra (ALP)	Namadgi (ALP)	


Northern Territory (1)		
Northern Territory (CLP)		



TOTAL: 65 seats decided on preferences		
