House of Representatives -1996 Election 																																					
Nomination Numbers by Gender																																					


		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
ACH	1																																1		0		1
AFI	17		4		11		2		1		1		1						1														30		8		38
AGV					11		9																										11		9		20
AIP									17		8																						17		8		25
ALP	41		9		30		7		21		5		9		5		10		2		4		1		2		1		1				118		30		148
AWP			1								4																						0		5		5
CCG	1																																1		0		1
CIR					1																												1		0		1
CLP																													1				1		0		1
CTA	16		7		5		1		1																								22		8		30
DEM	34		16		27		10		15		11		10		4		6		6		2		3										94		50		144
GRN	13		17						14		7						9		3						3				1				40		27		67
GRY																	1		1														1		1		2
GWA													8		6																		8		6		14
IND	35		7		17		4		23		5		12		2		7		4		1				2		1		1		1		98		24		122
LP	33		8		29		6		14		8		10		4		7		5		4		1		1		2						98		34		132
NAN	2		2																														2		2		4
NLP	15		9		27		8		2		4		3		3		6		3								1						53		28		81
NP	12				3		1		12		1		2								1												30		2		32
OAP									3																								3		0		3
RARI	4		1																														4		1		5
RCG	2																																2		0		2
RPA									1																								1		0		1
TG																					1		4										1		4		5
OTH	9		3		3		2		2				1				3						1										18		6		24
Sub-Total	235		84		164		50		126		54		56		24		49		25		13		10		8		5		4		1		655		253		908
TOTAL		319				214				180				80				74				23				13				5				908			908
