House of Representatives - 1996 Election							
Two Party Preferred Statistics							
By Division							


National Summary							
			Coalition				
State	ALP		(LP/NP/CLP)		Total	Swing	Exh
	Votes	%	Votes	%			
New South Wales	1734777	47.44	1922165	52.56	3656942	-6.95	17267
Victoria	1388142	50.3	1371480	49.7	2759622	-1.5	13699
Queensland	765019	39.78	1158122	60.22	1923141	-8.65	5029
Western Australia	437694	44	557055	56	994749	-2.02	6207
South Australia	391516	42.74	524445	57.26	915961	-4.59	4758
Tasmania	159853	51.58	150057	48.42	309910	-3.07	661
Australian Capital Territory	105323	55.46	84592	44.54	189915	-5.73	948
Northern Territory	42003	49.63	42630	50.37	84633	-5.68	410
Australia	5024327	46.37	5810546	53.63	10834873	-5.06	48979


New South Wales							

Division	ALP		LP/NP		Total	Swing	Exh
	Votes	%	Votes	%			
Banks	37442	51.41	35391	48.59	72833	-9.13	357
Barton	40250	54.34	33817	45.66	74067	-5.05	224
Bennelong	29918	39.87	45128	60.13	75046	-6.95	358
Berowra	24268	31.6	52526	68.4	76794	-6.2	527
Blaxland	44328	62.98	26056	37.02	70384	-9.12	206
Bradfield	17908	24.23	55986	75.77	73894	-2.72	642
Calare	34538	47.09	38800	52.91	73338	-6.97	581
Charlton	45646	59.32	31298	40.68	76944	-7.78	390
Chifley	47513	64.54	26109	35.46	73622	-8.04	236
Cook	28343	37.72	46791	62.28	75134	-8.81	367
Cowper	27766	38.44	44465	61.56	72231	-7.5	288
Cunningham	44302	62.91	26122	37.09	70424	-5	435
Dobell	36675	50.08	36558	49.92	73233	-6.74	229
Eden-Monaro	32487	45.24	39318	54.76	71805	-9.03	342
Farrer	20439	28.77	50611	71.23	71050	-3.8	150
Fowler	50648	68.27	23544	31.73	74192	-3.73	177
Gilmore	31317	43.76	40243	56.24	71560	-6.69	224
Grayndler	48910	66.38	24776	33.62	73686	-6.43	843
Greenway	39299	53.39	34305	46.61	73604	-10.03	322
Gwydir	21856	31.49	47552	68.51	69408	-8.24	205
Hughes	35072	45.11	42669	54.89	77741	-11.31	280
Hume	27345	38.23	44174	61.77	71519	-8.07	222
Hunter	41003	56.97	30976	43.03	71979	-6.95	294
Kingsford-Smith	43028	60.15	28511	39.85	71539	-5.09	391
Lindsay	36088	48.42	38442	51.58	74530	-11.8	288
Lowe	34405	47.53	37978	52.47	72383	-7.48	380
Lyne	25776	34.56	48801	65.44	74577	-11.2	290
Macarthur	30034	39.31	46372	60.69	76406	-11.97	336
Mackellar	24827	33.47	49341	66.53	74168	-5.37	633
Macquarie	31780	43.64	41045	56.36	72825	-6.48	362
Mitchell	18410	25.68	53293	74.32	71703	-5.66	283
Newcastle	43807	61.19	27780	38.81	71587	-5.69	502
New England	21551	30.82	48381	69.18	69932	-8.98	381
North Sydney	27244	34.44	51851	65.56	79095	-6.03	565
Page	34657	45.69	41190	54.31	75847	-4.44	323
Parkes	32418	43.5	42100	56.5	74518	-5.96	199
Parramatta	33115	46.13	38671	53.87	71786	-7.11	215
Paterson	36885	49.57	37519	50.43	74404	-3.73	290
Prospect	44236	63.91	24984	36.09	69220	-5.13	153
Reid	43837	61.38	27580	38.62	71417	-7.42	165
Richmond	33108	43.25	43448	56.75	76556	-8.53	391
Riverina	21484	28.99	52614	71.01	74098	-8.08	164
Robertson	33430	46.44	38563	53.56	71993	-9.12	296
Shortland	41660	58.15	29982	41.85	71642	-9.18	297
Sydney	46703	63.8	26495	36.2	73198	-5.67	776
Throsby	48966	69.62	21369	30.38	70335	-4.41	289
