House of Representatives -1996 Election														
First Preference Votes and TCP														
By Candidate by Vote Type by Division														

New South Wales														

Banks (78925)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
#	"MELHAM, Daryl"	ALP	28115	43.52	1703	43.69	188	53.41	923	42.5	949	43.89	31878	43.56
	"SPARKES, David"	LP	25598	39.62	1396	35.81	103	29.26	897	41.3	909	42.04	28903	39.49
	"KAYES, John"	RARI	771	1.19	114	2.92	9	2.56	41	1.89	35	1.62	970	1.33
	"WEST, Gregg"	AFI	3353	5.19	227	5.82	24	6.82	101	4.65	92	4.26	3797	5.19
	"BAILEY, Alison"	DEM	4919	7.61	340	8.72	21	5.97	159	7.32	127	5.87	5566	7.6
	"THOMPSON, Don"	IND	1850	2.86	118	3.03	7	1.99	51	2.35	50	2.31	2076	2.84
		FORMAL	64606	95.62	3898	95.61	352	93.37	2172	97.22	2162	99.04	73190	95.75
		INFORMAL	2959	4.38	179	4.39	25	6.63	62	2.78	21	0.96	3246	4.25
		TOTAL	67565	88.39	4077	5.33	377	0.49	2234	2.92	2183	2.86	76436	96.85
Two Candidate Preferred														
#	"MELHAM, Daryl"	ALP	32974	51.29	2093	54.05	217	61.82	1092	50.53	1066	49.4	37442	51.41
	"SPARKES, David"	LP	31317	48.71	1779	45.95	134	38.18	1069	49.47	1092	50.6	35391	48.59
	EXHAUSTED		315		26		1		11		4		357	



Barton (80179)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"McLEAN, Chris. D."	CTA	1994	3.05	186	5.55	32	3.99	106	3.91	63	3.15	2381	3.2
#	"McCLELLAND, Robert"	ALP	31973	48.87	1462	43.64	482	60.02	1148	42.3	878	43.88	35943	48.38
	"SANTORINIOS, Arthur"	LP	26890	41.1	1290	38.51	222	27.65	1240	45.69	940	46.98	30582	41.17
	"NASSER, Safwan"	IND	1161	1.77	103	3.07	33	4.11	43	1.58	19	0.95	1359	1.83
	"CHUNG, Craig"	DEM	3405	5.2	309	9.22	34	4.23	177	6.52	101	5.05	4026	5.42
		FORMAL	65423	95.53	3350	96.54	803	93.81	2714	97.49	2001	98.77	74291	95.71
		INFORMAL	3060	4.47	120	3.46	53	6.19	70	2.51	25	1.23	3328	4.29
		TOTAL	68483	88.23	3470	4.47	856	1.1	2784	3.59	2026	2.61	77619	96.81
Two Candidate Preferred														
#	"McCLELLAND, Robert"	ALP	35630	54.63	1788	53.57	547	68.29	1324	48.82	961	48.07	40250	54.34
	"SANTORINIOS, Arthur"	LP	29587	45.37	1550	46.43	254	31.71	1388	51.18	1038	51.93	33817	45.66
	EXHAUSTED		206		12		2		2		2		224	



Bennelong (81033)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"MAHON, Wendy"	ALP	21351	32.47	1217	29.5	145	39.08	859	32.38	676	27.09	24248	32.16
	"PARKER, Jamie"	GRN	1477	2.25	229	5.55	16	4.31	89	3.35	50	2	1861	2.47
	"KEMP, Paul"	AFI	1715	2.61	142	3.44	16	4.31	47	1.77	48	1.92	1968	2.61
	"DROULERS, Julien Paul"	IND	141	0.21	28	0.68	1	0.27	12	0.45	5	0.2	187	0.25
	"BERNARD, James Joseph"	IND	91	0.14	9	0.22	1	0.27	7	0.26	3	0.12	111	0.15
	"SHAW, Robert"	NAN	1140	1.73	71	1.72	6	1.62	55	2.07	33	1.32	1305	1.73
	"REDDY, Suzanne"	DEM	4087	6.22	325	7.88	30	8.09	136	5.13	122	4.89	4700	6.23
	"DAWSON, John"	IND	175	0.27	20	0.48	1	0.27	5	0.19	7	0.28	208	0.28
#	"HOWARD, John Winston"	LP	35390	53.82	2065	50.05	151	40.7	1436	54.13	1547	62	40589	53.83
	"CARR, Tim"	NLP	192	0.29	20	0.48	4	1.08	7	0.26	4	0.16	227	0.3
		FORMAL	65759	96.02	4126	96.51	371	92.52	2653	98.01	2495	98.73	75404	96.18
		INFORMAL	2729	3.98	149	3.49	30	7.48	54	1.99	32	1.27	2994	3.82
		TOTAL	68488	87.36	4275	5.45	401	0.51	2707	3.45	2527	3.22	78398	96.75
Two Candidate Preferred														
	"MAHON, Wendy"	ALP	26162	39.97	1687	41.13	185	50.55	1057	40.01	827	33.24	29918	39.87
#	"HOWARD, John Winston"	LP	39286	60.03	2415	58.87	181	49.45	1585	59.99	1661	66.76	45128	60.13
	EXHAUSTED		311		24		5		11		7		358	



Berowra (82360)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
#	"RUDDOCK, Philip"	LP	38996	58.7	2255	52.42	152	45.51	2649	61.15	1258	65.62	45310	58.6
	"CONNOLLY, Christopher"	GRN	1902	2.86	300	6.97	21	6.29	177	4.09	53	2.76	2453	3.17
	"DISNEY, Simon"	DEM	4983	7.5	374	8.69	25	7.49	267	6.16	102	5.32	5751	7.44
	"McCARROLL, Nola"	ALP	14582	21.95	891	20.71	67	20.06	807	18.63	319	16.64	16666	21.55
	"VAN WYK, Steve Martin"	AFI	1648	2.48	151	3.51	22	6.59	99	2.29	44	2.3	1964	2.54
	"GALLAGHER, Mick"	IND	4213	6.34	315	7.32	45	13.47	325	7.5	136	7.09	5034	6.51
	"SCALLY, Bill"	NLP	112	0.17	16	0.37	2	0.6	8	0.18	5	0.26	143	0.18
		FORMAL	66436	97.09	4302	97.02	334	95.43	4332	98.45	1917	98.61	77321	97.19
		INFORMAL	1990	2.91	132	2.98	16	4.57	68	1.55	27	1.39	2233	2.81
		TOTAL	68426	86.01	4434	5.57	350	0.44	4400	5.53	1944	2.44	79554	96.59
Two Candidate Preferred														
#	"RUDDOCK, Philip"	LP	45058	68.31	2758	64.53	197	59.7	3085	71.51	1428	74.53	52526	68.4
	"McCARROLL, Nola"	ALP	20902	31.69	1516	35.47	133	40.3	1229	28.49	488	25.47	24268	31.6
