House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State

"ABBOTT, Tony"	LP		Warringah	NSW
"ABFALTER, David"	ALP		Hindmarsh	SA
"ABNETT, Geoffrey John"	OAP		Longman	QLD
"ADAMS, Dick"	ALP		Lyons	TAS
"ADAMS, Xanthe"	DEM		Forde	QLD
"AGIUS, Stephen"	IND		Macarthur	NSW
"ALBANESE, Anthony"	ALP		Grayndler	NSW
"ALLEN, Dave"	IND		Lowe	NSW
"ALLEN, Rob"	ALP		Calare	NSW
"ALLEN, Steve"	GRN		Hughes	NSW
"ALLISON, Heath"	NLP		Holt	VIC
"ALLISON, Jan"	NLP		Isaacs	VIC
"ALTHAM, Kevin"	NP		O'Connor	WA
"ANDERSON, John"	NP		Gwydir	NSW
"ANDERSON, Leone L"	IND		Brand	WA
"ANDERSON, Russell"	LP		Lyons	TAS
"ANDREACCHIO, Marco"	NLP		Gellibrand	VIC
"ANDREN, Peter"	IND		Calare	NSW
"ANDREW, Neil"	LP		Wakefield	SA
"ANDREWS, Kevin"	LP		Menzies	VIC
"ANDREWS, Margaret"	ALP		McPherson	QLD
"ANDREWS, Mark"	DEM		Adelaide	SA
"ANDREWS, Paul"	ALP		Pearce	WA
"ANTHONY, Larry"	NP		Richmond	NSW
"APAP, George"	GRN		Port Adelaide	SA
"ARMSTRONG, Cameron"	IND		Moreton	QLD
"ARTHUR, Trevor J"	CTA		Page	NSW
"ATKINSON, Geoffrey J"	AIP		Dickson	QLD
"ATKINSON, Rod"	LP		Isaacs	VIC
"AUBREY, Jim"	DEM		Holt	VIC
"AUSSIE-STONE, Marc"	IND		Blaxland	NSW
"AVILA, Eduardo"	DEM		Parramatta	NSW

"BACH, Willy"	GRN		Ryan	QLD
"BACON, Wendy"	NAN		Sydney	NSW
"BAHLAW, Armen"	AGV		Bruce	VIC
"BAILEY, Alison"	DEM		Banks	NSW
"BAILEY, Fran"	LP		McEwen	VIC
"BAKER, Norman"	CTA		McMillan	VIC
"BAKER, Peter Arthur"	DEM		Calare	NSW
"BAKER, Tony"	IND		Makin	SA
"BALDWIN, Bob"	LP		Paterson	NSW
"BALDWIN, Peter"	ALP		Sydney	NSW
"BARNACLE, Robert"	GWA		Pearce	WA
"BARNES, Lorraine"	IND		Fisher	QLD
"BARNES, Richard"	NLP		Calwell	VIC
"BARRESI, Phil"	LP		Deakin	VIC
"BARRETT, Ken"	NLP		Tangney	WA
"BARRETT, Michael"	DEM		Curtin	WA
"BARRY, Ann"	DEM		Bradfield	NSW
"BARRY, Diane"	DEM		Goldstein	VIC
"BARTLETT, Andrew"	DEM		Brisbane	QLD
"BARTLETT, Kerry"	LP		Macquarie	NSW
"BATES, John"	AFI		Greenway	NSW
"BAWDEN, Bob"	CTA		Greenway	NSW
"BEACHAM, Jenny"	ALP		Ballarat	VIC
"BEALE, Julian"	LP		Bruce	VIC
"BEAMS, Nick"			Blaxland	NSW
"BEATTY, Franklin"	AIP		Maranoa	QLD
"BEAZLEY, Kim"	ALP		Brand	WA
"BECKETT, Gloria"	AIP		Lilley	QLD
"BEDDALL, David"	ALP		Rankin	QLD
"BEEFORTH, Colin"	DEM		Flinders	VIC
"BEER, Jane"	AGV		Kooyong	VIC
"BEGG, Zanny"	IND		Brisbane	QLD
"BEKIARIS, Evan"	DEM		Scullin	VIC
"BELL, Marshall"	AIP		Forde	QLD
"BELL, Rosemary Joyce"	AIP		Rankin	QLD
"BENBOW, Anthony"			Perth	WA
"BENNISON, Rod"	DEM		Hunter	NSW
"BENTON, John"	AGV		La Trobe	VIC
"BERNARD, James Joseph"	IND		Bennelong	NSW
"BERTWISTLE, Daryl"	IND		Lilley	QLD
"BEST, John Philip"	LP		Gellibrand	VIC
"BETHUNE, Herb"	IND		Macarthur	NSW
"BEVIS, Arch"	ALP		Brisbane	QLD
"BEYERSDORF, Herman"	ALP		New England	NSW
"BIDSTRUP, David"	IND		Adelaide	SA
"BILLSON, Bruce"	LP		Dunkley	VIC
"BILNEY, Gordon"	ALP		Kingston	SA
"BILYANA, Yabu"			Kingsford-Smith	NSW
"BISHOP, Bronwyn"	LP		Mackellar	NSW
"BJELKE-PETERSEN, John"	NP		Fisher	QLD
"BLOOMER, Anthony Roy"	DEM		Canning	WA
"BODINAR, Chris"	LP		Bonython	SA
"BOETTCHER, Barry"	DEM		Newcastle	NSW
"BOFFA, Gilbert"	IND		Deakin	VIC
"BOLGER, Irene"	IND		Batman	VIC
"BOND, Alex"	AIP		Fisher	QLD
"BONNICE, Pat"	ALP		Longman	QLD
"BOTICA, Deborah"	GWA		Kalgoorlie	WA
"BRADFORD, John Walter"	LP		McPherson	QLD
"BRADLEY, Tom"	NP		Longman	QLD
