House of Representatives - 1996 election 								
Votes Counted by Vote Type								
By Division								

National Summary								
		Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Votes	%
New South Wales	3955782	3317034	211290	104499	149246	30297	3812366	96.37
Victoria	2972635	2502794	143464	95401	94925	20352	2856936	96.11
Queensland	2091384	1686655	126677	79814	75798	9831	1978775	94.62
Western Australia	1088487	880563	77469	25812	38965	10763	1033572	94.95
South Australia	1001006	841197	52628	29085	26581	10400	959891	95.89
Tasmania	329304	267629	21277	13378	12560	3199	318043	96.58
Australian Capital Territory	203170	158923	5184	5399	25139	1761	196406	96.67
Northern Territory	98800	77791	0	2637	6369	1231	88028	89.1
NATIONAL TOTAL	11740568	9732586	637989	356025	429583	87834	11244017	95.77


New South Wales								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Banks	78925	67565	4077	2183	2234	377	76436	96.85
Barton	80179	68483	3470	2026	2784	856	77619	96.81
Bennelong	81033	68488	4275	2527	2707	401	78398	96.75
Berowra	82360	68426	4434	1944	4400	350	79554	96.59
Blaxland	78692	67279	3796	1824	1825	871	75595	96.06
Bradfield	79617	66443	4155	2222	3722	246	76788	96.45
Calare	78088	65625	4468	2336	2726	451	75606	96.82
Charlton	82294	69082	4750	2283	3502	484	80101	97.34
Chifley	81170	69839	4482	1054	1814	767	77956	96.04
Cook	80004	66889	4229	2275	3594	436	77423	96.77
Cowper	77170	63811	4415	2063	2975	964	74228	96.19
Cunningham	76150	65123	3311	2021	2617	438	73510	96.53
Dobell	78239	64737	4450	2190	3730	579	75686	96.74
Eden-Monaro	77496	64503	3002	2747	3715	403	74370	95.97
Farrer	76772	64589	2034	2911	3941	242	73717	96.02
Fowler	84398	72745	4203	1085	1679	1188	80900	95.86
Gilmore	75734	62380	3864	2308	4285	677	73514	97.07
Grayndler	82756	69105	4763	1638	2293	1016	78815	95.24
Greenway	81151	69126	4592	1539	2361	446	78064	96.2
Gwydir	73855	60340	5393	2452	2683	562	71430	96.72
Hughes	82293	70675	4516	1732	2978	312	80213	97.47
Hume	75978	64222	4417	2273	2578	163	73653	96.94
Hunter	76509	64880	4315	1863	2720	471	74249	97.05
Kingsford-Smith	79741	66767	3471	1909	3023	585	75755	95
Lindsay	80732	68658	4837	1396	2213	492	77596	96.12
Lowe	79599	67361	3877	2507	2426	608	76779	96.46
Lyne	79314	66509	4331	1797	3478	679	76794	96.82
Macarthur	82226	69953	5069	1528	2437	554	79541	96.73
Mackellar	80181	66850	4238	2200	3335	725	77348	96.47
Macquarie	78888	65636	4740	2176	2964	675	76191	96.58
Mitchell	76394	65296	4394	1676	2591	243	74200	97.13
Newcastle	76670	64038	4662	2537	2301	656	74194	96.77
New England	74896	60965	4255	2199	3702	841	71962	96.08
North Sydney	85921	69250	5242	2656	3948	645	81741	95.14
Page	80428	67586	3374	2645	3351	727	77683	96.59
Parkes	80257	64971	4745	2813	3866	540	76935	95.86
Parramatta	77692	64966	4567	2710	2218	427	74888	96.39
Paterson	78499	67124	4207	2368	2259	466	76424	97.36
Prospect	76469	67116	3622	1024	1345	514	73621	96.28
Reid	78526	66775	4278	1856	2196	524	75629	96.31
Richmond	81853	66739	2482	2751	5521	1094	78587	96.01
Riverina	79097	66862	3729	1847	3668	632	76738	97.02
Robertson	76620	63225	4514	2481	3493	671	74384	97.08
Shortland	76092	63969	4216	2016	3292	521	74014	97.27
Sydney	83442	64397	6109	2195	3423	1352	77476	92.85
Throsby	75668	66434	2742	1460	2125	711	73472	97.1
Warringah	78373	64365	4444	2063	3817	636	75325	96.11
