House of Representatives -1996 Election : Tasmania																														
First Preference Votes and TCP																														
By Candidate by Polling Place																														


Bass (66017)																														

		# SMITH			SMITH			NICKLASON			BUTLER			FORMAL			INFORMAL			TOTAL										
		Warwick		          	Silvia		         	Kristina		           	Debbie		         			     			     			     	Two Candidate Preferred		    			    		
		LP			ALP			TG			DEM					 			 			 	# SMITH LP			 SMITH ALP			 EXHAUSTED 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alanvale	                                    	1107	40.95	 	1404	51.94	 	108	4	 	84	3.11	 	2703	97.16	 	79	2.84	 	2782	4.38	 	1177	43.64	 	1520	56.36	 	6	
Blessington Upper	                           	56	64.37	 	25	28.74	 	5	5.75	 	1	1.15	 	87	97.75	 	2	2.25	 	89	0.14	 	56	64.37	 	31	35.63	 	0	
Branxholm	                                   	122	53.51	 	87	38.16	 	11	4.82	 	8	3.51	 	228	98.28	 	4	1.72	 	232	0.37	 	129	56.83	 	98	43.17	 	1	
Bridport	                                    	798	64.1	 	385	30.92	 	31	2.49	 	31	2.49	 	1245	98.19	 	23	1.81	 	1268	2	 	825	66.32	 	419	33.68	 	1	
Cape Barren Island	                          	11	27.5	 	27	67.5	 	1	2.5	 	1	2.5	 	40	100	 	0	0	 	40	0.06	 	12	30	 	28	70	 	0	
Cosgrove Park	                               	176	58.28	 	115	38.08	 	6	1.99	 	5	1.66	 	302	98.37	 	5	1.63	 	307	0.48	 	182	60.26	 	120	39.74	 	0
Derby	                                       	70	43.75	 	64	40	 	23	14.38	 	3	1.88	 	160	95.81	 	7	4.19	 	167	0.26	 	77	49.36	 	79	50.64	 	4
Dilston	                                     	344	59.41	 	179	30.92	 	37	6.39	 	19	3.28	 	579	98.14	 	11	1.86	 	590	0.93	 	369	63.84	 	209	36.16	 	1
Elphin	                                      	258	46.57	 	248	44.77	 	30	5.42	 	18	3.25	 	554	97.54	 	14	2.46	 	568	0.89	 	278	50.27	 	275	49.73	 	1
Emita	                                       	42	65.63	 	15	23.44	 	2	3.13	 	5	7.81	 	64	98.46	 	1	1.54	 	65	0.1	 	44	69.84	 	19	30.16	 	1
Franklin Village	                            	122	55.71	 	84	38.36	 	7	3.2	 	6	2.74	 	219	99.1	 	2	0.9	 	221	0.35	 	131	59.82	 	88	40.18	 	0
General Hospital	                            	219	46.79	 	192	41.03	 	40	8.55	 	17	3.63	 	468	97.91	 	10	2.09	 	478	0.75	 	242	51.93	 	224	48.07	 	2
George Town	                                 	783	36.32	 	1235	57.28	 	75	3.48	 	63	2.92	 	2156	97.2	 	62	2.8	 	2218	3.49	 	821	38.13	 	1332	61.87	 	3
George Town South	                           	346	37.69	 	525	57.19	 	25	2.72	 	22	2.4	 	918	98.08	 	18	1.92	 	936	1.47	 	357	38.97	 	559	61.03	 	2
Gladstone	                                   	90	43.48	 	101	48.79	 	9	4.35	 	7	3.38	 	207	96.73	 	7	3.27	 	214	0.34	 	95	45.89	 	112	54.11	 	0
Hillwood	                                    	176	47.06	 	167	44.65	 	11	2.94	 	20	5.35	 	374	98.68	 	5	1.32	 	379	0.6	 	190	50.8	 	184	49.2	 	0
Inveresk	                                    	335	34.43	 	567	58.27	 	40	4.11	 	31	3.19	 	973	96.53	 	35	3.47	 	1008	1.59	 	361	37.14	 	611	62.86	 	1
Invermay	                                    	512	41.69	 	625	50.9	 	49	3.99	 	42	3.42	 	1228	97.93	 	26	2.07	 	1254	1.97	 	547	44.62	 	679	55.38	 	2
Karoola	                                     	172	59.52	 	89	30.8	 	14	4.84	 	14	4.84	 	289	97.97	 	6	2.03	 	295	0.46	 	184	64.34	 	102	35.66	 	3
Kings Meadows	                               	865	53.13	 	665	40.85	 	42	2.58	 	56	3.44	 	1628	97.6	 	40	2.4	 	1668	2.62	 	901	55.48	 	723	44.52	 	4
