House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Beverly Hills North	2763	1407	51.07	1348	48.93	-9.28	8
East Hills	1178	589	50.3	582	49.7	-12.75	7
Hannans Road	2520	1608	63.99	905	36.01	-8.24	7
Lugarno	3299	979	29.83	2303	70.17	-7.07	17
Milperra	2705	1189	44.18	1502	55.82	-13.55	14
Mortdale Central	2126	1136	53.84	974	46.16	-10.07	16
Mortdale Heights	964	455	47.4	505	52.6	-10.33	4
Mortdale West	2220	1117	50.47	1096	49.53	-7.92	7
Narwee	2653	1438	54.41	1205	45.59	-7.91	10
Oatley (Banks)	438	153	35.09	283	64.91	-14.91	2
Oatley West	2490	1008	40.79	1463	59.21	-6.33	19
Padstow	3667	2043	55.96	1608	44.04	-11.03	16
Padstow East	913	502	55.41	404	44.59	-11.02	7
Padstow North	1193	615	51.81	572	48.19	-13.6	6
Padstow South	2983	1363	45.95	1603	54.05	-8.61	17
Panania	2064	1103	53.73	950	46.27	-11.14	11
Panania Central	1743	950	54.88	781	45.12	-10.52	12
Panania North	1876	1060	56.68	810	43.32	-10.27	6
Panania South	3164	1476	46.96	1667	53.04	-12.14	21
Peakhurst	573	311	54.66	258	45.34	-9.25	4
Peakhurst East	1631	886	54.69	734	45.31	-5.12	11
Peakhurst South	1951	724	37.24	1220	62.76	-4.1	7
Peakhurst West	2756	1251	45.56	1495	54.44	-9.28	10
Penshurst Central	2244	1275	57.17	955	42.83	-6.65	14
Picnic Point North	2036	907	44.66	1124	55.34	-11.85	5
Punchbowl (Banks)	2223	1547	69.65	674	30.35	-6.88	2
Revesby	1502	906	60.64	588	39.36	-10.08	8
Revesby North	3197	1837	57.69	1347	42.31	-10.44	13
Revesby South	2418	1251	52.17	1147	47.83	-11.17	20
Riverwood North	1485	1025	69.35	453	30.65	-9.33	7
Riverwood South	1386	743	53.8	638	46.2	-5.96	5
Special Hospital Team 1	168	73	43.45	95	56.55	-	0
Sydney (Banks)	77	47	62.67	28	37.33	3.25	2
ABSENT	3898	2093	54.05	1779	45.95	-	26
POSTAL	2162	1066	49.4	1092	50.6	-	4
PRE POLL	2172	1092	50.53	1069	49.47	-	11
PROVISIONAL	352	217	61.82	134	38.18	-	1
Division Total	73190	37442	51.41	35391	48.59	-9.13	357


Barton							

Polling Place	Formal	McCLELLAND		SANTORINIOS		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Allawah	1478	830	56.46	640	43.54	-3.06	8
Allawah South	843	481	57.4	357	42.6	-7.3	5
Arncliffe	968	584	60.39	383	39.61	-4.36	1
Arncliffe East	1167	827	71.23	334	28.77	-4.92	6
Athelstane	3035	2117	69.87	913	30.13	-4.35	5
Bald Face	1440	301	20.95	1136	79.05	-2.3	3
Banksia	1925	1440	74.84	484	25.16	1.24	1
Bell Park	973	486	50.05	485	49.95	-5.83	2
Bexley	2171	1385	64	779	36	-0.7	7
Bexley Central	935	605	64.84	328	35.16	-1.25	2
Blakehurst	963	362	37.71	598	62.29	-8.97	3
Bona Park	799	393	49.37	403	50.63	-7.7	3
Brighton North	2236	1273	57.19	953	42.81	-6.57	10
Brighton-Le-Sands	2114	1213	57.52	896	42.48	-5.74	5
Broadford Street	705	456	65.14	244	34.86	-6.53	5
Carlton	2018	1338	66.47	675	33.53	-3.8	5
Carlton North	1208	754	62.57	451	37.43	-5.14	3
Carss Park	998	322	32.43	671	67.57	-6.26	5
Clareville Park	2263	971	42.98	1288	57.02	-8.94	4
Connells Point	2894	841	29.12	2047	70.88	-2.83	6
Hurstville Central	1199	623	52.13	572	47.87	-0.19	4
Hurstville Grove	2299	1051	45.98	1235	54.02	-7.81	13
Hurstville South	570	265	46.74	302	53.26	-4.33	3
Jubilee	2922	1649	56.57	1266	43.43	-3.03	7
Kogarah	1058	710	67.43	343	32.57	2.06	5
Kogarah Bay	983	360	36.92	615	63.08	-11.68	8
Kogarah Central	974	650	67.01	320	32.99	-3.24	4
Kyeemagh	685	423	61.75	262	38.25	0.21	0
Monterey	2118	1051	49.81	1059	50.19	-9.92	8
Moorefield	865	440	50.98	423	49.02	-10.82	2
Mortdale East	1109	519	47.1	583	52.9	-12.61	7
Oatley (Barton)	2311	892	38.75	1410	61.25	-5.82	9
Ramsgate North	1951	985	50.59	962	49.41	-6.97	4
Rockdale	2116	1602	76	506	24	-0.36	8
Rockdale Central	868	601	69.48	264	30.52	-4.92	3
Rockdale Park	620	423	68.23	197	31.77	1.02	0
Rockdale West	1792	1325	74.11	463	25.89	0.39	4
Sans Souci	2208	922	41.87	1280	58.13	-9.58	6
Sans Souci North	2269	1116	49.36	1145	50.64	-10.8	8
South Haven	737	461	62.72	274	37.28	-6.93	2
Special Hospital Team 1	208	69	33.17	139	66.83	-	0
Special Hospital Team 2	143	69	48.25	74	51.75	-	0
Special Hospital Team 3	148	70	47.3	78	52.7	-	0
St Cuthbert's	2001	1088	54.59	905	45.41	-2.35	8
St George Hospital	155	94	61.04	60	38.96	2.22	1
Sydney (Barton)	134	89	66.42	45	33.58	29.42	0
The Mall	814	331	40.66	483	59.34	-7.47	0
Turrella	1033	773	75.05	257	24.95	-6.59	3
ABSENT	3350	1788	53.57	1550	46.43	-	12
POSTAL	2001	961	48.07	1038	51.93	-	2
PRE POLL	2714	1324	48.82	1388	51.18	-	2
PROVISIONAL	803	547	68.29	254	31.71	-	2
Division Total	74291	40250	54.34	33817	45.66	-5.05	224


Bennelong							

Polling Place	Formal	MAHON		HOWARD		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Balaclava	2232	915	41.22	1305	58.78	-2.55	12
Boronia Park	2225	924	41.94	1279	58.06	-9.5	22
Denistone	832	334	40.24	496	59.76	1.06	2
Denistone East	2109	783	37.3	1316	62.7	-4.73	10
Eastview	1682	703	41.92	974	58.08	-10.97	5
Eastwood	4515	1769	39.37	2724	60.63	-6.93	22
Eastwood Heights	2218	762	34.46	1449	65.54	-6.12	7
Eastwood West	427	145	33.96	282	66.04	-8.37	0
Epping (Bennelong)	1991	737	37.35	1236	62.65	-1.5	18
Epping East	2671	921	34.79	1726	65.21	-2.78	24
Epping North	2335	700	30.12	1624	69.88	-7.72	11
Epping West (Bennelong)	835	238	28.92	585	71.08	-13.72	12
Ermington (Bennelong)	1173	499	42.72	669	57.28	-5.03	5
Gladesville	3230	1436	44.71	1776	55.29	-8.55	18
Gladesville Central	635	258	40.63	377	59.37	-15.2	0
Gladesville East	340	139	41.12	199	58.88	-6.26	2
Gladesville North	1576	683	43.56	885	56.44	-7.22	8
Gladesville West	1056	392	37.26	660	62.74	-13.14	4
Hunters Hill	1608	291	18.15	1312	81.85	-7.57	5
Hunters Hill West	1177	339	28.95	832	71.05	-9.87	6
Kent Road	2048	873	42.77	1168	57.23	-10.7	7
Kittys Creek	378	145	38.67	230	61.33	-11.33	3
Lyon Park	1245	600	48.54	636	51.46	-6.36	9
Marsfield	2094	816	39.16	1268	60.84	-2.56	10
Meadowbank	704	349	49.79	352	50.21	-6.8	3
Parkes Street	1501	689	45.96	810	54.04	-8.74	2
Putney	2459	969	39.47	1486	60.53	-10.38	4
Royal Ryde Homes	168	67	40.36	99	59.64	-5.74	2
Ryde	3086	1644	53.41	1434	46.59	-6.17	8
Ryde Central	1258	544	43.35	711	56.65	-7.58	3
Ryde East	3074	1137	37.23	1917	62.77	-9.64	20
Ryde Heights	608	288	47.45	319	52.55	-11.39	1
Ryde Hospital	664	249	37.61	413	62.39	-0.85	2
Ryde North	2997	1258	42.17	1725	57.83	-9.46	14
Ryde South	669	291	43.5	378	56.5	-5.68	0
Special Hospital Team 1	182	63	34.62	119	65.38	-	0
Special Hospital Team 2	257	13	5.06	244	94.94	-	0
Special Hospital Team 3	39	19	48.72	20	51.28	-	0
Special Hospital Team 4	58	18	31.03	40	68.97	-	0
Special Hospital Team 5	101	27	26.73	74	73.27	-	0
Sydney (Bennelong)	168	86	51.81	80	48.19	-5.71	2
Truscott	1605	624	39	976	61	-9.67	5
Water Tanks	827	348	42.23	476	57.77	-10.72	3
West Ryde	3558	1752	49.45	1791	50.55	-7.05	15
Wicks	462	169	36.58	293	63.42	-2.66	0
Woolwich	682	156	23.04	521	76.96	-5.53	5
ABSENT	4126	1687	41.13	2415	58.87	-	24
POSTAL	2495	827	33.24	1661	66.76	-	7
PRE POLL	2653	1057	40.01	1585	59.99	-	11
PROVISIONAL	371	185	50.55	181	49.45	-	5
Division Total	75404	29918	39.87	45128	60.13	-6.95	358


Berowra							

Polling Place	Formal	McCARROLL		RUDDOCK		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Arcadia	864	172	20.12	683	79.88	-8.42	9
Asquith	2031	797	39.46	1223	60.54	-9.4	11
Beecroft	3258	790	24.48	2437	75.52	-8.8	31
Beecroft West	2964	843	28.62	2103	71.38	-6.17	18
Berowra	3219	1196	37.42	2000	62.58	-10.46	23
Berowra North	1714	637	37.49	1062	62.51	-8.98	15
Berowra Waters	76	8	10.67	67	89.33	-24	1
Bowden Brae	407	91	22.52	313	77.48	-7.67	3
Brooklyn	432	210	48.72	221	51.28	-8.2	1
Cheltenham	1242	295	23.98	935	76.02	-5.71	12
Cherrybrook (Berowra)	1536	411	26.79	1123	73.21	-3.49	2
Cherrybrook South	940	199	21.26	737	78.74	-1.98	4
Cowan	321	145	45.74	172	54.26	-12.78	4
Dangar Island	124	67	54.47	56	45.53	-11.88	1
Dural (Berowra)	1174	236	20.21	932	79.79	-5.56	6
Epping (Berowra)	367	148	41	213	59	6.72	6
Epping Heights	1701	516	30.48	1177	69.52	-6.7	8
Epping West (Berowra)	1822	584	32.21	1229	67.79	-7.06	9
Galston	1609	318	19.92	1278	80.08	-6.88	13
Glenorie (Berowra)	734	152	20.97	573	79.03	-2.5	9
Hornsby	1932	796	41.5	1122	58.5	-6.97	14
Hornsby Heights	2710	892	33.2	1795	66.8	-10.71	23
Hornsby Hospital	383	159	42.06	219	57.94	-5.76	5
Hornsby North	1632	604	37.56	1004	62.44	-9.21	24
Hornsby South	2706	1193	44.37	1496	55.63	-2.73	17
Hornsby West	889	354	40.23	526	59.77	-5.42	9
John Purchase	3814	1192	31.36	2609	68.64	-3.67	13
Middle Dural (Berowra)	367	73	20	292	80	0.56	2
Mount Colah	2796	1049	37.79	1727	62.21	-9.62	20
Mount Kuring-Gai	1053	425	40.67	620	59.33	-8.11	8
Normanhurst	2330	760	32.84	1554	67.16	-6.8	16
Normanhurst North	1400	492	35.42	897	64.58	-8.62	11
Normanhurst West	2130	713	33.92	1389	66.08	-6.91	28
Pennant Hills	3658	1206	33.15	2432	66.85	-5.3	20
Special Hospital Team 1	177	20	11.3	157	88.7	-	0
Special Hospital Team 2	119	19	15.97	100	84.03	-	0
Special Hospital Team 3	157	24	15.29	133	84.71	-	0
Special Hospital Team 4	153	34	22.22	119	77.78	-	0
Special Hospital Team 5	69	13	18.84	56	81.16	-	0
Sydney (Berowra)	128	53	42.06	73	57.94	-12.35	2
Thompsons Corner (Berowra)	1678	401	24.1	1263	75.9	-7.02	14
Thornleigh	1399	453	32.64	935	67.36	-7.86	11
Turramurra South (Berowra)	542	142	26.49	394	73.51	-2.92	6
Waitara	1986	618	31.43	1348	68.57	-6.31	20
Waitara South	430	98	22.84	331	77.16	-4.74	1
Warrawee (Berowra)	1969	442	22.56	1517	77.44	-5.54	10
Westleigh	3294	862	26.3	2416	73.7	-5.32	16
ABSENT	4302	1516	35.47	2758	64.53	-	28
POSTAL	1917	488	25.47	1428	74.53	-	1
PRE POLL	4332	1229	28.49	3085	71.51	-	18
PROVISIONAL	334	133	40.3	197	59.7	-	4
Division Total	77321	24268	31.6	52526	68.4	-6.2	527


Blaxland							

Polling Place	Formal	KEATING		KOROVIN		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bankstown	1454	1009	69.68	439	30.32	-2.86	6
Bankstown Central	1549	1119	72.38	427	27.62	-10.02	3
Bankstown North	1549	1029	66.73	513	33.27	-6.67	7
Bankstown South	1668	1116	66.95	551	33.05	-7.93	1
Bankstown West	2635	1975	75.07	656	24.93	-7.33	4
Bass Hill	2074	1214	58.76	852	41.24	-11.54	8
Bass Hill Central	1471	821	56.16	641	43.84	-11.74	9
Bass Hill West	3002	1538	51.39	1455	48.61	-9.4	9
Birrong	2820	1638	58.31	1171	41.69	-10.74	11
Chester Hill	3529	2169	61.64	1350	38.36	-11	10
Chester Hill North	2110	1186	56.24	923	43.76	-13.1	1
Chullora	1841	1052	57.42	780	42.58	-12.02	9
Chullora South (Blaxland)	1487	896	60.54	584	39.46	-11.63	7
Condell Park	4771	2753	57.82	2008	42.18	-11.09	10
Condell Park South	1882	1361	72.7	511	27.3	-7.45	10
Georges Hall	3286	1643	50.18	1631	49.82	-10.12	12
Gosling Park	1304	759	58.43	540	41.57	-9.71	5
Greenacre	4948	3202	64.98	1726	35.02	-8.02	20
Mount Lewis	825	507	61.53	317	38.47	-11.92	1
Old Guildford (Blaxland)	199	124	62.31	75	37.69	-14.04	0
Punchbowl (Blaxland)	2681	1955	73.03	722	26.97	-7.86	4
Punchbowl Central	1894	1331	70.31	562	29.69	-6.41	1
Sefton	2273	1324	58.38	944	41.62	-9.4	5
Special Hospital Team 1	130	58	44.96	71	55.04	-	1
Special Hospital Team 2	142	79	56.03	62	43.97	-	1
Sydney (Blaxland)	67	42	62.69	25	37.31	-19.13	0
Villawood Central	436	342	78.8	92	21.2	-12.22	2
Villawood East	1294	955	74.03	335	25.97	-9.49	4
Wattawa Heights	1906	1164	61.13	740	38.87	-9.5	2
Wiley Park West	3109	2316	74.59	789	25.41	-5.13	4
Yagoona	3165	2116	67.07	1039	32.93	-6.95	10
Yagoona West	1260	793	63.09	464	36.91	-7.59	3
ABSENT	3510	2101	60.13	1393	39.87	-	16
POSTAL	1788	1000	56.15	781	43.85	-	7
PRE POLL	1750	1032	59.04	716	40.96	-	2
PROVISIONAL	781	609	78.08	171	21.92	-	1
Division Total	70590	44328	62.98	26056	37.02	-9.12	206


Bradfield							

Polling Place	Formal	KEMENY		NELSON		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Belrose (Bradfield)	1204	322	26.79	880	73.21	-8.76	2
Belrose North (Bradfield)	1251	290	23.31	954	76.69	-5.56	7
Castle Cove	1450	309	21.43	1133	78.57	-2.53	8
Chatswood (Bradfield)	316	119	38.02	194	61.98	-11.22	3
Chatswood North	1077	370	34.55	701	65.45	-8.21	6
Chatswood West (Bradfield)	740	247	33.47	491	66.53	-3.8	2
Frenchs Forest (Bradfield)	384	98	25.59	285	74.41	-7.93	1
Gordon	2770	728	26.5	2019	73.5	-1.24	23
Gordon East	1967	447	22.93	1502	77.07	-0.44	18
Gordon West	1618	448	28.09	1147	71.91	-4.62	23
Kambora	806	194	24.19	608	75.81	-6.7	4
Killara	1808	268	14.94	1526	85.06	-0.8	14
Killara East	2064	540	26.38	1507	73.62	1.49	17
Kissing Point	1093	311	28.9	765	71.1	-5.45	17
Lady Davidson Hospital	67	15	22.73	51	77.27	-24.77	1
Lindfield	2059	539	26.4	1503	73.6	-0.01	17
Lindfield East	1899	436	23.19	1444	76.81	-4.31	19
Lindfield North	2973	857	29.12	2086	70.88	-2.64	30
Lindfield West	2418	627	26.4	1748	73.6	-4.43	43
Mimosa	2555	626	24.66	1913	75.34	-2.35	16
Pymble	1946	347	17.95	1586	82.05	-1.61	13
Pymble North	1952	411	21.26	1522	78.74	-2.85	19
Pymble West	1956	501	25.89	1434	74.11	-7.17	21
Roseville	1301	282	21.88	1007	78.12	-3.1	12
Roseville Chase	993	258	26.06	732	73.94	-4.33	3
Roseville East	1139	299	26.58	826	73.42	-3.11	14
Roseville South (Bradfield)	742	249	33.88	486	66.12	-1.08	7
Special Hospital Team 1	255	38	14.96	216	85.04	-	1
Special Hospital Team 2	283	17	6.03	265	93.97	-	1
Special Hospital Team 3	130	20	15.38	110	84.62	-	0
Special Hospital Team 4	181	26	14.36	155	85.64	-	0
Special Hospital Team 5	162	19	11.73	143	88.27	-	0
St Ives	1496	277	18.67	1207	81.33	-0.3	12
St Ives Chase	709	142	20.4	554	79.6	-3.44	13
St Ives North	2801	621	22.39	2153	77.61	-1.06	27
St Ives Park	1709	345	20.29	1355	79.71	-1.58	9
St Ives South	2866	594	20.87	2252	79.13	-6.11	20
Sydney (Bradfield)	110	36	32.73	74	67.27	-6.05	0
Turramurra	764	96	12.65	663	87.35	-4.34	5
Turramurra Central	1736	364	21.25	1349	78.75	-2.82	23
Turramurra North	2393	562	23.69	1810	76.31	-6.3	21
Turramurra South (Bradfield)	2153	675	31.76	1450	68.24	-4.1	28
Wahroonga	2965	580	19.74	2358	80.26	-2.29	27
Wahroonga East	1787	396	22.44	1369	77.56	-1.06	22
Warrawee (Bradfield)	1420	329	23.33	1081	76.67	-5.23	10
ABSENT	4021	1102	27.68	2879	72.32	-	40
POSTAL	2191	462	21.18	1719	78.82	-	10
PRE POLL	3623	1003	27.78	2607	72.22	-	13
PROVISIONAL	233	66	28.33	167	71.67	-	0
Division Total	74536	17908	24.23	55986	75.77	-2.72	642


Calare							

Polling Place	Formal	ALLEN		TOOLE		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Barry	107	30	28.04	77	71.96	-	0
Bathurst	2711	1397	51.99	1290	48.01	-	24
Bathurst Central	988	503	51.7	470	48.3	-	15
Bathurst City	1620	851	52.76	762	47.24	-	7
Bathurst High	1143	575	50.57	562	49.43	-	6
Bathurst Hospital	803	393	49.37	403	50.63	-	7
Bathurst South	1277	727	57.42	539	42.58	-	11
Bathurst St Vincents	332	210	63.44	121	36.56	-	1
Bathurst West	2112	972	46.62	1113	53.38	-	27
Black Springs	246	87	35.66	157	64.34	-	2
Blayney	1832	790	43.48	1027	56.52	-	15
Bletchington	2409	1094	45.72	1299	54.28	-	16
Bloomfield Hospital	128	44	35.48	80	64.52	-	4
Borenore	250	71	28.74	176	71.26	-	3
Bowen	2489	1135	45.93	1336	54.07	-	18
Bowenfels South	221	111	50.45	109	49.55	-	1
Burraga	83	31	37.35	52	62.65	-	0
Bylong	59	10	16.95	49	83.05	-	0
Calare School	1721	635	37.09	1077	62.91	-	9
Canobolas	163	40	24.54	123	75.46	-	0
Canowindra	1284	502	39.28	776	60.72	-	6
Capertee	138	72	52.94	64	47.06	-	2
Carcoar	210	105	50.48	103	49.52	-	2
Cargo	242	111	46.44	128	53.56	-	3
Cooerwull	2134	1342	63.51	771	36.49	-	21
Cudal	452	125	27.84	324	72.16	-	3
Cullen Bullen	178	136	76.84	41	23.16	-	1
Cumnock	347	93	27.03	251	72.97	-	3
Curra Creek	65	10	15.38	55	84.62	-	0
Eglinton	1372	550	40.29	815	59.71	-	7
Errowanbang	73	14	19.72	57	80.28	-	2
Euchareena	117	27	23.08	90	76.92	-	0
Eugowra	514	183	35.74	329	64.26	-	2
Glen Alice	54	18	33.96	35	66.04	-	1
Glenroi	2123	1262	59.75	850	40.25	-	11
Hampton	130	48	38.1	78	61.9	-	4
Hartley	236	85	36.02	151	63.98	-	0
Hermitage	596	401	67.62	192	32.38	-	3
Hill End	94	56	60.21	37	39.78	-	1
Ilford	205	61	29.9	143	70.1	-	1
Jenolan Caves	37	15	40.54	22	59.46	-	0
Kandos	1041	694	67.12	340	32.88	-	7
Kelso	2651	1209	46	1419	54	-	23
Kirkconnell	153	64	42.38	87	57.62	-	2
Lithgow	1889	1250	66.81	621	33.19	-	18
Lithgow Hospital	102	57	55.88	45	44.12	-	0
Littleton	590	383	65.36	203	34.64	-	4
Lucknow	312	97	31.19	214	68.81	-	1
Lyndhurst	236	90	38.14	146	61.86	-	0
Mandurama	199	62	31.47	135	68.53	-	2
Manildra	561	209	37.39	350	62.61	-	2
March	188	48	25.67	139	74.33	-	1
Meadow Flat	147	65	44.52	81	55.48	-	1
Millthorpe	626	218	35.28	400	64.72	-	8
Mitchell Campus	133	76	58.46	54	41.54	-	3
Molong	1307	482	37.16	815	62.84	-	10
Morts Estate	462	346	75.22	114	24.78	-	2
Mullion Creek	236	81	34.76	152	65.24	-	3
Mumbil	164	78	47.56	86	52.44	-	0
Nashdale	305	69	23.15	229	76.85	-	7
Neurea	73	10	14.08	61	85.92	-	2
Neville	126	32	25.6	93	74.4	-	1
Newbridge	132	46	35.11	85	64.89	-	1
O'Connell	239	75	32.47	156	67.53	-	8
Oakey Park	335	240	72.07	93	27.93	-	2
Oberon	1875	690	37.06	1172	62.94	-	13
Orange	2363	950	40.55	1393	59.45	-	20
Orange East	1352	660	49.48	674	50.52	-	18
Orange Hospital	366	155	42.47	210	57.53	-	1
Orange North	891	371	42.02	512	57.98	-	8
Orange South	1690	664	39.48	1018	60.52	-	8
Orange West	3413	1199	35.45	2183	64.55	-	31
Peel	107	42	39.25	65	60.75	-	0
Perthville	438	123	28.15	314	71.85	-	1
Portland	1260	921	73.98	324	26.02	-	15
Prison Mobile Team 1	7	7	100	0	0	-	0
Raglan	717	361	50.63	352	49.37	-	4
Rockley	255	84	33.33	168	66.67	-	3
Rydal	125	50	40.65	73	59.35	-	2
Rylstone	749	334	45.07	407	54.93	-	8
Sofala	108	54	50	54	50	-	0
Special Hospital Team 1	224	71	31.84	152	68.16	-	1
Special Hospital Team 2	106	49	46.23	57	53.77	-	0
Special Hospital Team 3	16	6	37.5	10	62.5	-	0
Special Hospital Team 4	42	10	23.81	32	76.19	-	0
Special Hospital Team 5	43	24	55.81	19	44.19	-	0
Special Hospital Team 6	26	16	61.54	10	38.46	-	0
Special Hospital Team 7	20	7	35	13	65	-	0
Spring Hill	222	95	42.99	126	57.01	-	1
Spring Terrace	231	56	24.35	174	75.65	-	1
Stuart Town	193	95	49.48	97	50.52	-	1
Summer Hill Creek	166	61	37.89	100	62.11	-	5
Sydney (Calare)	60	18	31.03	40	68.97	-	2
Tarana	88	32	36.78	55	63.22	-	1
The Lagoon	112	28	25.23	83	74.77	-	1
Trunkey Creek	142	32	22.7	109	77.3	-	1
Tweed Mills	859	587	68.82	266	31.18	-	6
Vale Of Clwydd	477	323	68.43	149	31.57	-	5
Wallerawang	1254	803	64.34	445	35.66	-	6
Wattle Flat	128	65	50.78	63	49.22	-	0
Yeoval	493	144	29.33	347	70.67	-	2
ABSENT	4363	1922	44.45	2402	55.55	-	39
POSTAL	2315	1087	47.28	1212	52.72	-	16
PRE POLL	2689	1191	44.42	1490	55.58	-	8
PROVISIONAL	432	248	58.22	178	41.78	-	6
Division Total	73919	34538	47.09	38800	52.91	-6.97	581


Charlton							

Polling Place	Formal	BROWN		CRAIG		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Arcadia Vale	793	478	60.51	312	39.49	-10.09	3
Argenton	849	611	72.22	235	27.78	-8.98	3
Awaba	237	143	60.59	93	39.41	-13.48	1
Barnsley	1066	741	69.71	322	30.29	-8	3
Blackalls	1475	1050	71.33	422	28.67	-7.17	3
Bolton Point	709	416	59.43	284	40.57	-7.76	9
Bonnells Bay	1448	786	54.51	656	45.49	-9.62	6
Boolaroo	787	494	63.01	290	36.99	-10.2	3
