House of Representatives - 1998 Election		
Seats Decided on Preferences		
		
		
New South Wales (27)		
Banks (ALP)	Greenway (ALP)	New England (NP)
Barton (ALP)	Gwydir (NP)	Page (NP)
Bennelong (LP)	Hughes (LP)	Parkes (NP)
Calare (IND)	Hume (LP)	Parramatta (LP)
Charlton (ALP)	Lindsay (LP)	Paterson (ALP)
Cowper (NP)	Lowe (ALP)	Richmond (NP)
Dobell (ALP)	Macarthur (LP)	Riverina (NP)
Eden-Monaro (LP)	Macquarie (LP)	Robertson (LP)
Gilmore (LP)	Newcastle (ALP)	Wentworth (LP)
		
		
Victoria (20)		
Aston (LP)	Corangamite (LP)	La Trobe (LP)
Ballarat (LP)	Deakin (LP)	McEwen (LP)
Bendigo (ALP)	Dunkley (LP)	McMillan (ALP)
Bruce (ALP)	Flinders (LP)	Melbourne Ports (ALP)
Burke (ALP)	Gippsland (NP)	Menzies (LP)
Casey (LP)	Isaacs (ALP)	Wannon (LP)
Chisholm (ALP)	Jagajaga (ALP)	
		
		
Queensland (25)		
Blair (LP)	Forde (LP)	McPherson (LP)
Bowman (ALP)	Griffith (ALP)	Maranoa (NP)
Brisbane ALP)	Groom (LP)	Moreton (LP)
Capricornia (ALP)	Herbert (LP)	Oxley (ALP)
Dawson (NP)	Hinkler NP)	Petrie (LP)
Dickson (ALP)	Kennedy (NP)	Rankin (ALP)
Fadden LP)	Leichhardt (LP) 	Wide Bay (NP)
Fairfax LP)	Lilley (ALP)	
Fisher (LP)	Longman (ALP)	
		
		
Western Australia (12)		
Canning (ALP)	Fremantle (ALP)	Pearce (LP)
Cowan (ALP)	Kalgoorlie (LP)	Stirling (ALP)
Curtin (LP)	Moore (LP)	Swan (ALP)
Forrest (LP)	O'Connor (LP)	Tangney (LP)
		
		
South Australia (9)		
Adelaide (LP)	Grey (LP)	Makin (LP)
Barker (LP)	Hindmarsh (LP)	Mayo LP)
Boothby (LP)	Kingston (ALP)	Sturt (LP)
		
		
Tasmania (3)		
Bass (ALP)	Braddon (ALP)	Franklin (ALP)
		
		
Australian Capital Territory (1)		
Canberra (ALP)		
		
Northern Territory (1)		
Northern Territory (ALP)		
		
Total: 98 seats decided on preferences		
