House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State

"ABBOTT, Tony"	LP		Warringah	NSW
"ABDEL-FATTAH, Randa"	UNI		Wills	VIC
"ABDURAHMAN, Flavia"	UNI		Sydney	NSW
"ABDURAHMAN, Zahir"	UNI		Watson	NSW
"ABDURAHMAN, Zanthe"	UNI		Cook	NSW
"ABOU-GHAIDA, Hussein"	HAN		Blaxland	NSW
"ACKER, Sidney"	UNI		Lindsay	NSW
"ADAMS, Dick"	ALP		Lyons	TAS
"AKHURST, Alan"	LP		Cunningham	NSW
"ALBANESE, Anthony"	ALP		Grayndler	NSW
"ALBERTS, Trudy H"	IND		Leichhardt	QLD
"ALLAN, Peter"	ALP		Menzies	VIC
"ALLAS, Marc"	GRN		Bradfield	NSW
"ALLEN, Tony"	ACS		Warringah	NSW
"ALLISON, David"	DEM		Flinders	VIC
"ALLISON, Heath Raymond"	NLP		Holt	VIC
"ALM, Damian"	HAN		Macarthur	NSW
"ANANIN, John"	CTA		Reid	NSW
"ANDERSON, John"	NP		Gwydir	NSW
"ANDERSON, John"	HAN		Indi	VIC
"ANDREN, Peter"	IND		Calare	NSW
"ANDREW, Neil"	LP		Wakefield	SA
"ANDREWS, Kevin"	LP		Menzies	VIC
"ANDREWS, Paul"	ALP		Pearce	WA
"ANNING, Fraser"	HAN		Fairfax	QLD
"ANTHONY, Larry"	NP		Richmond	NSW
"ARCHER, Greg"	GRN		Banks	NSW
"ARMANI, Michael"	LP		Grayndler	NSW
"ARMENIO, Frank"	ALP		Casey	VIC
"ARMITAGE, John"	ALP		Flinders	VIC
"ARUNDELL, Simon"	IND		Corangamite	VIC
"ASHBURN, Marie Therese"	UNI		Robertson	NSW
"ATKIN, Bryan"	HAN		McMillan	VIC
"AUSSIE-STONE, Marcus"	IND		Bennelong	NSW
"AZIZ, Nahid"	LP		Prospect	NSW

"BADKE, Gavin Sean"	HAN		Longman	QLD
"BAILEY, Alison"	DEM		Banks	NSW
"BAILEY, Dion James"	IND		Lindsay	NSW
"BAILEY, Fran"	LP		McEwen	VIC
"BAIRD, Bruce"	LP		Cook	NSW
"BAIRD, Neil"	HAN		Barton	NSW
"BAIRD, Stuart"	GRN		Bass	TAS
"BAKHASH, Peter"	GRN		Fairfax	QLD
"BALDWIN, Bob"	LP		Paterson	NSW
"BANASIK, Michael"	ALP		Macarthur	NSW
"BANGE, Jane"	GRN		Gilmore	NSW
"BARDSLEY, Tim"	GRN		Indi	VIC
"BARKER, John"	FST		Ryan	QLD
"BARNES, Lorraine"	IND		Rankin	QLD
"BARNES, Paul"	DEM		Longman	QLD
"BARRESI, Phillip"	LP		Deakin	VIC
"BARRY, Ann"	DEM		Throsby	NSW
"BARRY, Diane"	DEM		Goldstein	VIC
"BARTLETT, Kerry"	LP		Macquarie	NSW
"BARTON, David"	HAN		Riverina	NSW
"BARWICK, Wayne"	CEC		Batman	VIC
"BASSINGTHWAIGHTE, Owen David"	CEC		Blair	QLD
"BAWDEN, Bob"	CTA		Greenway	NSW
"BAWDEN, Matilda"	DEM		Port Adelaide	SA
"BAYNES, Avril"	HAN		Groom	QLD
"BEARD, Tyron"	DEM		Adelaide	SA
"BEAUMONT, Rosemary"	GRN		Eden-Monaro	NSW
"BEAZLEY, Kim"	ALP		Brand	WA
"BECK, Stephen"	HAN		Casey	VIC
"BECK, Tony"	IND		Barker	SA
"BECKETT, June"	HAN		Dobell	NSW
"BEHN, Doug"	IND		Page	NSW
"BEILBY, Margo"	GWA		Canning	WA
"BENNETT, Anne"	ALP		Moncrieff	QLD
"BENNISON, Rod"	DEM		Hunter	NSW
"BENSEMANN, Bob"	DEM		Lyons	TAS
"BERK, Daniel"	DEM		Holt	VIC
"BERTOLUS, Peter"	ALP		Deakin	VIC
"BEVIS, Arch"	ALP		Brisbane	QLD
"BIGGS, Peter"	FST		Bendigo	VIC
"BILLSON, Bruce"	LP		Dunkley	VIC
"BIRCHALL, Richard"	HAN		Swan	WA
"BISGROVE, Stephen"	DEM		Charlton	NSW
"BISGROVE, Stephen"	DEM		Newcastle	NSW
"BISHOP, Bronwyn"	LP		Mackellar	NSW
"BISHOP, Julie"	LP		Curtin	WA
"BISSET, Robert"	IND		Holt	VIC
"BJORK-BILLINGS, Michael"	ALP		Corangamite	VIC
"BLACKBURN, Adrian"	DEM		Hughes	NSW
"BLACKBURN, Brent"	DEM		Denison	TAS
"BLAKE, Trevor"	LP		Calwell	VIC
"BLANCHARD, John"	HAN		Ballarat	VIC
"BLUME, Rod"	NP		Calare	NSW
"BOEHM, Darren"	IND		Cook	NSW
"BONUEDI, Reynolds"	UNI		Greenway	NSW
"BOURNE, Roger"	CTA		North Sydney	NSW
