House of Representatives - 1998 Election: Northern Territory																																					
First Preference Votes and TCP																																					
By Candidate by Polling Place 																																					



Northern Territory (105048)																																					

		SEILER			NATTRASS			DONDAS			ZIRNGAST			ELDRIDGE			SCHIRMER			# SNOWDON			FORMAL			INFORMAL			TOTAL								
		Craig M P		            	Barry		        	Nick		       	Natalie		          	Ilana		        	Peter		        	Warren		         			     			     			     	Two Candidate Preferred		    			    
		DEM			IND			CLP			DSL			GRN			HAN			ALP					 			 			 	 DONDAS CLP			# SNOWDON ALP		
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Alice Springs	                               	124	7.64	  	12	0.74	  	668	41.18	  	17	1.05	  	76	4.69	  	138	8.51	  	587	36.19	  	1622	96.89	  	52	3.11	  	1674	1.76	  	846	52.16	  	776	47.84	  
Alyangula	                                   	27	6.89	  	0	0	  	156	39.8	  	4	1.02	  	17	4.34	  	32	8.16	  	156	39.8	  	392	95.38	  	19	4.62	  	411	0.43	  	187	47.7	  	205	52.3	  
Anula	                                       	110	4.39	  	34	1.36	  	1009	40.31	  	20	0.8	  	60	2.4	  	164	6.55	  	1106	44.19	  	2503	96.75	  	84	3.25	  	2587	2.73	  	1212	48.42	  	1291	51.58	  
Batchelor	                                   	9	2.62	  	2	0.58	  	108	31.49	  	3	0.87	  	17	4.96	  	43	12.54	  	161	46.94	  	343	96.08	  	14	3.92	  	357	0.38	  	146	42.57	  	197	57.43	  
Berrimah	                                    	25	3.7	  	10	1.48	  	340	50.3	  	5	0.74	  	15	2.22	  	84	12.43	  	197	29.14	  	676	97.13	  	20	2.87	  	696	0.73	  	420	62.13	  	256	37.87	  
Berry Springs	                               	27	4.13	  	12	1.84	  	261	39.97	  	3	0.46	  	24	3.68	  	104	15.93	  	222	34	  	653	96.31	  	25	3.69	  	678	0.71	  	363	55.59	  	290	44.41	  
Braitling	                                   	102	5.73	  	31	1.74	  	843	47.33	  	12	0.67	  	26	1.46	  	173	9.71	  	594	33.35	  	1781	97.32	  	49	2.68	  	1830	1.93	  	1042	58.51	  	739	41.49	  
Casuarina	                                   	153	4.97	  	32	1.04	  	1225	39.8	  	27	0.88	  	119	3.87	  	214	6.95	  	1308	42.5	  	3078	96.28	  	119	3.72	  	3197	3.37	  	1491	48.44	  	1587	51.56	  
Christmas Island	                            	11	2.61	  	2	0.48	  	100	23.75	  	1	0.24	  	17	4.04	  	11	2.61	  	279	66.27	  	421	96.12	  	17	3.88	  	438	0.46	  	127	30.17	  	294	69.83	  
Darwin	                                      	55	5.91	  	18	1.93	  	386	41.46	  	9	0.97	  	63	6.77	  	51	5.48	  	349	37.49	  	931	96.88	  	30	3.12	  	961	1.01	  	474	50.91	  	457	49.09	  
Doomadgee	                                   	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	******	  	0	0	  	0	0	  
Driver	                                      	146	4.65	  	38	1.21	  	1355	43.13	  	26	0.83	  	75	2.39	  	389	12.38	  	1113	35.42	  	3142	95.94	  	133	4.06	  	3275	3.45	  	1719	54.71	  	1423	45.29	  
Durack	                                      	39	3.92	  	12	1.21	  	563	56.64	  	6	0.6	  	15	1.51	  	100	10.06	  	259	26.06	  	994	97.55	  	25	2.45	  	1019	1.07	  	657	66.1	  	337	33.9	  
Gillen	                                      	158	6.29	  	23	0.92	  	1211	48.19	  	14	0.56	  	55	2.19	  	232	9.23	  	820	32.63	  	2513	96.14	  	101	3.86	  	2614	2.75	  	1500	59.69	  	1013	40.31	  
Gray	                                        	81	4.17	  	30	1.54	  	803	41.35	  	13	0.67	  	44	2.27	  	235	12.1	  	736	37.9	  	1942	96.14	  	78	3.86	  	2020	2.13	  	1028	52.94	  	914	47.06	  
Home Island	                                 	8	3.65	  	2	0.91	  	15	6.85	  	0	0	  	1	0.46	  	1	0.46	  	192	87.67	  	219	89.75	  	25	10.25	  	244	0.26	  	24	10.96	  	195	89.04	  
Howard Springs	                              	74	3.19	  	35	1.51	  	1152	49.63	  	15	0.65	  	91	3.92	  	307	13.23	  	647	27.88	  	2321	97.24	  	66	2.76	  	2387	2.52	  	1445	62.26	  	876	37.74	  
Humpty Doo	                                  	127	4.68	  	33	1.22	  	1223	45.11	  	14	0.52	  	108	3.98	  	437	16.12	  	769	28.37	  	2711	97.27	  	76	2.73	  	2787	2.94	  	1621	59.79	  	1090	40.21	  
Jabiru	                                      	32	4.69	  	5	0.73	  	314	45.97	  	8	1.17	  	26	3.81	  	36	5.27	  	262	38.36	  	683	97.57	  	17	2.43	  	700	0.74	  	373	54.61	  	310	45.39	  
