House of Representatives - 1998 Election: Tasmania																																		
First Preference Votes and TCP																																		
By Candidate by Polling Place 																																		


Bass (65933)																																		

		SMITH			# O'BYRNE			BAIRD			LOCKHART			SMITH			MUIR			FORMAL			INFORMAL			TOTAL								
		Warwick		          	Michelle		           	Stuart		         	Allan		        	Harvey		         	Brian		        			     			     			     	Two Candidate Preferred		    			    
		LP			ALP			GRN			HAN			TFP			DEM					 			 			 	 SMITH LP			# O'BYRNE ALP		
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Alanvale	                                    	1089	38.55	  	1454	51.47	  	98	3.47	  	78	2.76	  	48	1.7	  	58	2.05	  	2825	96.22	  	111	3.78	  	2936	4.64	  	1183	41.88	  	1642	58.12	  
Blessington Upper	                           	30	37.97	  	30	37.97	  	4	5.06	  	3	3.8	  	9	11.39	  	3	3.8	  	79	92.94	  	6	7.06	  	85	0.13	  	37	46.84	  	42	53.16	  
Branxholm	                                   	113	46.89	  	102	42.32	  	6	2.49	  	8	3.32	  	7	2.9	  	5	2.07	  	241	96.02	  	10	3.98	  	251	0.4	  	121	50.21	  	120	49.79	  
Bridport	                                    	575	50.66	  	408	35.95	  	15	1.32	  	92	8.11	  	25	2.2	  	20	1.76	  	1135	95.78	  	50	4.22	  	1185	1.87	  	636	56.04	  	499	43.96	  
Cape Barren Island	                          	9	32.14	  	16	57.14	  	2	7.14	  	0	0	  	0	0	  	1	3.57	  	28	84.85	  	5	15.15	  	33	0.05	  	10	35.71	  	18	64.29	  
Cosgrove Park	                               	120	40.96	  	141	48.12	  	5	1.71	  	10	3.41	  	9	3.07	  	8	2.73	  	293	97.34	  	8	2.66	  	301	0.48	  	132	45.05	  	161	54.95	  
Derby	                                       	63	39.62	  	71	44.65	  	12	7.55	  	4	2.52	  	6	3.77	  	3	1.89	  	159	98.15	  	3	1.85	  	162	0.26	  	69	43.4	  	90	56.6	  
Dilston	                                     	340	51.13	  	234	35.19	  	41	6.17	  	17	2.56	  	18	2.71	  	15	2.26	  	665	97.65	  	16	2.35	  	681	1.08	  	372	55.94	  	293	44.06	  
Elphin	                                      	278	46.72	  	235	39.5	  	31	5.21	  	21	3.53	  	14	2.35	  	16	2.69	  	595	95.97	  	25	4.03	  	620	0.98	  	309	51.93	  	286	48.07	  
Emita	                                       	49	67.12	  	12	16.44	  	6	8.22	  	4	5.48	  	1	1.37	  	1	1.37	  	73	97.33	  	2	2.67	  	75	0.12	  	53	72.6	  	20	27.4	  
Franklin Village	                            	129	55.36	  	79	33.91	  	4	1.72	  	8	3.43	  	6	2.58	  	7	3	  	233	96.28	  	9	3.72	  	242	0.38	  	138	59.23	  	95	40.77	  
General Hospital	                            	165	37.76	  	212	48.51	  	24	5.49	  	8	1.83	  	11	2.52	  	17	3.89	  	437	96.26	  	17	3.74	  	454	0.72	  	188	43.02	  	249	56.98	  
George Town	                                 	676	30.73	  	1319	59.95	  	64	2.91	  	82	3.73	  	31	1.41	  	28	1.27	  	2200	95.69	  	99	4.31	  	2299	3.63	  	746	33.91	  	1454	66.09	  
George Town South	                           	278	32.98	  	476	56.47	  	16	1.9	  	47	5.58	  	9	1.07	  	17	2.02	  	843	96.23	  	33	3.77	  	876	1.38	  	312	37.01	  	531	62.99	  
Gladstone	                                   	39	31.71	  	53	43.09	  	6	4.88	  	6	4.88	  	18	14.63	  	1	0.81	  	123	96.85	  	4	3.15	  	127	0.2	  	49	39.84	  	74	60.16	  
Hillwood	                                    	175	47.17	  	146	39.35	  	22	5.93	  	14	3.77	  	8	2.16	  	6	1.62	  	371	97.63	  	9	2.37	  	380	0.6	  	185	49.87	  	186	50.13	  
Inveresk	                                    	334	31.27	  	602	56.37	  	50	4.68	  	35	3.28	  	33	3.09	  	14	1.31	  	1068	95.19	  	54	4.81	  	1122	1.77	  	380	35.58	  	688	64.42	  
Invermay	                                    	491	37.23	  	632	47.92	  	73	5.53	  	58	4.4	  	30	2.27	  	35	2.65	  	1319	96.91	  	42	3.09	  	1361	2.15	  	545	41.32	  	774	58.68	  
Karoola	                                     	128	45.88	  	111	39.78	  	6	2.15	  	14	5.02	  	11	3.94	  	9	3.23	  	279	96.21	  	11	3.79	  	290	0.46	  	145	51.97	  	134	48.03	  
Kings Meadows	                               	753	44.74	  	792	47.06	  	31	1.84	  	45	2.67	  	22	1.31	  	40	2.38	  	1683	95.57	  	78	4.43	  	1761	2.78	  	802	47.65	  	881	52.35	  
Lady Barron	                                 	64	43.54	  	45	30.61	  	8	5.44	  	19	12.93	  	3	2.04	  	8	5.44	  	147	96.71	  	5	3.29	  	152	0.24	  	84	57.14	  	63	42.86	  
Launceston	                                  	314	41.26	  	312	41	  	84	11.04	  	18	2.37	  	8	1.05	  	25	3.29	  	761	97.31	  	21	2.69	  	782	1.24	  	349	45.86	  	412	54.14	  
Launceston Central	                          	452	44.05	  	400	38.99	  	112	10.92	  	16	1.56	  	9	0.88	  	37	3.61	  	1026	96.34	  	39	3.66	  	1065	1.68	  	506	49.32	  	520	50.68	  
Launceston East	                             	756	53.73	  	474	33.69	  	95	6.75	  	25	1.78	  	11	0.78	  	46	3.27	  	1407	98.12	  	27	1.88	  	1434	2.27	  	821	58.35	  	586	41.65	  
Launceston South	                            	831	45.36	  	753	41.1	  	87	4.75	  	78	4.26	  	35	1.91	  	48	2.62	  	1832	95.22	  	92	4.78	  	1924	3.04	  	915	49.95	  	917	50.05	  
Launceston West	                             	863	47.11	  	710	38.76	  	138	7.53	  	39	2.13	  	22	1.2	  	60	3.28	  	1832	97.71	  	43	2.29	  	1875	2.96	  	928	50.66	  	904	49.34	  
Lebrina	                                     	106	41.73	  	98	38.58	  	13	5.12	  	17	6.69	  	14	5.51	  	6	2.36	  	254	96.58	  	9	3.42	  	263	0.42	  	128	50.39	  	126	49.61	  
Legana (Bass)	                               	709	57.74	  	359	29.23	  	55	4.48	  	48	3.91	  	23	1.87	  	34	2.77	  	1228	97.15	  	36	2.85	  	1264	2	  	779	63.44	  	449	36.56	  
Lilydale	                                    	227	34.45	  	240	36.42	  	68	10.32	  	44	6.68	  	68	10.32	  	12	1.82	  	659	96.06	  	27	3.94	  	686	1.08	  	288	43.7	  	371	56.3	  
Mowbray	                                     	549	36	  	838	54.95	  	36	2.36	  	53	3.48	  	23	1.51	  	26	1.7	  	1525	96.03	  	63	3.97	  	1588	2.51	  	592	38.82	  	933	61.18	  
Myrtle Park	                                 	20	28.99	  	33	47.83	  	8	11.59	  	3	4.35	  	2	2.9	  	3	4.35	  	69	94.52	  	4	5.48	  	73	0.12	  	24	34.78	  	45	65.22	  
Nabowla	                                     	57	58.16	  	23	23.47	  	4	4.08	  	7	7.14	  	6	6.12	  	1	1.02	  	98	97.03	  	3	2.97	  	101	0.16	  	65	66.33	  	33	33.67	  
Newstead	                                    	979	58.62	  	518	31.02	  	91	5.45	  	34	2.04	  	20	1.2	  	28	1.68	  	1670	97.21	  	48	2.79	  	1718	2.71	  	1037	62.1	  	633	37.9	  
Norwood	                                     	1483	62.71	  	688	29.09	  	54	2.28	  	61	2.58	  	28	1.18	  	51	2.16	  	2365	97.53	  	60	2.47	  	2425	3.83	  	1562	66.05	  	803	33.95	  
Nunamara	                                    	66	30.28	  	104	47.71	  	26	11.93	  	8	3.67	  	7	3.21	  	7	3.21	  	218	95.2	  	11	4.8	  	229	0.36	  	78	35.78	  	140	64.22	  
Ockerby Gardens	                             	410	40.84	  	450	44.82	  	70	6.97	  	28	2.79	  	15	1.49	  	31	3.09	  	1004	97.1	  	30	2.9	  	1034	1.63	  	459	45.72	  	545	54.28	  
Pioneer	                                     	22	31.88	  	26	37.68	  	1	1.45	  	8	11.59	  	12	17.39	  	0	0	  	69	95.83	  	3	4.17	  	72	0.11	  	29	42.03	  	40	57.97	  
Pipers River	                                	121	46.36	  	91	34.87	  	11	4.21	  	19	7.28	  	13	4.98	  	6	2.3	  	261	96.31	  	10	3.69	  	271	0.43	  	138	52.87	  	123	47.13	  
Prospect	                                    	2125	47.7	  	1922	43.14	  	95	2.13	  	124	2.78	  	63	1.41	  	126	2.83	  	4455	96.03	  	184	3.97	  	4639	7.33	  	2271	50.98	  	2184	49.02	  
Prospect Vale	                               	748	59.37	  	424	33.65	  	15	1.19	  	33	2.62	  	13	1.03	  	27	2.14	  	1260	97.15	  	37	2.85	  	1297	2.05	  	779	61.83	  	481	38.17	  
Ravenswood	                                  	607	25.61	  	1508	63.63	  	47	1.98	  	107	4.51	  	39	1.65	  	62	2.62	  	2370	93.38	  	168	6.62	  	2538	4.01	  	683	28.82	  	1687	71.18	  
Ringarooma	                                  	193	50.39	  	151	39.43	  	7	1.83	  	17	4.44	  	11	2.87	  	4	1.04	  	383	97.46	  	10	2.54	  	393	0.62	  	210	54.83	  	173	45.17	  
Riverside	                                   	1518	58.29	  	805	30.91	  	113	4.34	  	61	2.34	  	48	1.84	  	59	2.27	  	2604	97.53	  	66	2.47	  	2670	4.22	  	1635	62.79	  	969	37.21	  
Riverside West	                              	518	49.43	  	418	39.89	  	45	4.29	  	24	2.29	  	13	1.24	  	30	2.86	  	1048	97.31	  	29	2.69	  	1077	1.7	  	566	54.01	  	482	45.99	  
Rocherlea	                                   	374	27.93	  	827	61.76	  	27	2.02	  	54	4.03	  	32	2.39	  	25	1.87	  	1339	95.03	  	70	4.97	  	1409	2.23	  	415	30.99	  	924	69.01	  
St Leonards	                                 	507	44.55	  	484	42.53	  	20	1.76	  	65	5.71	  	33	2.9	  	29	2.55	  	1138	97.18	  	33	2.82	  	1171	1.85	  	558	49.03	  	580	50.97	  
Scottsdale	                                  	1036	56	  	641	34.65	  	45	2.43	  	66	3.57	  	28	1.51	  	34	1.84	  	1850	96.15	  	74	3.85	  	1924	3.04	  	1105	59.73	  	745	40.27	  
Trevallyn	                                   	1021	52.96	  	641	33.25	  	140	7.26	  	32	1.66	  	20	1.04	  	74	3.84	  	1928	97.72	  	45	2.28	  	1973	3.12	  	1113	57.73	  	815	42.27	  
Waverley	                                    	254	28.16	  	545	60.42	  	16	1.77	  	45	4.99	  	20	2.22	  	22	2.44	  	902	94.65	  	51	5.35	  	953	1.51	  	293	32.48	  	609	67.52	  
Weymouth	                                    	81	57.04	  	50	35.21	  	4	2.82	  	1	0.7	  	0	0	  	6	4.23	  	142	97.93	  	3	2.07	  	145	0.23	  	84	59.15	  	58	40.85	  
Whitemark	                                   	156	53.06	  	90	30.61	  	16	5.44	  	20	6.8	  	4	1.36	  	8	2.72	  	294	96.08	  	12	3.92	  	306	0.48	  	179	60.88	  	115	39.12	  
Windmill Hill	                               	300	61.1	  	128	26.07	  	37	7.54	  	10	2.04	  	0	0	  	16	3.26	  	491	98	  	10	2	  	501	0.79	  	321	65.38	  	170	34.62	  
Winnaleah	                                   	135	57.69	  	72	30.77	  	7	2.99	  	6	2.56	  	10	4.27	  	4	1.71	  	234	96.69	  	8	3.31	  	242	0.38	  	147	62.82	  	87	37.18	  
