House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
	Votes	(ALP)	%	(LP)	%	%
Beverly Hills North	2482	1544	62.21	938	37.79	11.14
East Hills	1043	593	56.86	450	43.14	6.56
Hannans Road	2372	1653	69.69	719	30.31	5.7
Lugarno	2890	1011	34.98	1879	65.02	5.15
Milperra	2327	1195	51.35	1132	48.65	7.17
Mortdale Central	1880	1122	59.68	758	40.32	5.84
Mortdale Heights	903	433	47.95	470	52.05	0.56
Mortdale West	1867	1049	56.19	818	43.81	5.71
Narwee	2589	1576	60.87	1013	39.13	6.47
Oatley (Banks)	512	202	39.45	310	60.55	4.36
Oatley West	2255	976	43.28	1279	56.72	2.49
Padstow	3238	2086	64.42	1152	35.58	8.47
Padstow East	1371	838	61.12	533	38.88	5.71
Padstow North	598	351	58.7	247	41.3	6.88
Padstow South	2739	1425	52.03	1314	47.97	6.07
Panania	1594	953	59.79	641	40.21	6.06
Panania Central	1488	921	61.9	567	38.1	7.01
Panania North	1757	1096	62.38	661	37.62	5.69
Panania South	2738	1461	53.36	1277	46.64	6.4
Peakhurst	568	350	61.62	218	38.38	6.96
Peakhurst East	1554	923	59.4	631	40.6	4.7
Peakhurst South	1616	684	42.33	932	57.67	5.08
Peakhurst West	2527	1304	51.6	1223	48.4	6.05
Penshurst Central	2266	1461	64.47	805	35.53	7.3
Picnic Point North	1938	949	48.97	989	51.03	4.31
Punchbowl (Banks)	2246	1732	77.11	514	22.89	7.46
Revesby	1612	1136	70.47	476	29.53	9.83
Revesby North	2853	1829	64.11	1024	35.89	6.41
Revesby South	2279	1309	57.44	970	42.56	5.27
Riverwood North	1441	1122	77.86	319	22.14	8.51
Riverwood South	1358	825	60.75	533	39.25	6.95
Special Hospital Team 1	125	60	48	65	52	4.55
Sydney (Banks)	95	60	63.16	35	36.84	0.49
ABSENT	5990	3179	53.07	2811	46.93	-
POSTAL	2694	1464	54.34	1230	45.66	-
PRE POLL	5026	2679	53.3	2347	46.7	-
PROVISIONAL	397	267	67.25	130	32.75	-
Division Total	73228	41818	57.11	31410	42.89	5.7


Barton						

Polling Place	Formal	McCLELLAND		JORDAN		Swing
	Votes	(ALP)	%	(LP)	%	%
Allawah	1463	960	65.62	503	34.38	9.16
Allawah South	816	496	60.78	320	39.22	3.39
Arncliffe	995	676	67.94	319	32.06	7.55
Arncliffe East	1066	799	74.95	267	25.05	3.72
Athelstane	2931	2228	76.02	703	23.98	6.15
Bald Face	1271	311	24.47	960	75.53	3.52
Banksia	1687	1315	77.95	372	22.05	3.1
Bell Park	814	463	56.88	351	43.12	6.83
Bexley	2195	1466	66.79	729	33.21	2.79
Bexley Central	788	528	67.01	260	32.99	2.16
Bexley East	533	394	73.92	139	26.08	8.78
Blakehurst	844	377	44.67	467	55.33	6.96
Bona Park	660	366	55.45	294	44.55	6.08
Brighton North	1128	623	55.23	505	44.77	-1.96
Brighton-Le-Sands	2606	1670	64.08	936	35.92	6.57
Carlton	1878	1307	69.6	571	30.4	3.13
Carlton North	1116	751	67.29	365	32.71	4.72
Carss Park	831	319	38.39	512	61.61	5.96
Clareville Park	2025	951	46.96	1074	53.04	3.98
Connells Point	2665	931	34.93	1734	65.07	5.81
Hurstville Central	1086	676	62.25	410	37.75	10.11
Hurstville Grove	2236	1180	52.77	1056	47.23	6.8
Hurstville South	677	373	55.1	304	44.9	8.36
Jubilee	2873	1768	61.54	1105	38.46	4.97
Kogarah	1121	771	68.78	350	31.22	1.35
Kogarah Bay	946	412	43.55	534	56.45	6.63
Kogarah Central	1481	1100	74.27	381	25.73	7.26
Kyeemagh	830	539	64.94	291	35.06	3.19
Monterey	2028	1095	53.99	933	46.01	4.18
Moorefield	809	518	64.03	291	35.97	13.04
Mortdale East	975	531	54.46	444	45.54	7.37
Oatley (Barton)	2106	938	44.54	1168	55.46	5.79
Ramsgate North	1946	1106	56.83	840	43.17	6.24
Rockdale	1892	1549	81.87	343	18.13	5.87
Rockdale Central	1228	937	76.3	291	23.7	6.82
Rockdale Park	791	589	74.46	202	25.54	6.24
Rockdale West	1722	1332	77.35	390	22.65	3.25
Sans Souci	2180	1083	49.68	1097	50.32	7.81
Sans Souci North	2010	1126	56.02	884	43.98	6.66
South Haven	556	387	69.6	169	30.4	6.88
Special Hospital Team 1	146	69	47.26	77	52.74	14.09
Special Hospital Team 2	127	47	37.01	80	62.99	-11.24
Special Hospital Team 3	178	80	44.94	98	55.06	-2.35
St Cuthbert's	1709	993	58.1	716	41.9	3.51
St George Hospital	155	95	61.29	60	38.71	0.25
Sydney (Barton)	147	87	59.18	60	40.82	-7.23
The Mall	702	323	46.01	379	53.99	5.35
Turrella	874	689	78.83	185	21.17	3.78
ABSENT	4906	2624	53.49	2282	46.51	-
POSTAL	3325	1844	55.46	1481	44.54	-
PRE POLL	4397	2579	58.65	1818	41.35	-
PROVISIONAL	874	658	75.29	216	24.71	-
Division Total	75345	45029	59.76	30316	40.24	5.42


Bennelong						

Polling Place	Formal	MAHON		HOWARD		Swing
	Votes	(ALP)	%	(LP)	%	%
Balaclava	2114	908	42.95	1206	57.05	1.74
Boronia Park	2163	922	42.63	1241	57.37	0.68
Denistone	955	404	42.3	551	57.7	2.06
Denistone East	1952	867	44.42	1085	55.58	7.11
Eastview	953	456	47.85	497	52.15	5.93
Eastwood	3997	1923	48.11	2074	51.89	8.74
Eastwood Heights	1903	799	41.99	1104	58.01	7.52
Eastwood West	540	211	39.07	329	60.93	5.12
Epping (Bennelong)	1639	704	42.95	935	57.05	5.6
Epping East	2365	995	42.07	1370	57.93	7.28
Epping North	2082	747	35.88	1335	64.12	5.76
Epping West (Bennelong)	1017	388	38.15	629	61.85	9.23
Ermington (Bennelong)	1059	447	42.21	612	57.79	-0.51
Gladesville	2797	1336	47.77	1461	52.23	3.06
Gladesville Central	702	298	42.45	404	57.55	1.82
Gladesville East	371	173	46.63	198	53.37	5.51
Gladesville North	1378	638	46.3	740	53.7	2.74
Gladesville West	663	243	36.65	420	63.35	-0.61
Hunters Hill	1351	334	24.72	1017	75.28	6.57
Hunters Hill West	1006	362	35.98	644	64.02	7.03
Kent Road	2010	916	45.57	1094	54.43	2.8
Kittys Creek	321	132	41.12	189	58.88	2.45
Lyon Park	1132	590	52.12	542	47.88	3.58
Marsfield	1811	790	43.62	1021	56.38	4.47
Meadowbank	833	498	59.78	335	40.22	10
Parkes Street	1185	583	49.2	602	50.8	3.23
Putney	2510	1069	42.59	1441	57.41	3.12
Royal Ryde Homes	78	40	51.28	38	48.72	10.92
Ryde	2677	1565	58.46	1112	41.54	5.05
Ryde Central	1142	525	45.97	617	54.03	2.63
Ryde East	2867	1149	40.08	1718	59.92	2.85
Ryde Heights	611	317	51.88	294	48.12	4.44
Ryde Hospital	599	250	41.74	349	58.26	4.12
Ryde North	2853	1351	47.35	1502	52.65	5.18
Ryde South	598	259	43.31	339	56.69	-0.19
Special Hospital Team 1	195	79	40.51	116	59.49	5.9
Special Hospital Team 2	215	37	17.21	178	82.79	12.15
Special Hospital Team 3	37	15	40.54	22	59.46	-8.18
Special Hospital Team 4	38	18	47.37	20	52.63	16.33
Special Hospital Team 5	119	40	33.61	79	66.39	6.88
