Senate - 1993 Election															
First Preference Votes by Group															
By Vote Type by State															
															

National															
Enrolment 11384638															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	21	11	1442837	15.49	103188	16.05	5391	9.18	62974	17.88	49803	16.25	11	1664204	15.59
NP	8	1	248310	2.67	18025	2.80	533	0.91	8096	2.30	15415	5.03	3	290382	2.72
LNP	10	6	2263145	24.30	148001	23.02	12934	22.02	93663	26.59	87419	28.52	-5	2605157	24.40
CLP	2	1	31350	0.34	0	0.00	266	0.45	2518	0.71	1271	0.41	0	35405	0.33
ALP	28	17	4093047	43.94	269202	41.88	31052	52.85	135391	38.44	115173	37.58	6	4643871	43.50
DEM	23	2	494296	5.31	37527	5.84	2524	4.30	18751	5.32	13855	4.52	-9	566944	5.31
GRN	6	0	70993	0.76	7520	1.17	1000	1.70	4617	1.31	1630	0.53	28	85788	0.80
CTA	14	0	93817	1.01	7390	1.15	448	0.76	3740	1.06	3569	1.16	-19	108945	1.02
DLP	5	0	32710	0.35	2765	0.43	274	0.47	1454	0.41	1105	0.36	9	38317	0.36
GWA	2	1	45541	0.49	5449	0.85	405	0.69	1565	0.44	773	0.25	24	53757	0.50
HAR	1	1	29071	0.31	1486	0.23	49	0.08	667	0.19	934	0.30	-5	32202	0.30
Other	146	0	469281	5.04	42304	6.58	3874	6.59	18781	5.33	15549	5.07	44	549833	5.15
FORMAL			9314398	97.30	642857	98.38	58750	96.96	352217	98.58	306496	98.69	87	10674805	97.45
INFORMAL			258107	2.70	10578	1.62	1842	3.04	5084	1.42	4083	1.31	-241	279453	2.55
TOTAL			9572505	87.39	653435	5.97	60592	0.55	357301	3.26	310579	2.84	-154	10954258	96.22


New South Wales															
Enrolment 3814932															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
