Senate - 1993 Election																
First Preference Votes By Candidate																
By Vote Type by Division																


New South Wales																

Banks (79242)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	GA	647	0.99	58	1.21	2	0.65	18	0.91	6	0.29	0	731	0.98
		"BECKMANN, Jane"	GA	113	0.17	10	0.21	2	0.65	2	0.1	2	0.1	0	129	0.17
		"BRIAN, Bernie"	GA	3	0	0	0	0	0	0	0	0	0	0	3	0
		Group Total	GA	763	1.17	68	1.42	4	1.29	20	1.01	8	0.38	0	863	1.16
B		TICKET VOTES	NLP	75	0.11	12	0.25	0	0	1	0.05	0	0	0	88	0.12
		"KERR, Doreen"	NLP	12	0.02	1	0.02	0	0	0	0	0	0	0	13	0.02
		"SMITH, Mike"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"JUDD, Ines"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NLP	89	0.14	13	0.27	0	0	1	0.05	0	0	0	103	0.14
C		TICKET VOTES	CEG	39	0.06	3	0.06	0	0	3	0.15	0	0	0	45	0.06
		"HAY, Leone"	CEG	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"BUTLER, Robert"	CEG	0	0	0	0	0	0	0	0	0	0	0	0	0
		"WOOD, Gloria"	CEG	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	CEG	44	0.07	3	0.06	0	0	3	0.15	0	0	0	50	0.07
D		TICKET VOTES	RPA	61	0.09	7	0.15	1	0.32	1	0.05	1	0.05	0	71	0.1
		"CONSANDINE, Peter"	RPA	11	0.02	1	0.02	0	0	1	0.05	0	0	0	13	0.02
		"KLEIN, Gennie"	RPA	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	RPA	72	0.11	8	0.17	1	0.32	2	0.1	1	0.05	0	84	0.11
E		TICKET VOTES		243	0.37	30	0.62	0	0	3	0.15	14	0.67	1	291	0.39
		"TEALE, Leonard"		123	0.19	7	0.15	0	0	2	0.1	10	0.48	0	142	0.19
		"WARD, Colin"		1	0	1	0.02	0	0	0	0	0	0	0	2	0
		Group Total		367	0.56	38	0.79	0	0	5	0.25	24	1.15	1	435	0.58
F		TICKET VOTES	CAP	33	0.05	9	0.19	0	0	3	0.15	0	0	0	45	0.06
		"UEBERGANG, K John"	CAP	3	0	0	0	0	0	0	0	0	0	0	3	0
		"HAWKINS, Doug"	CAP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CAP	36	0.06	9	0.19	0	0	3	0.15	0	0	0	48	0.06
G		TICKET VOTES	ASP	556	0.85	68	1.42	4	1.29	21	1.06	14	0.67	0	663	0.89
		"ASCHER, Michael"	ASP	57	0.09	4	0.08	0	0	3	0.15	2	0.1	0	66	0.09
		"ORR, Ted"	ASP	1	0	0	0	0	0	1	0.05	1	0.05	0	3	0
		"WILKIE, Jeff"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"O'CONNELL, Suzanne"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BOURKE, Robyn Lee"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	ASP	616	0.94	72	1.5	4	1.29	25	1.26	17	0.82	0	734	0.98
H		TICKET VOTES		35	0.05	2	0.04	0	0	2	0.1	0	0	1	40	0.05
		"POULOS, Patricia"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"ARCHER, Peter B"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		35	0.05	2	0.04	0	0	2	0.1	0	0	1	40	0.05
I		TICKET VOTES	LNP	21776	33.33	1569	32.67	70	22.65	771	38.78	705	33.93	2	24893	33.4
	#	"BAUME, Michael"	LP	398	0.61	26	0.54	0	0	13	0.65	21	1.01	-2	456	0.61
	#	"TIERNEY, John"	LP	15	0.02	2	0.04	1	0.32	1	0.05	1	0.05	0	20	0.03
	#	"MACDONALD, Sandy"	NP	13	0.02	1	0.02	0	0	0	0	2	0.1	0	16	0.02
		"PAYNE, Marise Ann"	LP	17	0.03	2	0.04	0	0	0	0	1	0.05	0	20	0.03
		Group Total	LNP	22219	34.01	1600	33.31	71	22.98	785	39.49	730	35.13	0	25405	34.09
J		TICKET VOTES		44	0.07	7	0.15	0	0	3	0.15	1	0.05	1	56	0.08
