Senate - 1993 Election																
First Preference Votes by Candidate																
By Vote Type by State																


New South Wales																
Enrolment 3814932																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	GA	34582	1.11	2644	1.20	558	1.80	1227	1.06	522	0.55	50	39583	1.10
		"BECKMANN, Jane"	GA	6143	0.20	561	0.25	108	0.35	228	0.20	137	0.14	-31	7146	0.20
		"BRIAN, Bernie"	GA	219	0.01	21	0.01	1	0.00	8	0.01	3	0.00	-10	242	0.01
		Group Total	GA	40944	1.31	3226	1.46	667	2.15	1463	1.27	662	0.70	9	46971	1.31
B		TICKET VOTES	NLP	7556	0.24	767	0.35	117	0.38	303	0.26	119	0.13	6	8868	0.25
		"KERR, Doreen"	NLP	1211	0.04	129	0.06	16	0.05	38	0.03	24	0.03	4	1422	0.04
		"SMITH, Mike"	NLP	49	0.00	4	0.00	2	0.01	2	0.00	0	0.00	-2	55	0.00
		"JUDD, Ines"	NLP	51	0.00	4	0.00	0	0.00	2	0.00	1	0.00	1	59	0.00
		Group Total	NLP	8867	0.28	904	0.41	135	0.43	345	0.30	144	0.15	9	10404	0.29
C		TICKET VOTES	CEG	2839	0.09	162	0.07	30	0.10	159	0.14	70	0.07	-7	3253	0.09
		"HAY, Leone"	CEG	415	0.01	30	0.01	1	0.00	5	0.00	15	0.02	4	470	0.01
		"BUTLER, Robert"	CEG	42	0.00	4	0.00	1	0.00	1	0.00	3	0.00	-1	50	0.00
		"WOOD, Gloria"	CEG	32	0.00	7	0.00	0	0.00	0	0.00	0	0.00	1	40	0.00
		Group Total	CEG	3328	0.11	203	0.09	32	0.10	165	0.14	88	0.09	-3	3813	0.11
D		TICKET VOTES	RPA	3397	0.11	314	0.14	48	0.15	172	0.15	103	0.11	-3	4031	0.11
		"CONSANDINE, Peter"	RPA	529	0.02	47	0.02	2	0.01	26	0.02	25	0.03	8	637	0.02
		"KLEIN, Gennie"	RPA	41	0.00	4	0.00	0	0.00	1	0.00	4	0.00	-1	49	0.00
		Group Total	RPA	3967	0.13	365	0.16	50	0.16	199	0.17	132	0.14	4	4717	0.13
E		TICKET VOTES		8444	0.27	746	0.34	71	0.23	279	0.24	272	0.29	14	9826	0.27
		"TEALE, Leonard"		4381	0.14	317	0.14	38	0.12	128	0.11	149	0.16	-4	5009	0.14
		"WARD, Colin"		40	0.00	3	0.00	1	0.00	0	0.00	5	0.01	-1	48	0.00
		Group Total		12865	0.41	1066	0.48	110	0.35	407	0.35	426	0.45	9	14883	0.42
F		TICKET VOTES	CAP	5243	0.17	311	0.14	72	0.23	239	0.21	156	0.16	-2	6019	0.17
		"UEBERGANG, K John"	CAP	577	0.02	39	0.02	9	0.03	19	0.02	24	0.03	1	669	0.02
		"HAWKINS, Doug"	CAP	35	0.00	2	0.00	0	0.00	2	0.00	2	0.00	-4	37	0.00
		Group Total	CAP	5855	0.19	352	0.16	81	0.26	260	0.22	182	0.19	-5	6725	0.19
G		TICKET VOTES	ASP	51258	1.64	3953	1.79	577	1.86	1558	1.35	1166	1.23	13	58525	1.63
		"ASCHER, Michael"	ASP	3687	0.12	255	0.12	24	0.08	141	0.12	164	0.17	2	4273	0.12
		"ORR, Ted"	ASP	323	0.01	26	0.01	4	0.01	11	0.01	15	0.02	0	379	0.01
		"WILKIE, Jeff"	ASP	236	0.01	12	0.01	5	0.02	3	0.00	6	0.01	-2	260	0.01
		"O'CONNELL, Suzanne"	ASP	82	0.00	5	0.00	1	0.00	3	0.00	7	0.01	4	102	0.00
		"BOURKE, Robyn Lee"	ASP	133	0.00	10	0.00	0	0.00	4	0.00	5	0.01	0	152	0.00
		Group Total	ASP	55719	1.78	4261	1.93	611	1.97	1720	1.49	1363	1.44	17	63691	1.78
H		TICKET VOTES		1812	0.06	81	0.04	22	0.07	55	0.05	26	0.03	-11	1985	0.06
		"POULOS, Patricia"		96	0.00	3	0.00	1	0.00	5	0.00	2	0.00	-2	105	0.00
		"ARCHER, Peter B"		21	0.00	2	0.00	0	0.00	5	0.00	0	0.00	-4	24	0.00
		"HOLLEY, John"		11	0.00	0	0.00	1	0.00	1	0.00	0	0.00	0	13	0.00
		Group Total		1940	0.06	86	0.04	24	0.08	66	0.06	28	0.03	-17	2127	0.06
I		TICKET VOTES	LNP	1184619	37.95	81120	36.66	9144	29.46	51440	44.48	42537	44.96	28	1368888	38.19
	#	"BAUME, Michael"	LP	18311	0.59	1370	0.62	108	0.35	805	0.70	1109	1.17	-40	21663	0.60
	#	"TIERNEY, John"	LP	834	0.03	81	0.04	11	0.04	46	0.04	55	0.06	-3	1024	0.03
	#	"MACDONALD, Sandy"	NP	976	0.03	130	0.06	14	0.05	43	0.04	113	0.12	-2	1274	0.04
		"PAYNE, Marise Ann"	LP	1036	0.03	93	0.04	9	0.03	53	0.05	65	0.07	6	1262	0.04
		Group Total	LNP	1205776	38.63	82794	37.42	9286	29.92	52387	45.30	43879	46.38	-11	1394111	38.90
J		TICKET VOTES		2401	0.08	174	0.08	32	0.10	112	0.10	84	0.09	3	2806	0.08
		"SANTA CLAUS, O"		614	0.02	65	0.03	7	0.02	18	0.02	36	0.04	-2	738	0.02
		"ROLO, Lord"		82	0.00	10	0.00	0	0.00	4	0.00	4	0.00	4	104	0.00
		Group Total		3097	0.10	249	0.11	39	0.13	134	0.12	124	0.13	5	3648	0.10
K		TICKET VOTES	DEM	132482	4.24	10283	4.65	1114	3.59	5410	4.68	3913	4.14	11	153213	4.27
		"SOWADA, Karin"	DEM	19193	0.61	1410	0.64	97	0.31	681	0.59	514	0.54	-15	21880	0.61
		"GRIFFITHS, Ray Ian"	DEM	478	0.02	42	0.02	4	0.01	21	0.02	21	0.02	2	568	0.02
		"CHESTERFIELD-EVANS, Arthur"	DEM	549	0.02	57	0.03	2	0.01	32	0.03	21	0.02	2	663	0.02
		Group Total	DEM	152702	4.89	11792	5.33	1217	3.92	6144	5.31	4469	4.72	0	176324	4.92
L		TICKET VOTES	ALP	1449935	46.45	99482	44.96	16888	54.41	44981	38.90	36721	38.82	208	1648215	45.99
	#	"RICHARDSON, Graham Frederick"	ALP	24273	0.78	2081	0.94	240	0.77	916	0.79	1003	1.06	-275	28238	0.79
	#	"FAULKNER, John"	ALP	937	0.03	101	0.05	19	0.06	40	0.03	52	0.05	3	1152	0.03
	#	"SIBRAA, Kerry"	ALP	854	0.03	74	0.03	12	0.04	33	0.03	48	0.05	-1	1020	0.03
		"ARMSTRONG, Mary-Anne"	ALP	2311	0.07	270	0.12	32	0.10	137	0.12	134	0.14	19	2903	0.08
		Group Total	ALP	1478310	47.36	102008	46.11	17191	55.39	46107	39.87	37958	40.12	-46	1681528	46.92
M		TICKET VOTES		1156	0.04	72	0.03	44	0.14	24	0.02	25	0.03	-13	1308	0.04
		"STEVENS, David Richard"		40	0.00	5	0.00	3	0.01	2	0.00	2	0.00	-4	48	0.00
		"HARRISON, Yvonne"		20	0.00	3	0.00	0	0.00	6	0.01	0	0.00	-1	28	0.00
		Group Total		1216	0.04	80	0.04	47	0.15	32	0.03	27	0.03	-18	1384	0.04
N		TICKET VOTES	GRN	51347	1.64	6018	2.72	797	2.57	2474	2.14	1061	1.12	32	61729	1.72
		"BRIGHAM, Steve"	GRN	9533	0.31	1068	0.48	70	0.23	409	0.35	223	0.24	-8	11295	0.32
		"WALLACE, Joy"	GRN	428	0.01	61	0.03	8	0.03	22	0.02	12	0.01	-2	529	0.01
		"COHEN, Ian"	GRN	553	0.02	72	0.03	9	0.03	36	0.03	32	0.03	2	704	0.02
		"STEAD, Cecily"	GRN	284	0.01	38	0.02	4	0.01	17	0.01	16	0.02	4	363	0.01
		Group Total	GRN	62145	1.99	7257	3.28	888	2.86	2958	2.56	1344	1.42	28	74620	2.08
O		TICKET VOTES	CTA	38391	1.23	3004	1.36	250	0.81	1600	1.38	1426	1.51	-1	44670	1.25
		"COLEMAN, Bruce"	CTA	7165	0.23	487	0.22	25	0.08	260	0.22	275	0.29	-1	8211	0.23
		"McLENNAN, Graham Clarke"	CTA	86	0.00	11	0.00	0	0.00	3	0.00	5	0.01	-3	102	0.00
		"GRIGG, Shirley J"	CTA	104	0.00	14	0.01	0	0.00	3	0.00	8	0.01	0	129	0.00
		"RYAN, Glen"	CTA	293	0.01	24	0.01	3	0.01	8	0.01	6	0.01	-1	333	0.01
		Group Total	CTA	46039	1.47	3540	1.60	278	0.90	1874	1.62	1720	1.82	-6	53445	1.49
P		TICKET VOTES	AFI	17708	0.57	1888	0.85	232	0.75	723	0.63	947	1.00	5	21503	0.60
		"KITSON, David A L"	AFI	1986	0.06	182	0.08	11	0.04	76	0.07	120	0.13	-5	2370	0.07
		"WEATHERLAKE, Ian A"	AFI	58	0.00	4	0.00	0	0.00	1	0.00	5	0.01	0	68	0.00
		Group Total	AFI	19752	0.63	2074	0.94	243	0.78	800	0.69	1072	1.13	0	23941	0.67
Q		TICKET VOTES		529	0.02	30	0.01	8	0.03	8	0.01	16	0.02	7	598	0.02
		"LAVERY, Rosemarie"		43	0.00	4	0.00	1	0.00	1	0.00	2	0.00	1	52	0.00
		"JOHN, Robert"		9	0.00	1	0.00	0	0.00	1	0.00	2	0.00	0	13	0.00
		"LAVERY, Priscilla"		7	0.00	1	0.00	0	0.00	1	0.00	0	0.00	-2	7	0.00
		Group Total		588	0.02	36	0.02	9	0.03	11	0.01	20	0.02	6	670	0.02
R		TICKET VOTES	GRY	7820	0.25	476	0.22	25	0.08	350	0.30	736	0.78	-2	9405	0.26
		"ROYLANCE, Frances"	GRY	810	0.03	37	0.02	3	0.01	35	0.03	56	0.06	-2	939	0.03
		"GROUNDS, Gay"	GRY	72	0.00	2	0.00	0	0.00	1	0.00	7	0.01	2	84	0.00
		Group Total	GRY	8702	0.28	515	0.23	28	0.09	386	0.33	799	0.84	-2	10428	0.29
S		TICKET VOTES		1129	0.04	48	0.02	6	0.02	20	0.02	14	0.01	-1	1216	0.03
		"BASS, Walter"		745	0.02	38	0.02	2	0.01	12	0.01	17	0.02	3	817	0.02
		"HALES, Paul"		18	0.00	2	0.00	0	0.00	0	0.00	1	0.00	0	21	0.00
		Group Total		1892	0.06	88	0.04	8	0.03	32	0.03	32	0.03	2	2054	0.06
T		TICKET VOTES		300	0.01	24	0.01	6	0.02	13	0.01	2	0.00	2	347	0.01
		"VESCIO, Michael"		26	0.00	4	0.00	0	0.00	3	0.00	1	0.00	0	34	0.00
		"WHEATLEY, Pamela Eileen"		3	0.00	1	0.00	0	0.00	0	0.00	1	0.00	0	5	0.00
		Group Total		329	0.01	29	0.01	6	0.02	16	0.01	4	0.00	2	386	0.01
