Senate - 1993 Election		
National List of Candidates		


Candidate	Party/Group Name	State

"ABETZ, Eric"	Liberal	TAS
"ALFORD, Ronald James"		QLD
"ANDERSON, Michael J"	Independent	NSW
"ARCHER, Brian"	Liberal	TAS
"ARCHER, Peter B"		NSW
"ARMSTRONG, Mary-Anne"	Australian Labor Party	NSW
"ASCHER, Michael"	Australian Shooters Party	NSW
"ASQUINI, Loretta"	The Victorian Greens	VIC
"AULICH, Terry"	Australian Labor Party	TAS

"BANJANIN, Toma"		VIC
"BASS, Walter"		NSW
"BAUME, Michael"	Liberal	NSW
"BECKMANN, Jane"	Green Alliance	NSW
"BEILBY, Christopher Hart"		QLD
"BELETICH, Argy"	Independent	NSW
"BELL, Laurie"	Independent	VIC
"BIRD, Henry Walter"	Liberal	QLD
"BIRD, John"	Australian Labor Party (ALP)	QLD
"BISHOP, Mark"	Australian Labor Party	WA
"BOLKUS, Nick"	Australian Labor Party	SA
"BOTTAM, Glen"	Grey Power	SA
"BOURKE, Robyn Lee"	Australian Shooters Party	NSW
"BRADSHAW, Michael"	National Party	SA
"BRANFIELD, Una"	A.I.P.P.	QLD
"BRIAN, Bernie"	Green Alliance	NSW
"BRIGHAM, Steve"	The Greens	NSW
"BROCKWELL, Maurice"	Liberal	WA
"BROOM, Bernard William"	Independent	SA
"BROSZCZYK, Greg"	Natural Law Party	TAS
"BUCHANAN, Ann"	Liberal	QLD
"BUCKLEY, Brian"	Republican Party of Australia	VIC
"BURNS, Arthur"	Australians Against Further Immigration	ACT
"BUTLER, Robert"	Citizens Electoral Councils of Australia Group	NSW

"CAMPBELL, Ian"	Liberal	WA
"CARR, Kim"	Australian Labor Party (ALP)	VIC
"CASBOLT, Diane"	Australian Democrats	VIC
"CHESTERFIELD-EVANS, Arthur"	Australian Democrats	NSW
"CLUNE, Paul"	National Party	WA
"COATES, John"	Australian Labor Party	TAS
"COBB, Teresa M."	National Party	QLD
"CODY, Matthew"	D.L.P. - Democratic Labor Party	VIC
"COHEN, Ian"	The Greens	NSW
"COLEMAN, Bruce"	Call to Australia (Fred Nile) Group	NSW
"COLLAERY, Bernard"	Independent	ACT
"COLLINS, Bob"	Australian Labor Party (ALP)	NT
"COLSTON, Malcolm"	Australian Labor Party (ALP)	QLD
"CONSANDINE, Peter"	Republican Party of Australia	NSW
"COOK, Ken"	Call to Australia (Fred Nile) Group	VIC
"COOK, Peter"	Australian Labor Party	WA
"COPPIN, Peter"	Natural Law Party	WA
"CORNISH, Jonathan"	Australian Democrats	QLD
"CREA, Pat"	D.L.P. - Democratic Labor Party	VIC
"CROMPTON, Margaret"		QLD
"CUNNINGHAM, Ross Alan"	Liberal	QLD
"CURTIS, Ian Ronald"	Liberal	VIC

"DAVIDSON, Francesca"	The Victorian Greens	VIC
"DAVIES, Caroline"	Natural Law Party	TAS
"DAVIES, Owen"	Liberal	QLD
"DE BRY, Katherine V"	Independent	NSW
"DECKER, Dianne"	Independent	NSW
"DIMITRIOU, Steve"	Independent	QLD
"DODD, Christine"	D.L.P. - Democratic Labor Party	VIC
"DWYER, David"	Independent EFF	SA

"ELLIS, Bryan T"	Independent	NSW
"ELLISON, Chris"	Liberal	WA
"ERNST, Ute"	Abolish Self Government Coalition	ACT
"EVANS, Christopher"	Australian Labor Party	WA
"EVANS, Gareth"	Australian Labor Party (ALP)	VIC

"FAULKNER, John"	Australian Labor Party	NSW
"FAZAL, Abdul Khaliq"	Independent	VIC
"FERGUSON, Alan"	Liberal	SA
"FINNEY, Rick"	Independent	WA
"FITZHARDINGE, Jody"	Natural Law Party	WA
"FLORIN, Steve"	Independent	VIC
"FOREMAN, Dominic"	Australian Labor Party	SA
"FRICKER, Ally"	The Green Party South Australia	SA
"FRY, Marion"	Tasmanian Greens	TAS

"GAJIN, Milorad"	Independent	NSW
"GARVEY, Barry"	Independent	QLD
"GEISSMANN, Mark S."	The Confederate Action Party of Australia	QLD
"GIBSON, Brian"	Liberal	TAS
"GIDDINGS, Douglas"	Independent EFF	SA
"GIDDINGS, Vanessa"	Independent EFF	SA
"GIDLEY, Brendan Frederick"	Republican Party of Australia	VIC
"GILL, Ryland E."	The Confederate Action Party of Australia	QLD
"GOOD, Michael"	Independent	VIC
"GRAHAM, Murray"	Call to Australia (Fred Nile) Group	VIC
"GRIFFITH, Steve"	Natural Law Party	VIC
"GRIFFITHS, Ray Ian"	Australian Democrats	NSW
"GRIGG, Shirley J"	Call to Australia (Fred Nile) Group	NSW
"GROUNDS, Gay"	Grey Power	NSW
"GUPTA, Satish"	Liberal	SA

"HALES, Paul"		NSW
"HAMEL-GREEN, Michael"	Independents' Network	VIC
"HARDY, Frank"	Independent	VIC
"HARMSEN, Patsy"	Australian Democrats	TAS
"HARRADINE, Brian"	Tasmanian Independent Senator Brian Harradine	TAS
"HARRISON, Yvonne"		NSW
"HAWKINS, Doug"	The Confederate Action Party of Australia	NSW
"HAY, Leone"	Citizens Electoral Councils of Australia Group	NSW
"HENDERSON, Judy"	Tasmanian Greens	TAS
"HILL, Peter"	Republican Party of Australia	SA
"HILL, Sandra"	The Confederate Action Party of Australia	QLD
"HODGSON, Helen"	Australian Democrats	WA
"HOLDER, Jack"	Grey Power	SA
"HOLLEY, John"		NSW
"HOPSON, Janelle"	Call to Australia (Fred Nile) Group	TAS
"HOPSON, Philip"	Call to Australia (Fred Nile) Group	TAS
"HUNT, Colin"	Queensland Greens	QLD
"HUTTON, Drew"	Queensland Greens	QLD

"ISHERWOOD, Noelene"	Citizens Electoral Councils of Australia Group	VIC

"JACKSON, Peter"	Natural Law Party	QLD
"JACKSON, Phillip"	Natural Law Party	WA
"JAMIESON, Ian"	Independent	TAS
"JARDINE, Michael"	National Party	WA
"JENKINS, Jean"	Australian Democrats	WA
"JEWELL, Perry J.B."	The Confederate Action Party of Australia	QLD
"JOHN, Robert"		NSW
"JONES, Peter"	Tasmanian Greens	TAS
"JOYNER, Rona"	Call to Australia (Fred Nile) Group	QLD
"JUDD, Ines"	Natural Law Party	NSW

"KAYAK, Maria"	Australian Democrats	VIC
"KELLY, De-Anne"	National Party	QLD
"KERR, Doreen"	Natural Law Party	NSW
"KERRISON, Nanette"	Natural Law Party	ACT
