Senate - 1993 Election									
Votes Counted by Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
New South Wales	3814932	3211735	224977	95686	117297	32043	-125	3681613	96.51
Victoria	2932640	2494785	156682	85251	85428	11163	-91	2833218	96.61
Queensland	1971729	1630700	122936	66138	63561	5698	119	1889152	95.81
Western Australia	1038968	873508	72655	19394	26135	5090	-27	996755	95.94
South Australia	1014400	857851	56052	26873	24502	3117	-30	968365	95.46
Tasmania	327919	282224	16340	9357	8232	731	0	316884	96.63
Australian Capital Territory	192487	148297	3793	5714	27071	1939	0	186814	97.05
Northern Territory	91563	73405	0	2166	5075	811	0	81457	88.96
NATIONAL TOTAL	11384638	9572505	653435	310579	357301	60592	-154	10954258	96.22
									
									
New South Wales									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Banks	79242	67432	4889	2104	2018	326	2	76771	96.88
Barton	80185	68458	3991	1969	2542	639	3	77602	96.78
Bennelong	79036	66685	4770	2242	2381	406	0	76484	96.77
Berowra	79538	66002	4728	1931	3894	372	0	76927	96.72
Blaxland	76955	66035	4146	1570	1559	644	0	73954	96.10
Bradfield	79193	65900	4564	2089	3721	276	0	76550	96.66
Calare	75897	64474	4958	2533	1235	802	16	74018	97.52
Charlton	77970	66375	4452	1881	2880	599	0	76187	97.71
Chifley	76187	65068	4809	786	1661	919	0	73243	96.14
Cook	78050	65666	4571	1866	3289	508	0	75900	97.25
Cowper	72758	60579	4399	1692	2572	770	-1	70011	96.22
Cunningham	75134	64679	3591	1867	2024	571	22	72754	96.83
Dobell	72511	60255	4947	1813	3034	602	-9	70642	97.42
Eden-Monaro	73191	60826	3169	2798	2729	732	0	70254	95.99
Farrer	74250	62977	2122	2692	3194	582	0	71567	96.39
Fowler	77164	66038	4180	998	1397	1042	0	73655	95.45
Gilmore	70480	59395	3892	2166	2562	582	0	68597	97.33
Grayndler	80895	66567	5310	1522	2009	1081	40	76529	94.60
Greenway	75426	64854	4405	1209	1905	615	-2	72986	96.77
Gwydir	76706	63194	6162	2287	1830	715	0	74188	96.72
Hughes	74826	63862	4859	1430	2412	444	0	73007	97.57
Hume	75091	63108	4912	2589	2003	620	1	73233	97.53
Hunter	75411	63869	4780	2058	1759	623	0	73089	96.92
Kingsford-Smith	77048	64858	3861	1800	2496	683	0	73698	95.65
Lindsay	73911	63367	4992	979	1912	638	0	71888	97.26
Lowe	79183	67102	4135	2212	2229	563	-1	76240	96.28
Lyne	74030	62747	4415	1794	2131	571	0	71658	96.80
Macarthur	73664	62628	4723	1416	1870	593	0	71230	96.70
Mackellar	78150	64995	4651	1796	2967	778	0	75187	96.21
Macquarie	74155	62166	4847	1985	2027	614	1	71640	96.61
Mitchell	71384	60486	4731	1496	2431	372	0	69516	97.38
Newcastle	77791	66248	4908	2192	1653	593	-48	75546	97.11
New England	75009	62060	4512	2246	3176	596	6	72596	96.78
North Sydney	81050	65651	5235	2143	3528	793	0	77350	95.43
Page	78020	66438	3423	2505	2303	700	0	75369	96.60
Parkes	80526	66354	5078	2372	2780	650	1	77235	95.91
Parramatta	77936	65052	5405	2341	2059	547	0	75404	96.75
Paterson	73387	63382	4030	2130	1510	461	-1	71512	97.45
Prospect	74251	64850	4008	1066	1353	642	0	71919	96.86
Reid	77734	66102	4610	1683	1622	729	5	74751	96.16
Richmond	74211	61760	2616	2517	3654	658	-1	71204	95.95
Riverina	78023	66043	3865	2222	2268	889	-14	75273	96.48
Robertson	72618	60231	4896	2124	2313	572	17	70153	96.61
