Senate - 1993 Election: Australian Capital Territory																																																																																											
First Preference Votes by Candidate																																																																																											
By Polling Place																																																																																											


Canberra (95277)																																																																																											

	   		 A Australian Democrats												 B Australian Labor Party (ACT Branch)												 C Abolish Self Government Coalition												 D The Greens												 E Liberal Party of Australia - ACT Division												 F Natural Law Party												Ungrouped																
    			TICKET VOTES			MICO			MAIN			Group Total			TICKET VOTES			# MCMULLAN			SHEEHAN			Group Total			TICKET VOTES			MILLER			ERNST			Group Total			TICKET VOTES			TUCKER			TURBAYNE			Group Total			TICKET VOTES			# REID			SPIER			Group Total			TICKET VOTES			SEATON			KERRISON			Group Total			BURNS			COLLAERY			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Domenic			Peter									Bob			Maureen									Helen			Ute									Kerrie			David									Margaret			Lucinda									David			Nanette						Arthur			Bernard													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bonython		                                   	79	5.33	 	23	1.55	 	6	0.4	 	108	7.28	 	729	49.16	 	53	3.57	 	7	0.47	 	789	53.2	 	6	0.4	 	1	0.07	 	0	0	 	7	0.47	 	37	2.49	 	16	1.08	 	0	0	 	53	3.57	 	448	30.21	 	34	2.29	 	2	0.13	 	484	32.64	 	6	0.4	 	0	0	 	1	0.07	 	7	0.47	 	1	0.07	 	34	2.29	 	35	2.36	 	1483	98.87	 	17	1.13	 	1500	1.62
Calwell		                                    	178	5.9	 	62	2.06	 	9	0.3	 	249	8.26	 	1461	48.46	 	99	3.28	 	18	0.6	 	1578	52.34	 	22	0.73	 	7	0.23	 	2	0.07	 	31	1.03	 	72	2.39	 	45	1.49	 	1	0.03	 	118	3.91	 	880	29.19	 	83	2.75	 	1	0.03	 	964	31.97	 	6	0.2	 	2	0.07	 	1	0.03	 	9	0.3	 	7	0.23	 	59	1.96	 	66	2.19	 	3015	98.69	 	40	1.31	 	3055	3.3
Chapman		                                    	77	3.43	 	49	2.19	 	4	0.18	 	130	5.8	 	798	35.59	 	78	3.48	 	11	0.49	 	887	39.56	 	14	0.62	 	7	0.31	 	0	0	 	21	0.94	 	58	2.59	 	59	2.63	 	2	0.09	 	119	5.31	 	951	42.42	 	73	3.26	 	5	0.22	 	1029	45.9	 	1	0.04	 	0	0	 	2	0.09	 	3	0.13	 	3	0.13	 	50	2.23	 	53	2.36	 	2242	98.33	 	38	1.67	 	2280	2.46
Chifley		                                    	80	5.12	 	36	2.3	 	4	0.26	 	120	7.67	 	694	44.37	 	64	4.09	 	9	0.58	 	767	49.04	 	12	0.77	 	7	0.45	 	0	0	 	19	1.21	 	49	3.13	 	46	2.94	 	6	0.38	 	101	6.46	 	440	28.13	 	51	3.26	 	3	0.19	 	494	31.59	 	7	0.45	 	1	0.06	 	1	0.06	 	9	0.58	 	8	0.51	 	46	2.94	 	54	3.45	 	1564	98.3	 	27	1.7	 	1591	1.72
Chisholm		                                   	96	4.73	 	27	1.33	 	2	0.1	 	125	6.16	 	991	48.82	 	50	2.46	 	8	0.39	 	1049	51.67	 	15	0.74	 	5	0.25	 	1	0.05	 	21	1.03	 	51	2.51	 	29	1.43	 	1	0.05	 	81	3.99	 	644	31.72	 	55	2.71	 	6	0.3	 	705	34.73	 	8	0.39	 	2	0.1	 	0	0	 	10	0.49	 	4	0.2	 	35	1.72	 	39	1.92	 	2030	98.98	 	21	1.02	 	2051	2.21
Curtin		                                     	119	3.87	 	77	2.5	 	4	0.13	 	200	6.5	 	1266	41.16	 	135	4.39	 	15	0.49	 	1416	46.03	 	22	0.72	 	6	0.2	 	1	0.03	 	29	0.94	 	118	3.84	 	118	3.84	 	7	0.23	 	243	7.9	 	950	30.88	 	113	3.67	 	6	0.2	 	1069	34.75	 	9	0.29	 	7	0.23	 	4	0.13	 	20	0.65	 	12	0.39	 	87	2.83	 	99	3.22	 	3076	98.21	 	56	1.79	 	3132	3.38
Deakin		                                     	56	3.06	 	39	2.13	 	5	0.27	 	100	5.47	 	445	24.34	 	62	3.39	 	6	0.33	 	513	28.06	 	8	0.44	 	3	0.16	 	0	0	 	11	0.6	 	65	3.56	 	57	3.12	 	2	0.11	 	124	6.78	 	933	51.04	 	87	4.76	 	5	0.27	 	1025	56.07	 	4	0.22	 	3	0.16	 	1	0.05	 	8	0.44	 	3	0.16	 	44	2.41	 	47	2.57	 	1828	98.97	 	19	1.03	 	1847	1.99
