Senate - 1993 Election: South Australia																																																																																																																																																																																																	
First Preference Votes by Candidate																																																																																																																																																																																																	
By Polling Place																																																																																																																																																																																																	


Adelaide (85484)																																																																																																																																																																																																	

	   		 A Republican Party of Australia												 B The Green Party South Australia												 C National Party of Australia (S.A.) Inc.												 D Call to Australia (Fred Nile) Group												 E Australian Labor Party (South Australian Branch)																		F - Unendorsed Group												 G Australian Democrats																		 H Natural Law Party															 I Independent EFF															 J Grey Power															 K Australians Against Further Immigration												 L Liberal Party of Australia - (S.A. Division)																		Ungrouped																			
    			TICKET VOTES			NASRULLAH			HILL			Group Total			TICKET VOTES			FRICKER			WEISSMANN			Group Total			TICKET VOTES			MCCALLUM			BRADSHAW			Group Total			TICKET VOTES			RODWAY			SQUIRRELL			Group Total			TICKET VOTES			# BOLKUS			# FOREMAN			MAGUIRE			MCDONALD			Group Total			TICKET VOTES			LIEW			SCHIRRIPA			Group Total			TICKET VOTES			# LEES			SWIFT			STOTT DESPOJA			TICKLE			Group Total			TICKET VOTES			WELLS			MARTIN			MORRIS			Group Total			TICKET VOTES			DWYER			GIDDINGS			GIDDINGS			Group Total			TICKET VOTES			HOLDER			PRESTON			BOTTAM			Group Total			TICKET VOTES			MOORE			SMITH			Group Total			TICKET VOTES			# VANSTONE			# MINCHIN			# FERGUSON			GUPTA			Group Total			RICE			BROOM			SMITH			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Bilal			Peter									Ally			Gerhard									Nola			Michael									David			David									Nick			Dominic			Graham			Rosalie Ann									Dr Alex			Douglas									Meg			Stephen			Natasha			Patricia									Dr Geoff			Anne			Dulcie									David			Douglas			Vanessa									Jack			Betty			Glen									Evonne			Joe									Amanda			Nick			Alan			Satish						Mark			Bernard William			E.C. (Ean)													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Adelaide)		                        	1	0.16	 	2	0.33	 	0	0	 	3	0.49	 	23	3.75	 	12	1.96	 	1	0.16	 	36	5.87	 	1	0.16	 	0	0	 	1	0.16	 	2	0.33	 	2	0.33	 	2	0.33	 	0	0	 	4	0.65	 	223	36.38	 	22	3.59	 	1	0.16	 	2	0.33	 	2	0.33	 	250	40.78	 	3	0.49	 	0	0	 	0	0	 	3	0.49	 	65	10.6	 	28	4.57	 	0	0	 	4	0.65	 	4	0.65	 	101	16.48	 	4	0.65	 	6	0.98	 	1	0.16	 	0	0	 	11	1.79	 	2	0.33	 	0	0	 	0	0	 	0	0	 	2	0.33	 	3	0.49	 	1	0.16	 	0	0	 	1	0.16	 	5	0.82	 	4	0.65	 	0	0	 	0	0	 	4	0.65	 	180	29.36	 	9	1.47	 	1	0.16	 	0	0	 	0	0	 	190	31	 	2	0.33	 	0	0	 	0	0	 	2	0.33	 	613	98.24	 	11	1.76	 	624	0.77
Adelaide East		                              	3	0.55	 	1	0.18	 	0	0	 	4	0.73	 	11	2.01	 	4	0.73	 	0	0	 	15	2.74	 	4	0.73	 	0	0	 	0	0	 	4	0.73	 	1	0.18	 	2	0.37	 	1	0.18	 	4	0.73	 	176	32.18	 	13	2.38	 	0	0	 	0	0	 	2	0.37	 	191	34.92	 	0	0	 	0	0	 	0	0	 	0	0	 	47	8.59	 	14	2.56	 	0	0	 	3	0.55	 	1	0.18	 	65	11.88	 	7	1.28	 	1	0.18	 	0	0	 	0	0	 	8	1.46	 	3	0.55	 	0	0	 	0	0	 	1	0.18	 	4	0.73	 	2	0.37	 	1	0.18	 	0	0	 	0	0	 	3	0.55	 	1	0.18	 	0	0	 	0	0	 	1	0.18	 	242	44.24	 	3	0.55	 	1	0.18	 	0	0	 	1	0.18	 	247	45.16	 	1	0.18	 	0	0	 	0	0	 	1	0.18	 	547	97.33	 	15	2.67	 	562	0.7
Adelaide Hospital		                          	0	0	 	0	0	 	0	0	 	0	0	 	4	1.75	 	4	1.75	 	0	0	 	8	3.51	 	1	0.44	 	0	0	 	0	0	 	1	0.44	 	2	0.88	 	0	0	 	0	0	 	2	0.88	 	87	38.16	 	8	3.51	 	0	0	 	0	0	 	4	1.75	 	99	43.42	 	1	0.44	 	0	0	 	0	0	 	1	0.44	 	20	8.77	 	5	2.19	 	1	0.44	 	1	0.44	 	0	0	 	27	11.84	 	1	0.44	 	1	0.44	 	0	0	 	0	0	 	2	0.88	 	1	0.44	 	0	0	 	0	0	 	0	0	 	1	0.44	 	1	0.44	 	1	0.44	 	0	0	 	0	0	 	2	0.88	 	0	0	 	0	0	 	0	0	 	0	0	 	82	35.96	 	3	1.32	 	0	0	 	0	0	 	0	0	 	85	37.28	 	0	0	 	0	0	 	0	0	 	0	0	 	228	98.28	 	4	1.72	 	232	0.29
Adelaide South		                             	2	0.17	 	0	0	 	0	0	 	2	0.17	 	17	1.42	 	14	1.17	 	0	0	 	31	2.59	 	2	0.17	 	1	0.08	 	0	0	 	3	0.25	 	3	0.25	 	1	0.08	 	0	0	 	4	0.33	 	428	35.73	 	31	2.59	 	0	0	 	2	0.17	 	4	0.33	 	465	38.81	 	4	0.33	 	0	0	 	0	0	 	4	0.33	 	99	8.26	 	39	3.26	 	0	0	 	2	0.17	 	0	0	 	140	11.69	 	7	0.58	 	6	0.5	 	0	0	 	0	0	 	13	1.09	 	3	0.25	 	0	0	 	1	0.08	 	0	0	 	4	0.33	 	5	0.42	 	1	0.08	 	1	0.08	 	0	0	 	7	0.58	 	1	0.08	 	2	0.17	 	1	0.08	 	4	0.33	 	505	42.15	 	12	1	 	1	0.08	 	1	0.08	 	1	0.08	 	520	43.41	 	0	0	 	1	0.08	 	0	0	 	1	0.08	 	1198	97.8	 	27	2.2	 	1225	1.52
Adelaide West		                              	13	1.6	 	0	0	 	0	0	 	13	1.6	 	15	1.85	 	13	1.6	 	0	0	 	28	3.46	 	4	0.49	 	0	0	 	0	0	 	4	0.49	 	2	0.25	 	2	0.25	 	0	0	 	4	0.49	 	354	43.7	 	17	2.1	 	2	0.25	 	2	0.25	 	3	0.37	 	378	46.67	 	4	0.49	 	0	0	 	0	0	 	4	0.49	 	64	7.9	 	27	3.33	 	1	0.12	 	2	0.25	 	1	0.12	 	95	11.73	 	7	0.86	 	5	0.62	 	0	0	 	0	0	 	12	1.48	 	0	0	 	1	0.12	 	0	0	 	0	0	 	1	0.12	 	0	0	 	0	0	 	0	0	 	1	0.12	 	1	0.12	 	2	0.25	 	2	0.25	 	0	0	 	4	0.49	 	254	31.36	 	11	1.36	 	0	0	 	0	0	 	0	0	 	265	32.72	 	1	0.12	 	0	0	 	0	0	 	1	0.12	 	810	96.2	 	32	3.8	 	842	1.05
Black Forest		                               	3	0.35	 	0	0	 	0	0	 	3	0.35	 	12	1.39	 	6	0.7	 	0	0	 	18	2.09	 	0	0	 	1	0.12	 	0	0	 	1	0.12	 	6	0.7	 	2	0.23	 	0	0	 	8	0.93	 	289	33.57	 	13	1.51	 	1	0.12	 	0	0	 	4	0.46	 	307	35.66	 	0	0	 	1	0.12	 	0	0	 	1	0.12	 	80	9.29	 	23	2.67	 	1	0.12	 	1	0.12	 	0	0	 	105	12.2	 	5	0.58	 	3	0.35	 	0	0	 	0	0	 	8	0.93	 	7	0.81	 	0	0	 	0	0	 	1	0.12	 	8	0.93	 	5	0.58	 	1	0.12	 	0	0	 	0	0	 	6	0.7	 	1	0.12	 	0	0	 	1	0.12	 	2	0.23	 	382	44.37	 	12	1.39	 	0	0	 	0	0	 	0	0	 	394	45.76	 	0	0	 	0	0	 	0	0	 	0	0	 	861	97.95	 	18	2.05	 	879	1.09
Blair Athol Central		                        	4	0.27	 	1	0.07	 	0	0	 	5	0.33	 	18	1.2	 	5	0.33	 	0	0	 	23	1.54	 	6	0.4	 	0	0	 	0	0	 	6	0.4	 	13	0.87	 	4	0.27	 	0	0	 	17	1.13	 	634	42.32	 	14	0.93	 	0	0	 	4	0.27	 	2	0.13	 	654	43.66	 	6	0.4	 	0	0	 	0	0	 	6	0.4	 	110	7.34	 	28	1.87	 	1	0.07	 	1	0.07	 	0	0	 	140	9.35	 	13	0.87	 	1	0.07	 	0	0	 	0	0	 	14	0.93	 	4	0.27	 	1	0.07	 	0	0	 	1	0.07	 	6	0.4	 	5	0.33	 	2	0.13	 	0	0	 	0	0	 	7	0.47	 	9	0.6	 	0	0	 	0	0	 	9	0.6	 	588	39.25	 	23	1.54	 	0	0	 	0	0	 	0	0	 	611	40.79	 	0	0	 	0	0	 	0	0	 	0	0	 	1498	96.09	 	61	3.91	 	1559	1.94
