Senate - 1993 Election: Tasmania																																																																																																																									
First Preference Votes by Candidate																																																																																																																									
By Polling Place																																																																																																																									


Bass (66119)																																																																																																																									

	   		 A Tasmanian Independent Senator Brian Harradine Group									 B Australian Labor Party (Tasmanian Branch)																		 C Tasmania Senate Team												 D Tasmanian Greens															 E Call to Australia (Fred Nile) Group												 F Natural Law Party												 G Australian Democrats												 H Liberal Party of Australia - Tasmanian Division															Ungrouped													
    			TICKET VOTES			# HARRADINE			Group Total			TICKET VOTES			# TATE			# COATES			# MURPHY			AULICH			Group Total			TICKET VOTES			SPROULE			MCSHANE			Group Total			TICKET VOTES			HENDERSON			JONES			FRY			Group Total			TICKET VOTES			HOPSON			HOPSON			Group Total			TICKET VOTES			BROSZCZYK			DAVIES			Group Total			TICKET VOTES			HARMSEN			STEPHEN			Group Total			TICKET VOTES			# ARCHER			# GIBSON			ABETZ			Group Total			JAMIESON			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Brian									Michael			John			Shayne			Terry									Alan			Frances									Judy			Peter			Marion									Philip			Janelle									Greg			Caroline									Patsy			David									Brian			Brian			Eric						Ian													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alanvale		                                   	212	6.47	 	136	4.15	 	348	10.62	 	1472	44.93	 	167	5.1	 	18	0.55	 	20	0.61	 	39	1.19	 	1716	52.38	 	11	0.34	 	5	0.15	 	0	0	 	16	0.49	 	59	1.8	 	44	1.34	 	0	0	 	3	0.09	 	106	3.24	 	16	0.49	 	1	0.03	 	1	0.03	 	18	0.55	 	4	0.12	 	1	0.03	 	2	0.06	 	7	0.21	 	25	0.76	 	12	0.37	 	2	0.06	 	39	1.19	 	894	27.29	 	107	3.27	 	15	0.46	 	8	0.24	 	1024	31.26	 	2	0.06	 	2	0.06	 	3276	96.61	 	115	3.39	 	3391	5.33
Blessington Upper		                          	11	10.78	 	3	2.94	 	14	13.73	 	29	28.43	 	4	3.92	 	0	0	 	2	1.96	 	0	0	 	35	34.31	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.94	 	0	0	 	1	0.98	 	0	0	 	4	3.92	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.98	 	0	0	 	0	0	 	1	0.98	 	45	44.12	 	3	2.94	 	0	0	 	0	0	 	48	47.06	 	0	0	 	0	0	 	102	96.23	 	4	3.77	 	106	0.17
Branxholm		                                  	17	6.61	 	12	4.67	 	29	11.28	 	94	36.58	 	7	2.72	 	0	0	 	2	0.78	 	4	1.56	 	107	41.63	 	1	0.39	 	2	0.78	 	0	0	 	3	1.17	 	7	2.72	 	6	2.33	 	0	0	 	0	0	 	13	5.06	 	1	0.39	 	0	0	 	0	0	 	1	0.39	 	1	0.39	 	0	0	 	0	0	 	1	0.39	 	0	0	 	0	0	 	0	0	 	0	0	 	86	33.46	 	17	6.61	 	0	0	 	0	0	 	103	40.08	 	0	0	 	0	0	 	257	97.35	 	7	2.65	 	264	0.41
Bridport		                                   	45	4.32	 	50	4.8	 	95	9.12	 	287	27.54	 	32	3.07	 	4	0.38	 	7	0.67	 	22	2.11	 	352	33.78	 	7	0.67	 	2	0.19	 	4	0.38	 	13	1.25	 	40	3.84	 	20	1.92	 	0	0	 	1	0.1	 	61	5.85	 	3	0.29	 	5	0.48	 	0	0	 	8	0.77	 	0	0	 	0	0	 	0	0	 	0	0	 	8	0.77	 	2	0.19	 	1	0.1	 	11	1.06	 	404	38.77	 	89	8.54	 	4	0.38	 	5	0.48	 	502	48.18	 	0	0	 	0	0	 	1042	96.93	 	33	3.07	 	1075	1.69
Cape Barren Island		                         	3	11.54	 	0	0	 	3	11.54	 	10	38.46	 	0	0	 	0	0	 	0	0	 	0	0	 	10	38.46	 	0	0	 	1	3.85	 	0	0	 	1	3.85	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	12	46.15	 	0	0	 	0	0	 	0	0	 	12	46.15	 	0	0	 	0	0	 	26	86.67	 	4	13.33	 	30	0.05
Cosgrove Park		                              	33	8.07	 	16	3.91	 	49	11.98	 	149	36.43	 	16	3.91	 	1	0.24	 	0	0	 	2	0.49	 	168	41.08	 	4	0.98	 	0	0	 	1	0.24	 	5	1.22	 	9	2.2	 	9	2.2	 	0	0	 	0	0	 	18	4.4	 	1	0.24	 	0	0	 	0	0	 	1	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.73	 	1	0.24	 	0	0	 	4	0.98	 	144	35.21	 	19	4.65	 	1	0.24	 	0	0	 	164	40.1	 	0	0	 	0	0	 	409	96.01	 	17	3.99	 	426	0.67
Derby		                                      	5	2.99	 	4	2.4	 	9	5.39	 	56	33.53	 	6	3.59	 	1	0.6	 	0	0	 	7	4.19	 	70	41.92	 	3	1.8	 	0	0	 	0	0	 	3	1.8	 	9	5.39	 	4	2.4	 	0	0	 	0	0	 	13	7.78	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.6	 	0	0	 	1	0.6	 	0	0	 	1	0.6	 	0	0	 	1	0.6	 	57	34.13	 	8	4.79	 	4	2.4	 	0	0	 	69	41.32	 	1	0.6	 	1	0.6	 	167	97.09	 	5	2.91	 	172	0.27
Dilston		                                    	28	4.89	 	23	4.01	 	51	8.9	 	154	26.88	 	18	3.14	 	2	0.35	 	1	0.17	 	3	0.52	 	178	31.06	 	6	1.05	 	3	0.52	 	2	0.35	 	11	1.92	 	31	5.41	 	21	3.66	 	0	0	 	0	0	 	52	9.08	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.17	 	0	0	 	1	0.17	 	10	1.75	 	2	0.35	 	0	0	 	12	2.09	 	236	41.19	 	24	4.19	 	6	1.05	 	2	0.35	 	268	46.77	 	0	0	 	0	0	 	573	98.45	 	9	1.55	 	582	0.91
Elphin		                                     	33	4.17	 	37	4.68	 	70	8.85	 	256	32.36	 	46	5.82	 	2	0.25	 	3	0.38	 	16	2.02	 	323	40.83	 	5	0.63	 	1	0.13	 	1	0.13	 	7	0.88	 	33	4.17	 	18	2.28	 	0	0	 	1	0.13	 	52	6.57	 	3	0.38	 	2	0.25	 	0	0	 	5	0.63	 	2	0.25	 	2	0.25	 	0	0	 	4	0.51	 	9	1.14	 	5	0.63	 	0	0	 	14	1.77	 	283	35.78	 	24	3.03	 	4	0.51	 	5	0.63	 	316	39.95	 	0	0	 	0	0	 	791	96.82	 	26	3.18	 	817	1.28
Emita		                                      	4	4.94	 	3	3.7	 	7	8.64	 	11	13.58	 	3	3.7	 	0	0	 	0	0	 	0	0	 	14	17.28	 	0	0	 	0	0	 	0	0	 	0	0	 	4	4.94	 	1	1.23	 	0	0	 	0	0	 	5	6.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	46	56.79	 	8	9.88	 	0	0	 	1	1.23	 	55	67.9	 	0	0	 	0	0	 	81	95.29	 	4	4.71	 	85	0.13
