Senate - 1993 Election: Victoria																																																																																																																																																																																																																																														
First Preference Votes by Candidate																																																																																																																																																																																																																																														
By Polling Place																																																																																																																																																																																																																																														

 																																																																																																																																																																																																																																														
Aston (79158)																																																																																																																																																																																																																																														

	   		 A Pensioner and Citizen Initiated Referendum Alliance												 B Janet Powell Independents' Network																		 C Australians Against Further Immigration												 D Natural Law Party															 E Call to Australia (Fred Nile) Group												 F Democratic Labor Party (DLP) of Australia																					 G Liberal/National Party																								 H Republican Party of Australia												 I Australian Labor Party (ALP)																		 J Australian Democrats																								K - Unendorsed Group												 L The Victorian Green Alliance												Ungrouped																																											
    			TICKET VOTES			MCKAY			MCKAY			Group Total			TICKET VOTES			POWELL			HAMEL-GREEN			O'ROURKE			LEVY			Group Total			TICKET VOTES			MCCORMACK			SPENCER			Group Total			TICKET VOTES			GRIFFITH			SCURFIELD			MASON			Group Total			TICKET VOTES			COOK			GRAHAM			Group Total			TICKET VOTES			MULHOLLAND			ROWE			CREA			DODD			CODY			Group Total			TICKET VOTES			# SHORT			# MCGAURAN			# TROETH			TCHEN			CURTIS			WALL			Group Total			TICKET VOTES			BUCKLEY			GIDLEY			Group Total			TICKET VOTES			# EVANS			# CARR			# ZAKHAROV			MCKENZIE			Group Total			TICKET VOTES			WOOD			KAYAK			WHITE			PINNIGER			CASBOLT			STEAR			Group Total			TICKET VOTES			TOSCANO			ROPER			Group Total			TICKET VOTES			DAVIDSON			ASQUINI			Group Total			MOFFATT			BANJANIN			HARDY			BELL			ROTARU			FLORIN			GOOD			ISHERWOOD			PETHERBRIDGE			PAVLEKOVICH-SMITH			FAZAL			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Neil			Alistair									Janet			Michael			Anne			Laurie									Denis			Robyn Marion									Steve			Lorna			Ngaire									Ken			Murray									John			Michael			Pat			Christine			Matthew									Jim			Julian John			Judith			Tsebin			Ian Ronald			Bill									Brian			Brendan Frederick									Gareth			Kim			Olive			David									Robert			Maria			Marj			John			Diane			Kathryn									Joe			Stephen									Francesca			Loretta						Gordon			Toma			Frank			Laurie			Alex			Steve			Michael			Noelene			Tim			Ivan			Abdul Khaliq													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater		                                  	18	0.83	 	3	0.14	 	0	0	 	21	0.96	 	43	1.97	 	4	0.18	 	0	0	 	0	0	 	0	0	 	47	2.16	 	11	0.5	 	2	0.09	 	0	0	 	13	0.6	 	5	0.23	 	2	0.09	 	0	0	 	0	0	 	7	0.32	 	25	1.15	 	1	0.05	 	0	0	 	26	1.19	 	27	1.24	 	2	0.09	 	0	0	 	0	0	 	0	0	 	0	0	 	29	1.33	 	851	39.04	 	16	0.73	 	0	0	 	1	0.05	 	0	0	 	0	0	 	0	0	 	868	39.82	 	2	0.09	 	0	0	 	0	0	 	2	0.09	 	1031	47.29	 	29	1.33	 	0	0	 	0	0	 	0	0	 	1060	48.62	 	72	3.3	 	4	0.18	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	76	3.49	 	0	0	 	1	0.05	 	0	0	 	1	0.05	 	21	0.96	 	4	0.18	 	0	0	 	25	1.15	 	0	0	 	0	0	 	2	0.09	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.14	 	0	0	 	0	0	 	5	0.23	 	2180	97.36	 	59	2.64	 	2239	2.91
Bayswater East		                             	3	0.34	 	0	0	 	0	0	 	3	0.34	 	5	0.57	 	1	0.11	 	0	0	 	0	0	 	0	0	 	6	0.69	 	8	0.92	 	1	0.11	 	0	0	 	9	1.03	 	1	0.11	 	0	0	 	0	0	 	0	0	 	1	0.11	 	33	3.78	 	10	1.15	 	0	0	 	43	4.93	 	11	1.26	 	1	0.11	 	0	0	 	0	0	 	0	0	 	0	0	 	12	1.38	 	390	44.72	 	16	1.83	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	406	46.56	 	0	0	 	0	0	 	0	0	 	0	0	 	317	36.35	 	13	1.49	 	0	0	 	0	0	 	0	0	 	330	37.84	 	48	5.5	 	5	0.57	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	53	6.08	 	0	0	 	0	0	 	0	0	 	0	0	 	7	0.8	 	2	0.23	 	0	0	 	9	1.03	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	872	98.09	 	17	1.91	 	889	1.16
Bayswater South		                            	4	0.25	 	1	0.06	 	0	0	 	5	0.31	 	4	0.25	 	2	0.13	 	0	0	 	0	0	 	0	0	 	6	0.38	 	8	0.5	 	1	0.06	 	0	0	 	9	0.56	 	5	0.31	 	2	0.13	 	0	0	 	1	0.06	 	8	0.5	 	22	1.38	 	4	0.25	 	1	0.06	 	27	1.69	 	1	0.06	 	3	0.19	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.25	 	700	43.91	 	28	1.76	 	1	0.06	 	0	0	 	1	0.06	 	0	0	 	0	0	 	730	45.8	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	678	42.53	 	28	1.76	 	0	0	 	1	0.06	 	0	0	 	707	44.35	 	65	4.08	 	12	0.75	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	77	4.83	 	0	0	 	0	0	 	0	0	 	0	0	 	15	0.94	 	2	0.13	 	0	0	 	17	1.07	 	0	0	 	0	0	 	1	0.06	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.13	 	0	0	 	0	0	 	3	0.19	 	1594	97.37	 	43	2.63	 	1637	2.13
