Senate - 1993 Election: Western Australia																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																												
By Polling Place																																																																																																																																																																												


Brand (80370)																																																																																																																																																																												

	   		 A Call to Australia (Fred Nile) Group												 B Natural Law Party																		 C The Greens (WA) Inc												 D Republican Party of Australia												 E Australian Labor Party (Western Australian Branch)																		 F Liberal Party (W.A.Division) Inc.																								 G Citizens Electoral Councils of Australia Group												 H Australian Democrats												 I National Party of Australia (WA) Inc															 J - Unendorsed Group												Ungrouped																						
    			TICKET VOTES			ROGERS			ROGERS			Group Total			TICKET VOTES			KING			JACKSON			FITZHARDINGE			COPPIN			Group Total			TICKET VOTES			# MARGETTS			WILLIAMS			Group Total			TICKET VOTES			LANGLEY			STRATTON			Group Total			TICKET VOTES			# COOK			# EVANS			BISHOP			ROBERTS			Group Total			TICKET VOTES			# KNOWLES			# CAMPBELL			# ELLISON			BROCKWELL			SIRNA			MCCAUSLAND			Group Total			TICKET VOTES			SEALE			MOLLOY			Group Total			TICKET VOTES			JENKINS			HODGSON			Group Total			TICKET VOTES			JARDINE			CLUNE			LEE			Group Total			TICKET VOTES			NESCI			NESCI			Group Total			FINNEY			VAUGHAN			RICHARDSON			TUCAK			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Don			Beryl									Michael			Phillip			Jody			Peter									Dee			Chris									David			Rodney									Peter			Christopher			Mark			Neil									Sue			Ian			Chris			Maurice			Enzo			John Allan									John Digby			Laurence John									Jean			Helen									Michael			Paul			David									Frank			Paul John						Rick			Salli			Roland			John Damian													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allanson		                                   	4	1.23	 	1	0.31	 	1	0.31	 	6	1.84	 	1	0.31	 	1	0.31	 	0	0	 	0	0	 	0	0	 	2	0.61	 	8	2.45	 	1	0.31	 	1	0.31	 	10	3.07	 	0	0	 	0	0	 	0	0	 	0	0	 	170	52.15	 	1	0.31	 	0	0	 	0	0	 	1	0.31	 	172	52.76	 	87	26.69	 	2	0.61	 	1	0.31	 	0	0	 	0	0	 	0	0	 	0	0	 	90	27.61	 	0	0	 	0	0	 	0	0	 	0	0	 	15	4.6	 	2	0.61	 	0	0	 	17	5.21	 	26	7.98	 	2	0.61	 	0	0	 	0	0	 	28	8.59	 	1	0.31	 	0	0	 	0	0	 	1	0.31	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	326	97.6	 	8	2.4	 	334	0.43
Baldivis		                                   	9	0.85	 	3	0.28	 	1	0.09	 	13	1.23	 	2	0.19	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.19	 	51	4.82	 	10	0.94	 	1	0.09	 	62	5.85	 	1	0.09	 	0	0	 	0	0	 	1	0.09	 	333	31.44	 	3	0.28	 	1	0.09	 	0	0	 	0	0	 	337	31.82	 	594	56.09	 	4	0.38	 	2	0.19	 	0	0	 	0	0	 	0	0	 	1	0.09	 	601	56.75	 	0	0	 	0	0	 	0	0	 	0	0	 	25	2.36	 	7	0.66	 	1	0.09	 	33	3.12	 	7	0.66	 	2	0.19	 	0	0	 	0	0	 	9	0.85	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.09	 	1	0.09	 	1059	98.15	 	20	1.85	 	1079	1.4
Barraghup		                                  	10	0.79	 	1	0.08	 	0	0	 	11	0.87	 	2	0.16	 	1	0.08	 	0	0	 	0	0	 	0	0	 	3	0.24	 	64	5.09	 	5	0.4	 	0	0	 	69	5.48	 	2	0.16	 	0	0	 	0	0	 	2	0.16	 	453	36.01	 	7	0.56	 	2	0.16	 	0	0	 	0	0	 	462	36.72	 	661	52.54	 	2	0.16	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.08	 	664	52.78	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	34	2.7	 	7	0.56	 	1	0.08	 	42	3.34	 	3	0.24	 	0	0	 	0	0	 	0	0	 	3	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.08	 	1	0.08	 	1258	98.2	 	23	1.8	 	1281	1.66
Benger		                                     	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.7	 	1	1.35	 	0	0	 	3	4.05	 	0	0	 	0	0	 	0	0	 	0	0	 	10	13.51	 	0	0	 	0	0	 	0	0	 	0	0	 	10	13.51	 	54	72.97	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	54	72.97	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.7	 	0	0	 	0	0	 	2	2.7	 	5	6.76	 	0	0	 	0	0	 	0	0	 	5	6.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	74	96.1	 	3	3.9	 	77	0.1
Binningup		                                  	5	1.2	 	3	0.72	 	0	0	 	8	1.92	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	19	4.57	 	6	1.44	 	0	0	 	25	6.01	 	0	0	 	0	0	 	0	0	 	0	0	 	147	35.34	 	2	0.48	 	1	0.24	 	0	0	 	0	0	 	150	36.06	 	201	48.32	 	5	1.2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	206	49.52	 	1	0.24	 	0	0	 	0	0	 	1	0.24	 	20	4.81	 	2	0.48	 	0	0	 	22	5.29	 	3	0.72	 	1	0.24	 	0	0	 	0	0	 	4	0.96	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	416	98.58	 	6	1.42	 	422	0.55
Brunswick		                                  	15	2.17	 	3	0.43	 	0	0	 	18	2.6	 	2	0.29	 	1	0.14	 	0	0	 	0	0	 	0	0	 	3	0.43	 	17	2.46	 	4	0.58	 	0	0	 	21	3.03	 	0	0	 	0	0	 	0	0	 	0	0	 	231	33.38	 	4	0.58	 	1	0.14	 	0	0	 	2	0.29	 	238	34.39	 	383	55.35	 	4	0.58	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	387	55.92	 	0	0	 	0	0	 	0	0	 	0	0	 	18	2.6	 	1	0.14	 	0	0	 	19	2.75	 	5	0.72	 	1	0.14	 	0	0	 	0	0	 	6	0.87	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	692	97.05	 	21	2.95	 	713	0.92
Calista		                                    	37	1.33	 	8	0.29	 	0	0	 	45	1.61	 	4	0.14	 	1	0.04	 	1	0.04	 	0	0	 	0	0	 	6	0.22	 	66	2.37	 	22	0.79	 	0	0	 	88	3.16	 	3	0.11	 	0	0	 	0	0	 	3	0.11	 	1656	59.4	 	33	1.18	 	2	0.07	 	1	0.04	 	3	0.11	 	1695	60.8	 	767	27.51	 	9	0.32	 	1	0.04	 	0	0	 	0	0	 	1	0.04	 	0	0	 	778	27.91	 	2	0.07	 	0	0	 	0	0	 	2	0.07	 	126	4.52	 	28	1	 	3	0.11	 	157	5.63	 	6	0.22	 	0	0	 	0	0	 	0	0	 	6	0.22	 	0	0	 	3	0.11	 	0	0	 	3	0.11	 	2	0.07	 	2	0.07	 	0	0	 	1	0.04	 	5	0.18	 	2788	98.31	 	48	1.69	 	2836	3.67
Carcoola		                                   	4	0.79	 	1	0.2	 	0	0	 	5	0.99	 	4	0.79	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.79	 	17	3.35	 	2	0.39	 	0	0	 	19	3.75	 	0	0	 	0	0	 	0	0	 	0	0	 	285	56.21	 	1	0.2	 	0	0	 	0	0	 	0	0	 	286	56.41	 	172	33.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	172	33.93	 	0	0	 	0	0	 	0	0	 	0	0	 	14	2.76	 	3	0.59	 	0	0	 	17	3.35	 	2	0.39	 	1	0.2	 	0	0	 	0	0	 	3	0.59	 	1	0.2	 	0	0	 	0	0	 	1	0.2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	507	97.88	 	11	2.12	 	518	0.67
Collie		                                     	4	0.42	 	1	0.11	 	0	0	 	5	0.53	 	2	0.21	 	1	0.11	 	0	0	 	1	0.11	 	0	0	 	4	0.42	 	10	1.05	 	4	0.42	 	0	0	 	14	1.47	 	3	0.32	 	1	0.11	 	0	0	 	4	0.42	 	619	65.09	 	5	0.53	 	0	0	 	0	0	 	2	0.21	 	626	65.83	 	200	21.03	 	2	0.21	 	1	0.11	 	0	0	 	0	0	 	0	0	 	0	0	 	203	21.35	 	0	0	 	0	0	 	0	0	 	0	0	 	31	3.26	 	5	0.53	 	0	0	 	36	3.79	 	55	5.78	 	1	0.11	 	0	0	 	0	0	 	56	5.89	 	1	0.11	 	1	0.11	 	0	0	 	2	0.21	 	1	0.11	 	0	0	 	0	0	 	0	0	 	1	0.11	 	951	98.04	 	19	1.96	 	970	1.26
Collie Central		                             	7	0.51	 	3	0.22	 	2	0.15	 	12	0.87	 	1	0.07	 	1	0.07	 	0	0	 	0	0	 	0	0	 	2	0.15	 	20	1.45	 	6	0.44	 	0	0	 	26	1.89	 	2	0.15	 	0	0	 	0	0	 	2	0.15	 	916	66.52	 	15	1.09	 	1	0.07	 	1	0.07	 	2	0.15	 	935	67.9	 	284	20.62	 	4	0.29	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	288	20.92	 	2	0.15	 	0	0	 	0	0	 	2	0.15	 	29	2.11	 	7	0.51	 	0	0	 	36	2.61	 	68	4.94	 	3	0.22	 	0	0	 	0	0	 	71	5.16	 	3	0.22	 	0	0	 	0	0	 	3	0.22	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1377	97.25	 	39	2.75	 	1416	1.83
Collie District Hospital		                   	3	0.42	 	1	0.14	 	0	0	 	4	0.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.71	 	1	0.14	 	0	0	 	6	0.85	 	1	0.14	 	0	0	 	0	0	 	1	0.14	 	469	66.15	 	4	0.56	 	0	0	 	0	0	 	0	0	 	473	66.71	 	154	21.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	154	21.72	 	0	0	 	0	0	 	0	0	 	0	0	 	24	3.39	 	0	0	 	0	0	 	24	3.39	 	44	6.21	 	1	0.14	 	0	0	 	0	0	 	45	6.35	 	2	0.28	 	0	0	 	0	0	 	2	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	709	96.07	 	29	3.93	 	738	0.96
