Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Adelaide)		                        	3	0.49	 	36	5.87	 	2	0.33	 	4	0.65	 	250	40.78	 	3	0.49	 	101	16.48	 	11	1.79	 	2	0.33	 	5	0.82	 	4	0.65	 	190	31	 	2	0.33	 	613	98.24	 	11	1.76	 	624	0.77
Adelaide East		                              	4	0.73	 	15	2.74	 	4	0.73	 	4	0.73	 	191	34.92	 	0	0	 	65	11.88	 	8	1.46	 	4	0.73	 	3	0.55	 	1	0.18	 	247	45.16	 	1	0.18	 	547	97.33	 	15	2.67	 	562	0.7
Adelaide Hospital		                          	0	0	 	8	3.51	 	1	0.44	 	2	0.88	 	99	43.42	 	1	0.44	 	27	11.84	 	2	0.88	 	1	0.44	 	2	0.88	 	0	0	 	85	37.28	 	0	0	 	228	98.28	 	4	1.72	 	232	0.29
Adelaide South		                             	2	0.17	 	31	2.59	 	3	0.25	 	4	0.33	 	465	38.81	 	4	0.33	 	140	11.69	 	13	1.09	 	4	0.33	 	7	0.58	 	4	0.33	 	520	43.41	 	1	0.08	 	1198	97.8	 	27	2.2	 	1225	1.52
Adelaide West		                              	13	1.6	 	28	3.46	 	4	0.49	 	4	0.49	 	378	46.67	 	4	0.49	 	95	11.73	 	12	1.48	 	1	0.12	 	1	0.12	 	4	0.49	 	265	32.72	 	1	0.12	 	810	96.2	 	32	3.8	 	842	1.05
Black Forest		                               	3	0.35	 	18	2.09	 	1	0.12	 	8	0.93	 	307	35.66	 	1	0.12	 	105	12.2	 	8	0.93	 	8	0.93	 	6	0.7	 	2	0.23	 	394	45.76	 	0	0	 	861	97.95	 	18	2.05	 	879	1.09
Blair Athol Central		                        	5	0.33	 	23	1.54	 	6	0.4	 	17	1.13	 	654	43.66	 	6	0.4	 	140	9.35	 	14	0.93	 	6	0.4	 	7	0.47	 	9	0.6	 	611	40.79	 	0	0	 	1498	96.09	 	61	3.91	 	1559	1.94
Blair Athol North		                          	16	1.05	 	16	1.05	 	5	0.33	 	11	0.72	 	840	55.08	 	7	0.46	 	173	11.34	 	15	0.98	 	11	0.72	 	15	0.98	 	9	0.59	 	406	26.62	 	1	0.07	 	1525	95.85	 	66	4.15	 	1591	1.98
Broadview		                                  	5	0.35	 	24	1.67	 	2	0.14	 	8	0.56	 	492	34.14	 	4	0.28	 	153	10.62	 	16	1.11	 	5	0.35	 	4	0.28	 	3	0.21	 	724	50.24	 	1	0.07	 	1441	99.11	 	13	0.89	 	1454	1.81
