Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alanvale		                                   	348	10.62	 	1716	52.38	 	16	0.49	 	106	3.24	 	18	0.55	 	7	0.21	 	39	1.19	 	1024	31.26	 	2	0.06	 	3276	96.61	 	115	3.39	 	3391	5.33
Blessington Upper		                          	14	13.73	 	35	34.31	 	0	0	 	4	3.92	 	0	0	 	0	0	 	1	0.98	 	48	47.06	 	0	0	 	102	96.23	 	4	3.77	 	106	0.17
Branxholm		                                  	29	11.28	 	107	41.63	 	3	1.17	 	13	5.06	 	1	0.39	 	1	0.39	 	0	0	 	103	40.08	 	0	0	 	257	97.35	 	7	2.65	 	264	0.41
Bridport		                                   	95	9.12	 	352	33.78	 	13	1.25	 	61	5.85	 	8	0.77	 	0	0	 	11	1.06	 	502	48.18	 	0	0	 	1042	96.93	 	33	3.07	 	1075	1.69
Cape Barren Island		                         	3	11.54	 	10	38.46	 	1	3.85	 	0	0	 	0	0	 	0	0	 	0	0	 	12	46.15	 	0	0	 	26	86.67	 	4	13.33	 	30	0.05
Cosgrove Park		                              	49	11.98	 	168	41.08	 	5	1.22	 	18	4.4	 	1	0.24	 	0	0	 	4	0.98	 	164	40.1	 	0	0	 	409	96.01	 	17	3.99	 	426	0.67
Derby		                                      	9	5.39	 	70	41.92	 	3	1.8	 	13	7.78	 	0	0	 	1	0.6	 	1	0.6	 	69	41.32	 	1	0.6	 	167	97.09	 	5	2.91	 	172	0.27
Dilston		                                    	51	8.9	 	178	31.06	 	11	1.92	 	52	9.08	 	0	0	 	1	0.17	 	12	2.09	 	268	46.77	 	0	0	 	573	98.45	 	9	1.55	 	582	0.91
Elphin		                                     	70	8.85	 	323	40.83	 	7	0.88	 	52	6.57	 	5	0.63	 	4	0.51	 	14	1.77	 	316	39.95	 	0	0	 	791	96.82	 	26	3.18	 	817	1.28
Emita		                                      	7	8.64	 	14	17.28	 	0	0	 	5	6.17	 	0	0	 	0	0	 	0	0	 	55	67.9	 	0	0	 	81	95.29	 	4	4.71	 	85	0.13
Franklin Village		                           	24	15.38	 	55	35.26	 	3	1.92	 	11	7.05	 	0	0	 	0	0	 	2	1.28	 	61	39.1	 	0	0	 	156	94.55	 	9	5.45	 	165	0.26
