Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater		                                  	21	0.96	 	47	2.16	 	13	0.6	 	7	0.32	 	26	1.19	 	29	1.33	 	868	39.82	 	2	0.09	 	1060	48.62	 	76	3.49	 	1	0.05	 	25	1.15	 	5	0.23	 	2180	97.36	 	59	2.64	 	2239	2.91
Bayswater East		                             	3	0.34	 	6	0.69	 	9	1.03	 	1	0.11	 	43	4.93	 	12	1.38	 	406	46.56	 	0	0	 	330	37.84	 	53	6.08	 	0	0	 	9	1.03	 	0	0	 	872	98.09	 	17	1.91	 	889	1.16
Bayswater South		                            	5	0.31	 	6	0.38	 	9	0.56	 	8	0.5	 	27	1.69	 	4	0.25	 	730	45.8	 	1	0.06	 	707	44.35	 	77	4.83	 	0	0	 	17	1.07	 	3	0.19	 	1594	97.37	 	43	2.63	 	1637	2.13
Bayswater West		                             	9	0.4	 	25	1.12	 	15	0.67	 	3	0.13	 	27	1.21	 	30	1.34	 	1027	45.87	 	4	0.18	 	997	44.53	 	78	3.48	 	0	0	 	22	0.98	 	2	0.09	 	2239	98.2	 	41	1.8	 	2280	2.96
Blackwood Park		                             	7	0.49	 	6	0.42	 	12	0.84	 	4	0.28	 	10	0.7	 	18	1.26	 	619	43.35	 	1	0.07	 	670	46.92	 	61	4.27	 	0	0	 	17	1.19	 	3	0.21	 	1428	97.21	 	41	2.79	 	1469	1.91
Boronia		                                    	15	0.71	 	20	0.95	 	21	0.99	 	12	0.57	 	27	1.28	 	26	1.23	 	860	40.7	 	2	0.09	 	967	45.76	 	136	6.44	 	0	0	 	23	1.09	 	4	0.19	 	2113	97.55	 	53	2.45	 	2166	2.82
Charlesworth Park		                          	3	0.1	 	12	0.4	 	19	0.63	 	5	0.17	 	35	1.16	 	23	0.76	 	1715	56.88	 	4	0.13	 	1055	34.99	 	116	3.85	 	0	0	 	22	0.73	 	6	0.2	 	3015	97.04	 	92	2.96	 	3107	4.04
Eastmont		                                   	4	0.23	 	10	0.58	 	14	0.81	 	7	0.4	 	9	0.52	 	23	1.32	 	889	51.18	 	2	0.12	 	674	38.8	 	84	4.84	 	0	0	 	17	0.98	 	4	0.23	 	1737	97.91	 	37	2.09	 	1774	2.31
Fairhills		                                  	11	0.47	 	59	2.52	 	17	0.73	 	4	0.17	 	18	0.77	 	37	1.58	 	877	37.41	 	3	0.13	 	1190	50.77	 	96	4.1	 	0	0	 	27	1.15	 	5	0.21	 	2344	96.86	 	76	3.14	 	2420	3.15
Ferntree Gully West		                        	13	0.56	 	38	1.63	 	21	0.9	 	11	0.47	 	22	0.95	 	32	1.38	 	997	42.84	 	0	0	 	1063	45.68	 	99	4.25	 	0	0	 	29	1.25	 	2	0.09	 	2327	97.53	 	59	2.47	 	2386	3.1
Flamingo		                                   	7	0.44	 	7	0.44	 	5	0.32	 	0	0	 	34	2.15	 	18	1.14	 	893	56.38	 	1	0.06	 	557	35.16	 	53	3.35	 	0	0	 	7	0.44	 	2	0.13	 	1584	97.54	 	40	2.46	 	1624	2.11
Heathmont High		                             	3	0.16	 	18	0.98	 	8	0.43	 	8	0.43	 	27	1.46	 	19	1.03	 	960	52.06	 	4	0.22	 	666	36.12	 	104	5.64	 	0	0	 	27	1.46	 	0	0	 	1844	98.5	 	28	1.5	 	1872	2.43
Knoxfield		                                  	11	0.31	 	43	1.23	 	16	0.46	 	6	0.17	 	52	1.48	 	43	1.23	 	1453	41.48	 	2	0.06	 	1682	48.02	 	157	4.48	 	0	0	 	36	1.03	 	2	0.06	 	3503	97.88	 	76	2.12	 	3579	4.65
Knoxfield North		                            	5	0.51	 	6	0.62	 	2	0.21	 	7	0.72	 	8	0.82	 	9	0.93	 	458	47.17	 	0	0	 	416	42.84	 	45	4.63	 	0	0	 	12	1.24	 	3	0.31	 	971	98.88	 	11	1.12	 	982	1.28
Knox Gardens		                               	19	0.62	 	12	0.39	 	13	0.43	 	3	0.1	 	32	1.05	 	33	1.08	 	1570	51.61	 	3	0.1	 	1243	40.86	 	91	2.99	 	1	0.03	 	20	0.66	 	2	0.07	 	3042	97.72	 	71	2.28	 	3113	4.05
Lysterfield		                                	0	0	 	0	0	 	3	0.61	 	0	0	 	3	0.61	 	3	0.61	 	283	57.87	 	1	0.2	 	163	33.33	 	27	5.52	 	0	0	 	4	0.82	 	2	0.41	 	489	96.83	 	16	3.17	 	505	0.66
Morack		                                     	7	0.27	 	6	0.23	 	22	0.84	 	14	0.54	 	27	1.04	 	14	0.54	 	1442	55.29	 	0	0	 	924	35.43	 	120	4.6	 	0	0	 	24	0.92	 	8	0.31	 	2608	98.23	 	47	1.77	 	2655	3.45
Mountain Gate		                              	19	0.48	 	63	1.59	 	13	0.33	 	12	0.3	 	39	0.98	 	44	1.11	 	1656	41.72	 	8	0.2	 	1905	48	 	177	4.46	 	0	0	 	26	0.66	 	7	0.18	 	3969	97.88	 	86	2.12	 	4055	5.27
Park Ridge		                                 	2	0.08	 	12	0.5	 	15	0.63	 	9	0.38	 	29	1.21	 	19	0.79	 	1057	44.04	 	3	0.13	 	1139	47.46	 	86	3.58	 	0	0	 	18	0.75	 	11	0.46	 	2400	98.08	 	47	1.92	 	2447	3.18
Rowville		                                   	14	0.31	 	50	1.12	 	39	0.88	 	13	0.29	 	48	1.08	 	38	0.85	 	2246	50.45	 	3	0.07	 	1835	41.22	 	132	2.96	 	0	0	 	24	0.54	 	10	0.22	 	4452	97.65	 	107	2.35	 	4559	5.93
Rowville East		                              	11	0.39	 	40	1.42	 	18	0.64	 	10	0.35	 	17	0.6	 	30	1.06	 	1271	45.05	 	2	0.07	 	1361	48.25	 	47	1.67	 	0	0	 	13	0.46	 	1	0.04	 	2821	97.65	 	68	2.35	 	2889	3.76
Scoresby		                                   	9	0.42	 	15	0.71	 	15	0.71	 	10	0.47	 	24	1.13	 	37	1.74	 	939	44.25	 	4	0.19	 	948	44.67	 	108	5.09	 	0	0	 	12	0.57	 	1	0.05	 	2122	97.7	 	50	2.3	 	2172	2.82
Scoresby East		                              	3	0.34	 	6	0.68	 	11	1.25	 	6	0.68	 	5	0.57	 	17	1.93	 	379	43.12	 	0	0	 	406	46.19	 	34	3.87	 	0	0	 	7	0.8	 	5	0.57	 	879	98.32	 	15	1.68	 	894	1.16
Studfield		                                  	7	0.3	 	7	0.3	 	23	1	 	7	0.3	 	22	0.95	 	29	1.26	 	1130	48.98	 	2	0.09	 	977	42.35	 	80	3.47	 	0	0	 	23	1	 	0	0	 	2307	97.88	 	50	2.12	 	2357	3.06
Studfield East		                             	4	0.28	 	3	0.21	 	13	0.93	 	5	0.36	 	15	1.07	 	13	0.93	 	587	41.81	 	2	0.14	 	671	47.79	 	72	5.13	 	0	0	 	15	1.07	 	4	0.28	 	1404	97.43	 	37	2.57	 	1441	1.87
Templeton		                                  	8	0.35	 	3	0.13	 	10	0.44	 	5	0.22	 	11	0.49	 	25	1.1	 	1148	50.71	 	2	0.09	 	920	40.64	 	98	4.33	 	0	0	 	23	1.02	 	11	0.49	 	2264	98.09	 	44	1.91	 	2308	3
Wantirna		                                   	12	0.58	 	11	0.53	 	17	0.82	 	3	0.14	 	31	1.49	 	34	1.63	 	1036	49.71	 	3	0.14	 	833	39.97	 	82	3.93	 	0	0	 	14	0.67	 	8	0.38	 	2084	97.43	 	55	2.57	 	2139	2.78
Wantirna Heights		                           	3	0.22	 	4	0.3	 	12	0.89	 	3	0.22	 	13	0.96	 	15	1.11	 	659	48.85	 	1	0.07	 	571	42.33	 	55	4.08	 	0	0	 	8	0.59	 	5	0.37	 	1349	97.12	 	40	2.88	 	1389	1.81
Wantirna High		                              	11	0.54	 	4	0.2	 	14	0.69	 	4	0.2	 	23	1.13	 	19	0.93	 	1124	55.02	 	4	0.2	 	747	36.56	 	70	3.43	 	1	0.05	 	15	0.73	 	7	0.34	 	2043	98.51	 	31	1.49	 	2074	2.7
Wantirna South		                             	8	0.43	 	6	0.32	 	7	0.38	 	4	0.22	 	15	0.81	 	26	1.41	 	947	51.27	 	3	0.16	 	751	40.66	 	63	3.41	 	0	0	 	12	0.65	 	5	0.27	 	1847	98.04	 	37	1.96	 	1884	2.45
Weeden Heights		                             	6	0.23	 	44	1.72	 	12	0.47	 	6	0.23	 	31	1.21	 	29	1.13	 	1432	55.89	 	4	0.16	 	875	34.15	 	96	3.75	 	0	0	 	19	0.74	 	8	0.31	 	2562	97.75	 	59	2.25	 	2621	3.41
Special Hospitals		                          	4	1.59	 	1	0.4	 	0	0	 	0	0	 	7	2.79	 	3	1.2	 	157	62.55	 	0	0	 	74	29.48	 	5	1.99	 	0	0	 	0	0	 	0	0	 	251	96.17	 	10	3.83	 	261	0.34
Total Ordinary		                             	264	0.4	 	590	0.89	 	438	0.66	 	197	0.3	 	757	1.14	 	751	1.13	 	31815	47.74	 	71	0.11	 	28377	42.58	 	2678	4.02	 	3	0	 	567	0.85	 	136	0.2	 	66644	97.74	 	1543	2.26	 	68187	88.64
ABSENT		                                     	19	0.47	 	35	0.86	 	39	0.96	 	22	0.54	 	43	1.06	 	74	1.83	 	1832	45.19	 	10	0.25	 	1697	41.86	 	197	4.86	 	1	0.02	 	78	1.92	 	7	0.17	 	4054	98.25	 	72	1.75	 	4126	5.36
POSTAL		                                     	31	1.37	 	13	0.58	 	24	1.06	 	4	0.18	 	26	1.15	 	32	1.42	 	1266	56.07	 	4	0.18	 	735	32.55	 	95	4.21	 	0	0	 	26	1.15	 	2	0.09	 	2258	98.86	 	26	1.14	 	2284	2.97
PRE_POLL		                                   	18	0.88	 	3	0.15	 	21	1.02	 	5	0.24	 	23	1.12	 	34	1.65	 	1058	51.43	 	1	0.05	 	767	37.29	 	86	4.18	 	0	0	 	40	1.94	 	1	0.05	 	2057	98.19	 	38	1.81	 	2095	2.72
PROVISIONAL		                                	1	0.44	 	2	0.89	 	0	0	 	0	0	 	0	0	 	6	2.67	 	97	43.11	 	0	0	 	108	48	 	7	3.11	 	0	0	 	4	1.78	 	0	0	 	225	97.4	 	6	2.6	 	231	0.3
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	-2		       	0		       	-1		       	0		       	-1		       	0		       	-1		       	-5		       	5		       	0	
Division Summary		                           	333	0.44	 	643	0.85	 	522	0.69	 	228	0.3	 	849	1.13	 	897	1.19	 	36066	47.94	 	86	0.11	 	31683	42.11	 	3063	4.07	 	3	0	 	715	0.95	 	145	0.19	 	75233	97.8	 	1690	2.2	 	76923	97.18
 																																																	


Ballarat (74285)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alfredton		                                  	4	0.92	 	1	0.23	 	6	1.38	 	0	0	 	4	0.92	 	4	0.92	 	238	54.84	 	0	0	 	163	37.56	 	10	2.3	 	0	0	 	3	0.69	 	1	0.23	 	434	96.44	 	16	3.56	 	450	0.62
Alfredton West		                             	7	0.43	 	8	0.49	 	3	0.18	 	1	0.06	 	21	1.28	 	12	0.73	 	1059	64.53	 	1	0.06	 	474	28.88	 	39	2.38	 	0	0	 	13	0.79	 	3	0.18	 	1641	98.2	 	30	1.8	 	1671	2.31
Amphitheatre		                               	2	0.97	 	1	0.49	 	0	0	 	0	0	 	1	0.49	 	3	1.46	 	142	68.93	 	0	0	 	48	23.3	 	8	3.88	 	0	0	 	1	0.49	 	0	0	 	206	98.56	 	3	1.44	 	209	0.29
Ascot		                                      	0	0	 	0	0	 	0	0	 	0	0	 	1	0.74	 	2	1.47	 	120	88.24	 	0	0	 	11	8.09	 	1	0.74	 	0	0	 	0	0	 	1	0.74	 	136	98.55	 	2	1.45	 	138	0.19
Avoca		                                      	6	0.71	 	5	0.59	 	2	0.24	 	0	0	 	19	2.24	 	12	1.42	 	465	54.83	 	2	0.24	 	314	37.03	 	17	2	 	0	0	 	5	0.59	 	1	0.12	 	848	96.69	 	29	3.31	 	877	1.21
Bakery Hill		                                	10	1.23	 	7	0.86	 	6	0.74	 	2	0.25	 	18	2.21	 	10	1.23	 	310	37.99	 	1	0.12	 	412	50.49	 	30	3.68	 	0	0	 	8	0.98	 	2	0.25	 	816	96	 	34	4	 	850	1.18
Bald Hills		                                 	2	1.28	 	1	0.64	 	1	0.64	 	1	0.64	 	1	0.64	 	0	0	 	93	59.62	 	0	0	 	51	32.69	 	2	1.28	 	0	0	 	3	1.92	 	1	0.64	 	156	98.73	 	2	1.27	 	158	0.22
Ballan		                                     	3	0.22	 	17	1.22	 	6	0.43	 	3	0.22	 	11	0.79	 	24	1.72	 	639	45.81	 	1	0.07	 	628	45.02	 	45	3.23	 	0	0	 	12	0.86	 	6	0.43	 	1395	97.62	 	34	2.38	 	1429	1.98
Ballarat		                                   	4	0.71	 	5	0.88	 	2	0.35	 	2	0.35	 	11	1.95	 	3	0.53	 	268	47.43	 	0	0	 	240	42.48	 	18	3.19	 	0	0	 	10	1.77	 	2	0.35	 	565	96.91	 	18	3.09	 	583	0.81
Ballarat Base Hospital		                     	1	0.31	 	3	0.93	 	1	0.31	 	1	0.31	 	7	2.16	 	5	1.54	 	145	44.75	 	1	0.31	 	145	44.75	 	14	4.32	 	0	0	 	1	0.31	 	0	0	 	324	98.78	 	4	1.22	 	328	0.45
Ballarat City		                              	5	0.73	 	4	0.59	 	2	0.29	 	0	0	 	9	1.32	 	3	0.44	 	479	70.34	 	0	0	 	156	22.91	 	19	2.79	 	0	0	 	4	0.59	 	0	0	 	681	97.42	 	18	2.58	 	699	0.97
Ballarat North		                             	19	0.6	 	36	1.14	 	17	0.54	 	4	0.13	 	28	0.89	 	23	0.73	 	1595	50.54	 	4	0.13	 	1323	41.92	 	79	2.5	 	0	0	 	25	0.79	 	3	0.1	 	3156	97.68	 	75	2.32	 	3231	4.47
Ballarat North West		                        	6	0.45	 	12	0.9	 	5	0.37	 	4	0.3	 	24	1.79	 	16	1.2	 	737	55.08	 	1	0.07	 	488	36.47	 	35	2.62	 	0	0	 	10	0.75	 	0	0	 	1338	97.1	 	40	2.9	 	1378	1.91
Ballarat St John of God Hospital		           	2	0.73	 	1	0.37	 	0	0	 	0	0	 	0	0	 	3	1.1	 	137	50.18	 	0	0	 	112	41.03	 	16	5.86	 	0	0	 	2	0.73	 	0	0	 	273	97.5	 	7	2.5	 	280	0.39
Ballarat South		                             	11	0.99	 	5	0.45	 	7	0.63	 	2	0.18	 	9	0.81	 	21	1.89	 	435	39.19	 	2	0.18	 	569	51.26	 	37	3.33	 	0	0	 	12	1.08	 	0	0	 	1110	97.03	 	34	2.97	 	1144	1.58
Ballarat South West		                        	11	0.61	 	15	0.83	 	8	0.44	 	2	0.11	 	21	1.16	 	22	1.22	 	857	47.35	 	1	0.06	 	779	43.04	 	64	3.54	 	0	0	 	27	1.49	 	3	0.17	 	1810	96.79	 	60	3.21	 	1870	2.59
Ballarat West		                              	8	1.57	 	6	1.18	 	1	0.2	 	2	0.39	 	6	1.18	 	7	1.38	 	223	43.81	 	0	0	 	222	43.61	 	14	2.75	 	0	0	 	17	3.34	 	3	0.59	 	509	97.32	 	14	2.68	 	523	0.72
Black Hill		                                 	12	0.79	 	25	1.65	 	6	0.39	 	9	0.59	 	14	0.92	 	26	1.71	 	705	46.41	 	3	0.2	 	655	43.12	 	45	2.96	 	0	0	 	15	0.99	 	4	0.26	 	1519	97.25	 	43	2.75	 	1562	2.16
Blackwood		                                  	1	0.41	 	4	1.63	 	2	0.81	 	0	0	 	1	0.41	 	2	0.81	 	81	32.93	 	0	0	 	135	54.88	 	11	4.47	 	0	0	 	9	3.66	 	0	0	 	246	96.85	 	8	3.15	 	254	0.35
Brown Hill		                                 	7	0.6	 	5	0.43	 	3	0.26	 	1	0.09	 	17	1.46	 	16	1.37	 	472	40.55	 	2	0.17	 	584	50.17	 	46	3.95	 	0	0	 	11	0.95	 	0	0	 	1164	97.82	 	26	2.18	 	1190	1.65
Bungaree		                                   	1	0.4	 	0	0	 	1	0.4	 	0	0	 	2	0.79	 	2	0.79	 	174	69.05	 	1	0.4	 	59	23.41	 	9	3.57	 	0	0	 	2	0.79	 	1	0.4	 	252	95.82	 	11	4.18	 	263	0.36
Buninyong		                                  	20	0.94	 	15	0.71	 	10	0.47	 	7	0.33	 	30	1.41	 	22	1.04	 	1012	47.65	 	2	0.09	 	860	40.49	 	107	5.04	 	0	0	 	35	1.65	 	4	0.19	 	2124	97.79	 	48	2.21	 	2172	3
Burrumbeet		                                 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.53	 	2	1.06	 	143	75.66	 	1	0.53	 	39	20.63	 	1	0.53	 	0	0	 	2	1.06	 	0	0	 	189	97.42	 	5	2.58	 	194	0.27
Callawadda		                                 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	75	93.75	 	0	0	 	3	3.75	 	2	2.5	 	0	0	 	0	0	 	0	0	 	80	100	 	0	0	 	80	0.11
Canadian		                                   	8	0.7	 	3	0.26	 	5	0.44	 	4	0.35	 	7	0.61	 	22	1.92	 	415	36.15	 	3	0.26	 	647	56.36	 	23	2	 	0	0	 	8	0.7	 	3	0.26	 	1148	97.04	 	35	2.96	 	1183	1.64
Clarendon		                                  	2	1.4	 	1	0.7	 	0	0	 	0	0	 	1	0.7	 	3	2.1	 	90	62.94	 	1	0.7	 	39	27.27	 	4	2.8	 	0	0	 	2	1.4	 	0	0	 	143	98.62	 	2	1.38	 	145	0.2
Clarkes Hill		                               	0	0	 	0	0	 	1	0.68	 	0	0	 	1	0.68	 	0	0	 	117	79.59	 	0	0	 	26	17.69	 	1	0.68	 	0	0	 	0	0	 	1	0.68	 	147	96.71	 	5	3.29	 	152	0.21
Concongella		                                	0	0	 	1	0.34	 	1	0.34	 	0	0	 	1	0.34	 	1	0.34	 	190	65.52	 	0	0	 	89	30.69	 	6	2.07	 	0	0	 	1	0.34	 	0	0	 	290	98.31	 	5	1.69	 	295	0.41
Creswick		                                   	7	0.43	 	21	1.29	 	7	0.43	 	4	0.25	 	39	2.4	 	17	1.05	 	690	42.44	 	5	0.31	 	761	46.8	 	46	2.83	 	1	0.06	 	22	1.35	 	6	0.37	 	1626	98.25	 	29	1.75	 	1655	2.29
Creswick North		                             	0	0	 	4	1.12	 	0	0	 	1	0.28	 	9	2.52	 	7	1.96	 	151	42.3	 	0	0	 	170	47.62	 	8	2.24	 	0	0	 	2	0.56	 	5	1.4	 	357	97.81	 	8	2.19	 	365	0.5
Dean		                                       	0	0	 	1	0.89	 	0	0	 	1	0.89	 	0	0	 	1	0.89	 	92	82.14	 	0	0	 	12	10.71	 	4	3.57	 	0	0	 	1	0.89	 	0	0	 	112	97.39	 	3	2.61	 	115	0.16
Delacombe		                                  	7	0.5	 	3	0.22	 	7	0.5	 	2	0.14	 	19	1.37	 	22	1.59	 	667	48.05	 	2	0.14	 	620	44.67	 	33	2.38	 	0	0	 	6	0.43	 	0	0	 	1388	97.68	 	33	2.32	 	1421	1.97
