Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allanson		                                   	6	1.84	 	2	0.61	 	10	3.07	 	0	0	 	172	52.76	 	90	27.61	 	0	0	 	17	5.21	 	28	8.59	 	1	0.31	 	0	0	 	326	97.6	 	8	2.4	 	334	0.43
Baldivis		                                   	13	1.23	 	2	0.19	 	62	5.85	 	1	0.09	 	337	31.82	 	601	56.75	 	0	0	 	33	3.12	 	9	0.85	 	0	0	 	1	0.09	 	1059	98.15	 	20	1.85	 	1079	1.4
Barraghup		                                  	11	0.87	 	3	0.24	 	69	5.48	 	2	0.16	 	462	36.72	 	664	52.78	 	1	0.08	 	42	3.34	 	3	0.24	 	0	0	 	1	0.08	 	1258	98.2	 	23	1.8	 	1281	1.66
Benger		                                     	0	0	 	0	0	 	3	4.05	 	0	0	 	10	13.51	 	54	72.97	 	0	0	 	2	2.7	 	5	6.76	 	0	0	 	0	0	 	74	96.1	 	3	3.9	 	77	0.1
Binningup		                                  	8	1.92	 	0	0	 	25	6.01	 	0	0	 	150	36.06	 	206	49.52	 	1	0.24	 	22	5.29	 	4	0.96	 	0	0	 	0	0	 	416	98.58	 	6	1.42	 	422	0.55
Brunswick		                                  	18	2.6	 	3	0.43	 	21	3.03	 	0	0	 	238	34.39	 	387	55.92	 	0	0	 	19	2.75	 	6	0.87	 	0	0	 	0	0	 	692	97.05	 	21	2.95	 	713	0.92
Calista		                                    	45	1.61	 	6	0.22	 	88	3.16	 	3	0.11	 	1695	60.8	 	778	27.91	 	2	0.07	 	157	5.63	 	6	0.22	 	3	0.11	 	5	0.18	 	2788	98.31	 	48	1.69	 	2836	3.67
Carcoola		                                   	5	0.99	 	4	0.79	 	19	3.75	 	0	0	 	286	56.41	 	172	33.93	 	0	0	 	17	3.35	 	3	0.59	 	1	0.2	 	0	0	 	507	97.88	 	11	2.12	 	518	0.67
Collie		                                     	5	0.53	 	4	0.42	 	14	1.47	 	4	0.42	 	626	65.83	 	203	21.35	 	0	0	 	36	3.79	 	56	5.89	 	2	0.21	 	1	0.11	 	951	98.04	 	19	1.96	 	970	1.26
Collie Central		                             	12	0.87	 	2	0.15	 	26	1.89	 	2	0.15	 	935	67.9	 	288	20.92	 	2	0.15	 	36	2.61	 	71	5.16	 	3	0.22	 	0	0	 	1377	97.25	 	39	2.75	 	1416	1.83
Collie District Hospital		                   	4	0.56	 	0	0	 	6	0.85	 	1	0.14	 	473	66.71	 	154	21.72	 	0	0	 	24	3.39	 	45	6.35	 	2	0.28	 	0	0	 	709	96.07	 	29	3.93	 	738	0.96
Collie North		                               	9	0.93	 	0	0	 	12	1.24	 	1	0.1	 	665	68.84	 	206	21.33	 	0	0	 	30	3.11	 	43	4.45	 	0	0	 	0	0	 	966	97.97	 	20	2.03	 	986	1.28
Coodanup		                                   	13	0.78	 	0	0	 	91	5.47	 	1	0.06	 	864	51.95	 	637	38.3	 	1	0.06	 	44	2.65	 	10	0.6	 	1	0.06	 	1	0.06	 	1663	98.05	 	33	1.95	 	1696	2.2
Cooloongup		                                 	57	1.8	 	11	0.35	 	110	3.48	 	5	0.16	 	1872	59.26	 	968	30.64	 	3	0.09	 	104	3.29	 	25	0.79	 	3	0.09	 	1	0.03	 	3159	97.71	 	74	2.29	 	3233	4.19
Coolup		                                     	3	1.12	 	0	0	 	16	5.97	 	0	0	 	69	25.75	 	164	61.19	 	1	0.37	 	7	2.61	 	7	2.61	 	1	0.37	 	0	0	 	268	97.81	 	6	2.19	 	274	0.35
Dawesville		                                 	2	0.33	 	0	0	 	37	6.08	 	0	0	 	179	29.39	 	373	61.25	 	0	0	 	14	2.3	 	3	0.49	 	1	0.16	 	0	0	 	609	99.35	 	4	0.65	 	613	0.79
Dwellingup		                                 	5	1.23	 	1	0.25	 	33	8.13	 	0	0	 	160	39.41	 	181	44.58	 	1	0.25	 	20	4.93	 	5	1.23	 	0	0	 	0	0	 	406	97.36	 	11	2.64	 	417	0.54
Ewington		                                   	4	1.37	 	0	0	 	11	3.78	 	0	0	 	194	66.67	 	52	17.87	 	0	0	 	8	2.75	 	21	7.22	 	1	0.34	 	0	0	 	291	97.32	 	8	2.68	 	299	0.39
Falcon		                                     	12	0.56	 	1	0.05	 	111	5.18	 	2	0.09	 	795	37.13	 	1129	52.73	 	0	0	 	74	3.46	 	14	0.65	 	1	0.05	 	2	0.09	 	2141	98.89	 	24	1.11	 	2165	2.8
Greenfields		                                	13	0.88	 	3	0.2	 	53	3.57	 	1	0.07	 	755	50.84	 	607	40.88	 	0	0	 	47	3.16	 	5	0.34	 	0	0	 	1	0.07	 	1485	98.74	 	19	1.26	 	1504	1.95
Hamel		                                      	1	1.06	 	0	0	 	2	2.13	 	0	0	 	36	38.3	 	51	54.26	 	0	0	 	0	0	 	4	4.26	 	0	0	 	0	0	 	94	98.95	 	1	1.05	 	95	0.12
Harvey		                                     	39	2.03	 	3	0.16	 	77	4	 	0	0	 	753	39.12	 	983	51.06	 	1	0.05	 	51	2.65	 	15	0.78	 	3	0.16	 	0	0	 	1925	97.12	 	57	2.88	 	1982	2.57
Hillman		                                    	42	2.06	 	8	0.39	 	92	4.52	 	2	0.1	 	1137	55.9	 	673	33.09	 	3	0.15	 	68	3.34	 	8	0.39	 	1	0.05	 	0	0	 	2034	97.6	 	50	2.4	 	2084	2.7
Lake Clifton		                               	0	0	 	1	0.67	 	12	8	 	0	0	 	48	32	 	78	52	 	1	0.67	 	7	4.67	 	3	2	 	0	0	 	0	0	 	150	98.04	 	3	1.96	 	153	0.2
Leda		                                       	14	2.53	 	0	0	 	20	3.61	 	3	0.54	 	344	62.09	 	143	25.81	 	0	0	 	27	4.87	 	2	0.36	 	0	0	 	1	0.18	 	554	98.75	 	7	1.25	 	561	0.73
Madora		                                     	5	1.42	 	0	0	 	18	5.11	 	1	0.28	 	124	35.23	 	183	51.99	 	0	0	 	20	5.68	 	0	0	 	0	0	 	1	0.28	 	352	99.15	 	3	0.85	 	355	0.46
Mandurah		                                   	18	0.96	 	4	0.21	 	83	4.43	 	3	0.16	 	752	40.13	 	958	51.12	 	0	0	 	42	2.24	 	12	0.64	 	0	0	 	2	0.11	 	1874	98.42	 	30	1.58	 	1904	2.47
Mandurah Central		                           	27	1.4	 	2	0.1	 	91	4.73	 	2	0.1	 	803	41.74	 	935	48.6	 	1	0.05	 	44	2.29	 	19	0.99	 	0	0	 	0	0	 	1924	97.71	 	45	2.29	 	1969	2.55
Mandurah East		                              	9	0.58	 	2	0.13	 	72	4.67	 	1	0.06	 	678	44	 	710	46.07	 	0	0	 	52	3.37	 	14	0.91	 	3	0.19	 	0	0	 	1541	98.03	 	31	1.97	 	1572	2.04
Mandurah South		                             	22	1	 	7	0.32	 	67	3.05	 	2	0.09	 	822	37.45	 	1205	54.9	 	1	0.05	 	53	2.41	 	14	0.64	 	2	0.09	 	0	0	 	2195	98.52	 	33	1.48	 	2228	2.88
Mandurah West		                              	27	0.86	 	6	0.19	 	122	3.87	 	0	0	 	1027	32.55	 	1873	59.37	 	0	0	 	78	2.47	 	18	0.57	 	2	0.06	 	2	0.06	 	3155	98.84	 	37	1.16	 	3192	4.13
Meadow Springs		                             	14	1.26	 	1	0.09	 	39	3.5	 	2	0.18	 	421	37.83	 	592	53.19	 	0	0	 	35	3.14	 	7	0.63	 	0	0	 	2	0.18	 	1113	98.58	 	16	1.42	 	1129	1.46
Medina		                                     	57	1.94	 	9	0.31	 	110	3.75	 	5	0.17	 	1829	62.36	 	795	27.11	 	2	0.07	 	113	3.85	 	7	0.24	 	2	0.07	 	4	0.14	 	2933	97.38	 	79	2.62	 	3012	3.9
North Dandalup		                             	2	0.7	 	0	0	 	18	6.27	 	0	0	 	98	34.15	 	159	55.4	 	0	0	 	5	1.74	 	5	1.74	 	0	0	 	0	0	 	287	98.97	 	3	1.03	 	290	0.38
