Senate - 1996 Election: New South Wales    														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 3682283   +   1 =  526041														
6 + 1														
														
				First			Count 2			Count 3			Count 4	
				Preference		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates			Votes	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI		44199		174	44373		52	44425		31	44456	
A	"O'CALLAGHAN, Carolyn"	RARI		346		24	370		6	376		4	380	
														
B	"WOODS, Bob"	LP		1518178	Elected	-992137	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP		1826		989321	991147	Elected	0	991147	Elected	-465106	526041	Elected
B	"COONAN, Helen"	LP		1950		1648	3598		13	3611		464754	468365	
B	"CONSTANTIN, Abraham"	LP		768		260	1028		2	1030		120	1150	
														
C	"SPERLING, Karla"	GRN		96845		99	96944		99	97043		15	97058	
C	"DENTON, Peter"	GRN		351		19	370		5	375		4	379	
C	"ELIX, Jane"	GRN		416		3	419		4	423		1	424	
C	"MATSON, Murray"	GRN		316		2	318		1	319		0	319	
														
D	"NASH, Chris"	NAN		16866		37	16903		23	16926		7	16933	
D	"HALE, Sylvia"	NAN		177		3	180		4	184		1	185	
														
E	"EVANS, Beryl"	SEN		8216		32	8248		19	8267		7	8274	
E	"WELSH, Lorraine"	SEN		52		1	53		3	56		1	57	
														
F	"PHILLIPS, John"	AFI		61567		96	61663		65	61728		15	61743	
F	"O'REGAN, Bevan"	AFI		244		1	245		6	251		2	253	
														
G	"WEST, Sue"	ALP		1367388	Elected	0	1367388	Elected	-841347	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP		1522		21	1543		839794	841337	Elected	0	841337	Elected
G	"WHEELWRIGHT, Tom"	ALP		1195		1	1196		279	1475		5	1480	
G	"BARGHOUT, Rima"	ALP		813		0	813		477	1290		0	1290	
														
H	"BOURNE, Vicki"	DEM		349862		179	350041		345	350386		53	350439	
H	"CHESTERFIELD-EVANS, Arthur"	DEM		615		7	622		13	635		1	636	
H	"LARCOS, Andrew"	DEM		223		1	224		4	228		0	228	
H	"ANDERSON, Troy"	DEM		791		2	793		3	796		3	799	
														
I	"SCHOLLBACH, Robert Frederick"			3559		0	3559		1	3560		0	3560	
I	"STIRLING, Amanda Jane"			73		0	73		1	74		0	74	
														
J	"SIMS, Richard"	ASP		73708		46	73754		26	73780		16	73796	
