Senate - 1996 Election: Victoria														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 2767485  +  1 =  395356														
6+1														
														
				First			Count 2			Count 3			Count 4	
				Preference		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates			Votes	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"BORZATTI, Will"	CIR		8912		34	8946		59	9005		2	9007	
A	"McKAY, Neil"	CIR		128		5	133		5	138		0	138	
														
B	"SINGER, Peter"	AGV		79910		62	79972		143	80115		18	80133	
B	"ALEXANDER, Karen"	AGV		880		2	882		5	887		1	888	
B	"LUCAS, Helen"	AGV		483		0	483		1	484		0	484	
														
C	"MULHOLLAND, John"	DLP		35720		60	35780		77	35857		8	35865	
C	"CAHILL, Paul"	DLP		138		7	145		12	157		1	158	
C	"ROWE, Michael"	DLP		71		1	72		5	77		1	78	
C	"CREA, Pat"	DLP		47		0	47		3	50		0	50	
C	"CODY, Matthew"	DLP		29		0	29		3	32		0	32	
C	"DODD, Christine"	DLP		151		3	154		1	155		0	155	
														
D	"ALSTON, Richard K R"	LP		1143270	Elected	-747914	395356	Elected	0	395356	Elected	0	395356	Elected
D	"KEMP, Rod"	LP		932		747109	748041	Elected	0	748041	Elected	-352685	395356	Elected
D	"PATTERSON, Kay"	LP		1135		183	1318		29	1347		352440	353787	
D	"ETTERY, Robert John"	NP		668		47	715		1	716		71	787	
D	"HEAD, Robyne L"	LP		252		22	274		1	275		23	298	
D	"FERNANDEZ, Anthony G"	LP		398		26	424		2	426		20	446	
 	 													
E	"RAY, Robert Francis"	ALP		1097129	Elected	0	1097129	Elected	-701773	395356	Elected	0	395356	Elected
E	"COONEY, Barney"	ALP		947		37	984		700338	701322	Elected	0	701322	Elected
E	"GILLARD, Julia"	ALP		2099		5	2104		431	2535		6	2541	
E	"RAYMOND, Melanie"	ALP		1322		3	1325		161	1486		0	1486	
														
F	"McCORMACK, Denis"	AFI		40265		71	40336		67	40403		16	40419	
F	"SPENCER, Robyn Marion"	AFI		342		2	344		9	353		0	353	
 														
G	"ALLISON, Lyn"	DEM		299191		149	299340		325	299665		45	299710	
G	"McLAREN, John"	DEM		444		4	448		12	460		1	461	
G	"LEVY, Laurie"	DEM		645		2	647		12	659		1	660	
G	"WHITE, Marj"	DEM		568		1	569		1	570		0	570	
														
H	"GRIFFITH, Stephen"	NLP		6593		9	6602		6	6608		1	6609	
