Senate - 1996 Election																																					
Nomination Numbers by Gender																																					
																																					
		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
ABF	1		1																														1		1		2
ABR	2		2		1				1																								4		2		6
AFI	2				1		1		1		1		2				2																8		2		10
AGV					1		2																										1		2		3
AIP									1		1																						1		1		2
ALP	2		2		2		2		1		2		3		1		1		2		2		1		1		1		1		1		13		12		25
ASP	3		1		3				2								2																10		1		11
AWP			2								3				2				3				2										0		12		12
CIR					2																												2		0		2
CLP																													2				2		0		2
CTA	4		1		1		1		1		1		1		1		2				1		1		2								12		5		17
DEM	3		1		2		2		2		2		2		1		2		2		2		1		2				1				16		9		25
DLP					5		1																										5		1		6
EFF																	2																2		0		2
GRN	2		2								3						1		1						1		1				2		4		9		13
GRY	3		1														1		1														4		2		6
GWA													1		1																		1		1		2
IND	7		2		6				3		1		3												2		1						21		4		25
LP	2		1		3		2		2		1		5		1		2		2		2		1		1		1						17		9		26
NAN	1		1																														1		1		2
NLP			2		1		1		2						1		1				2				1								7		4		11
NP	1				1				1		2		1		1						1		1										5		4		9
OAP									2																								2		0		2
RARI	1		1																														1		1		2
RPA	1				1				1																								3		0		3
SEN			2																														0		2		2
TG																					1		1										1		1		2
OTH	5		1		2				11				1		1		3		1														22		3		25
Sub-Total	40		23		32		12		31		17		19		10		19		12		11		8		10		4		4		3		166		89		255
TOTAL		63				44				48				29				31				19				14				7				255			255
