Senate - 1996 Election																
First Preference Votes by Candidate																
By Vote Type by Division																


New South Wales																

Banks (78925)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	855	1.33	75	1.84	6	1.41	36	1.64	33	1.54	0	1005	1.37
		"KITSON, David"	RARI	145	0.23	11	0.27	0	0	3	0.14	9	0.42	0	168	0.23
		"O'CALLAGHAN, Carolyn"	RARI	9	0.01	0	0	0	0	1	0.05	1	0.05	0	11	0.02
		Group Total	RARI	1009	1.57	86	2.11	6	1.41	40	1.82	43	2.01	0	1184	1.62
B		TICKET VOTES	LNP	22567	35.08	1370	33.66	126	29.51	812	37.03	823	38.39	0	25698	35.12
	#	"WOODS, Bob"	LP	540	0.84	22	0.54	2	0.47	25	1.14	21	0.98	0	610	0.83
	#	"BROWNHILL, David"	NP	8	0.01	3	0.07	0	0	0	0	0	0	0	11	0.02
	#	"COONAN, Helen"	LP	21	0.03	1	0.02	0	0	0	0	1	0.05	0	23	0.03
		"CONSTANTIN, Abraham"	LP	15	0.02	1	0.02	0	0	0	0	0	0	0	16	0.02
		Group Total	LNP	23151	35.99	1397	34.32	128	29.98	837	38.17	845	39.41	0	26358	36.02
C		TICKET VOTES	GRN	880	1.37	96	2.36	5	1.17	50	2.28	24	1.12	0	1055	1.44
		"SPERLING, Karla"	GRN	104	0.16	12	0.29	0	0	10	0.46	7	0.33	0	133	0.18
		"DENTON, Peter"	GRN	2	0	0	0	0	0	1	0.05	0	0	0	3	0
		"ELIX, Jane"	GRN	5	0.01	1	0.02	0	0	0	0	2	0.09	0	8	0.01
		"MATSON, Murray"	GRN	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	GRN	991	1.54	109	2.68	5	1.17	61	2.78	33	1.54	0	1199	1.64
D		TICKET VOTES	NAN	81	0.13	13	0.32	3	0.7	0	0	3	0.14	0	100	0.14
		"NASH, Chris"	NAN	7	0.01	0	0	0	0	0	0	3	0.14	0	10	0.01
		"HALE, Sylvia"	NAN	0	0	0	0	0	0	0	0	0	0	0	0	0
