Senate - 1996 Election		
National List of Candidates		
		
		
Candidate	Party/Group Name	State

"ABBOTTO, John M"	Independent	VIC
"ALDERSEY, Haydon"	Australian Shooters Party	SA
"ALEXANDER, Karen"	The Australian Greens - Victoria	VIC
"ALLISON, Lyn"	Democrats	VIC
"ALSTON, Richard K R"	Liberal	VIC
"ANDERSEN, Clair"	Australian Women's Party	TAS
"ANDERSON, Lynley"	National Party	WA
"ANDERSON, Troy"	Australian Democrats	NSW
"ARMSTRONG, David"	Independent	VIC
"AYYAR, Kris"	Natural Law Party	QLD

"BAILEY, David"	Australian Bill of Rights Group	QLD
"BARBARA, John"	Independent	NSW
"BARGHOUT, Rima"	Australian Labor Party	NSW
"BEAHAN, Michael"	Australian Labor Party	WA
"BEKELE, Assefa"	Australian Bill of Rights Group	NSW
"BELL, Robert"	Australian Democrats	TAS
"BERGEN, Des"	Australian Bill of Rights Group	VIC
"BIRD, Bill"	Call to Australia (Fred Nile) Group	NSW
"BISHOP, Mark"	Australian Labor Party	WA
"BLACKBURN, Brent"	Australian Democrats	ACT
"BORZATTI, Will"	C.I.R. Alliance	VIC
"BOSWELL, Ron"	National Party	QLD
"BOURKE, Robyn"	Australian Shooters Party	NSW
"BOURNE, Vicki"	Australian Democrats	NSW
"BRADLEY, Bill"	Independent	NSW
"BRADLEY, Susan"	A.L.P.	NT
"BRADSHAW, Craig"	Independent	WA
"BREEN, Peter"	Australian Bill of Rights Group	NSW
"BROSZCZYK, Gregory"	Natural Law Party	TAS
"BROWN, Bob"	Tasmanian Greens	TAS
"BROWNHILL, David"	National Party	NSW
"BUCKLEY, Brian"	Republican Party of Australia	QLD
"BUTLER, Robert H"		NSW

"CAHILL, Paul"	D.L.P. - Democratic Labor Party	VIC
"CALLAGHAN, Bernadette"	Australian Labor Party (ALP)	QLD
"CALVERT, Paul"	Liberal	TAS
"CARR, Geoff"	Democrats	NT
"CHAMARETTE, Christabel"	The Greens (WA)	WA
"CHAPMAN, Christine"	Call to Australia (Fred Nile) Group	VIC
"CHAPMAN, Grant"	Liberal	SA
"CHAPPLE, Robin"	The Greens (WA)	WA
"CHESTERFIELD-EVANS, Arthur"	Australian Democrats	NSW
"CHILDS, Bruce"	Australian Labor Party	NSW
"CLARKE, Joanne"	Independent	ACT
"CLAYTON, Jeff"	National Party of Australia - Tasmania	TAS
"COBB, Teresa M."	National Party	QLD
"CODY, Matthew"	D.L.P. - Democratic Labor Party	VIC
"COLEMAN, Bruce"	Call to Australia (Fred Nile) Group	NSW
"COLLINS, Bob"	A.L.P.	NT
"COLLINS, Peter J."	Australian Democrats	QLD
"CONNORS, Libby"	Australian Greens	QLD
"CONSTANTIN, Abraham"	Liberal	NSW
"CONWAY, Peter"	Australian Labor Party	ACT
"COOK, Harry"	Call to Australia (Fred Nile) Group	QLD
"COOK, Ken"	Call to Australia (Fred Nile) Group	VIC
"COOK, Kym"	Country Liberal - The Territory Party	NT
"COOK, Nan"	Call to Australia (Fred Nile) Group	QLD
"COONAN, Helen"	Liberal	NSW
"COONEY, Barney"	Australian Labor Party	VIC
"COOPER, Vin"	Independent	WA
"COSGROVE, Lindsay D"		NSW
"CRANE, Winston"	Liberal	WA
"CRANWELL, Terry Ann"	National Party	QLD
"CRAWFORD, Catherine"	Australian Labor Party	WA
"CREA, Pat"	D.L.P. - Democratic Labor Party	VIC
"CROWLEY, Rosemary"	Australian Labor Party (ALP)	SA

"DAHAN, Paul"	R.P.A.	VIC
"DALE, Janet"	Tasmanian Greens	TAS
"DARBISHIRE, Gratton"	Grey Power	SA
"DE LA HUNTY, Shirley"	Australian Democrats	WA
"DENTON, Peter"	The Greens	NSW
"DODD, Christine"	D.L.P. - Democratic Labor Party	VIC
"DRAKE, Tony"		WA
"DUNCAN, Darelle"	Australian Women's Party	NSW
"DWYER, David"	Independent EFF	SA

"EGGLESTON, Alan"	Liberal	WA
"ELDRIDGE, Ilana"	The Greens	NT
"ELIX, Jane"	The Greens	NSW
"ETTERY, Robert John"	National Party	VIC
"EVANS, Beryl"	The Seniors	NSW

"FAHEY, Antoinette"	Australian Bill of Rights Group	NSW
"FERNANDEZ, Anthony G"	Liberal	VIC
"FERRIS, Jeannie"	Liberal	SA
"FINDLAY-BARNES, Teresa"	A Better Future For Our Children	NSW
"FLIEGNER, Gary"	Australian Shooters Party	VIC
"FOSKEY, Deborah"	Australian Greens	ACT
"FRANICH, Rodney"	Australian Shooters Party	NSW
"FREEMARIJUANA, J."		QLD
"FRIEL, Margie"	The Greens	NT

"GALATI, Sam"		NSW
"GALATI, Tony"		NSW
"GIBBS, Brenda"	Australian Labor Party (ALP)	QLD
"GILBEY-RILEY, Emily"	Grey Power	SA
"GILFILLAN, Ian"	Australian Democrats	SA
"GILLARD, Julia"	Australian Labor Party	VIC
