Senate - 1996 Election									
Votes Counted by Vote Type									
By Division									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
New South Wales	3955782	3319040	216030	105342	150758	34567	-66	3825671	96.71
Victoria	2972635	2503061	148550	96458	96204	24877	124	2869274	96.52
Queensland	2091384	1687564	130973	80321	76944	13627	12	1989441	95.13
Western Australia	1088487	881036	80661	26218	39570	13075	108	1040668	95.61
South Australia	1001006	841944	54549	29582	27019	12235	-1	965328	96.44
Tasmania	329304	267801	21514	13577	12662	3499	0	319053	96.89
Australian Capital Territory	203170	158907	5262	5463	25308	1977	0	196917	96.92
Northern Territory	98800	77874	0	2643	6376	1234	0	88127	89.20
NATIONAL TOTAL	11740568	9737227	657539	359604	434841	105091	177	11294479	96.20
									
									
New South Wales									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Banks	78925	67642	4181	2200	2256	444	0	76723	97.21
Barton	80179	68553	3549	2058	2806	946	0	77912	97.17
Bennelong	81033	68504	4366	2549	2729	455	0	78603	97.00
Berowra	82360	68446	4536	1979	4437	404	0	79802	96.89
Blaxland	78692	67338	3894	1842	1848	1035	0	75957	96.52
Bradfield	79617	66444	4228	2249	3737	301	0	76959	96.66
Calare	78088	65641	4557	2346	2741	524	0	75809	97.08
Charlton	82294	69087	4834	2290	3521	568	0	80300	97.58
Chifley	81170	69895	4602	1061	1837	905	0	78300	96.46
Cook	80004	66961	4276	2285	3613	481	0	77616	97.02
Cowper	77170	63860	4472	2069	2997	1043	0	74441	96.46
Cunningham	76150	65124	3440	2027	2642	469	0	73702	96.79
Dobell	78239	64784	4533	2209	3755	643	0	75924	97.04
Eden-Monaro	77496	64576	3038	2759	3736	463	2	74574	96.23
Farrer	76772	64567	2062	2934	3950	271	0	73784	96.11
Fowler	84398	72686	4313	1097	1709	1322	0	81127	96.12
Gilmore	75734	62385	3941	2322	4306	751	0	73705	97.32
Grayndler	82756	69146	4964	1672	2351	1156	0	79289	95.81
Greenway	81151	69168	4677	1557	2340	529	-41	78230	96.40
Gwydir	73855	60315	5470	2471	2707	677	0	71640	97.00
Hughes	82293	70731	4595	1743	3000	385	0	80454	97.77
Hume	75978	64237	4528	2279	2603	209	0	73856	97.21
Hunter	76509	64899	4393	1876	2711	498	0	74377	97.21
Kingsford-Smith	79741	66855	3567	1930	3059	668	0	76079	95.41
Lindsay	80732	68755	4938	1413	2237	582	0	77925	96.52
Lowe	79599	67387	4015	2520	2459	710	0	77091	96.85
Lyne	79314	66568	4412	1815	3502	767	0	77064	97.16
Macarthur	82226	70052	5189	1543	2463	666	0	79913	97.19
Mackellar	80181	66898	4300	2217	3360	793	0	77568	96.74
Macquarie	78888	65667	4832	2197	3000	744	0	76440	96.90
Mitchell	76394	65333	4483	1692	2614	309	0	74431	97.43
Newcastle	76670	64101	4794	2560	2332	724	0	74511	97.18
New England	74896	61004	4280	2213	3710	918	0	72125	96.30
North Sydney	85921	69341	5364	2672	4001	758	0	82136	95.59
Page	80428	67581	3437	2652	3380	808	0	77858	96.80
Parkes	80257	64973	4813	2831	3886	642	0	77145	96.12
Parramatta	77692	65006	4714	2741	2476	538	0	75475	97.15
Paterson	78499	67119	4318	2382	2283	523	0	76625	97.61
Prospect	76469	67191	3736	1032	1375	620	2	73956	96.71
Reid	78526	66791	4458	1898	2247	656	0	76050	96.85
Richmond	81853	66749	2551	2767	5552	1175	0	78794	96.26
Riverina	79097	66886	3789	1880	3683	684	0	76922	97.25
Robertson	76620	63233	4603	2491	3527	770	0	74624	97.39
Shortland	76092	64035	4304	2029	3316	590	0	74274	97.61
Sydney	83442	64647	6294	2223	3489	1583	-29	78207	93.73
Throsby	75668	66448	2789	1464	2140	759	0	73600	97.27
Warringah	78373	64419	4538	2087	3845	719	0	75608	96.47
Watson	78312	66757	4475	1786	1766	690	0	75474	96.38
