Senate - 1996 Election: Australian Capital Territory																																																																																					
First Preference Votes by Candidate																																																																																					
by Polling Place																																																																																					
 																																																																																					

Canberra (71932)																																																																																					

	   		 A Call to Australia (Fred Nile) Group												 B Australian Greens												 C Liberal Party of Australia - ACT Division												 D Australian Democrats												 E Australian Labor Party (ACT Branch)												Ungrouped																						
    			TICKET VOTES			MILLER			LIAW			Group Total			TICKET VOTES			FOSKEY			MILLAR			Group Total			TICKET VOTES			# REID			JITTS			Group Total			TICKET VOTES			MAIN			BLACKBURN			Group Total			TICKET VOTES			# LUNDY			CONWAY			Group Total			CLARKE			MONAGHAN			SEATON			SKERBIC			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						John Richard			James									Deborah			Jonathan									Margaret			Stephe									Peter			Brent									Kate			Peter						Joanne			Bill			David			Fred													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ainslie		                                    	17	1.21	 	8	0.57	 	1	0.07	 	26	1.85	 	60	4.26	 	81	5.75	 	4	0.28	 	145	10.3	 	356	25.28	 	57	4.05	 	5	0.36	 	418	29.69	 	97	6.89	 	64	4.55	 	7	0.5	 	168	11.93	 	550	39.06	 	78	5.54	 	16	1.14	 	644	45.74	 	3	0.21	 	2	0.14	 	2	0.14	 	0	0	 	7	0.5	 	1408	95.52	 	66	4.48	 	1474	2.13
Ainslie North		                              	23	0.88	 	15	0.58	 	2	0.08	 	40	1.54	 	123	4.73	 	115	4.42	 	7	0.27	 	245	9.43	 	636	24.47	 	103	3.96	 	6	0.23	 	745	28.66	 	157	6.04	 	129	4.96	 	7	0.27	 	293	11.27	 	1105	42.52	 	138	5.31	 	20	0.77	 	1263	48.6	 	4	0.15	 	7	0.27	 	1	0.04	 	1	0.04	 	13	0.5	 	2599	96.62	 	91	3.38	 	2690	3.89
Baker Gardens		                              	4	0.59	 	4	0.59	 	1	0.15	 	9	1.32	 	28	4.11	 	32	4.69	 	4	0.59	 	64	9.38	 	198	29.03	 	28	4.11	 	1	0.15	 	227	33.28	 	32	4.69	 	23	3.37	 	1	0.15	 	56	8.21	 	274	40.18	 	43	6.3	 	6	0.88	 	323	47.36	 	1	0.15	 	0	0	 	0	0	 	2	0.29	 	3	0.44	 	682	95.12	 	35	4.88	 	717	1.04
Campbell		                                   	11	0.43	 	18	0.71	 	4	0.16	 	33	1.3	 	78	3.07	 	69	2.72	 	4	0.16	 	151	5.95	 	1179	46.44	 	123	4.84	 	8	0.32	 	1310	51.6	 	172	6.77	 	96	3.78	 	7	0.28	 	275	10.83	 	663	26.11	 	74	2.91	 	14	0.55	 	751	29.58	 	3	0.12	 	13	0.51	 	2	0.08	 	1	0.04	 	19	0.75	 	2539	97.96	 	53	2.04	 	2592	3.75
