Senate - 1996 Election: Tasmania																																																																																																																						
First Preference Votes by Candidate																																																																																																																						
by Polling Place																																																																																																																						
 																																																																																																																						

Bass (66017)																																																																																																																						

	   		 A Natural Law Party												 B National Party of Australia - Tasmania												 C Liberal Party of Australia - Tasmanian Division															 D Australian Democrats															 E Australian Women's Party												 F Tasmanian Greens												 G Call to Australia (Fred Nile) Group												 H Australian Labor Party (Tasmanian Branch)															Ungrouped										
    			TICKET VOTES			BROSZCZYK			HARLOW			Group Total			TICKET VOTES			JACKSON			CLAYTON			Group Total			TICKET VOTES			# NEWMAN			# CALVERT			# WATSON			Group Total			TICKET VOTES			BELL			ONSMAN			TATTERSALL			Group Total			TICKET VOTES			ANDERSEN			MACQUEEN			Group Total			TICKET VOTES			# BROWN			DALE			Group Total			TICKET VOTES			ROGERS			ROGERS			Group Total			TICKET VOTES			# MACKAY			# SHERRY			TOUBER			Group Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Gregory			James									Mary			Jeff									Jocelyn			Paul			John									Robert			Julia			Philip J									Clair			Lin									Bob			Janet									Don			Beryl									Sue			Nick			Charles																
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alanvale		                                   	9	0.34	 	4	0.15	 	1	0.04	 	14	0.53	 	9	0.34	 	2	0.08	 	0	0	 	11	0.41	 	759	28.49	 	162	6.08	 	1	0.04	 	41	1.54	 	963	36.15	 	111	4.17	 	38	1.43	 	2	0.08	 	4	0.15	 	155	5.82	 	12	0.45	 	3	0.11	 	1	0.04	 	16	0.6	 	91	3.42	 	52	1.95	 	3	0.11	 	146	5.48	 	17	0.64	 	8	0.3	 	0	0	 	25	0.94	 	1157	43.43	 	79	2.97	 	87	3.27	 	11	0.41	 	1334	50.08	 	0	0	 	2664	95.69	 	120	4.31	 	2784	4.37
Blessington Upper		                          	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.16	 	0	0	 	1	1.16	 	43	50	 	8	9.3	 	0	0	 	2	2.33	 	53	61.63	 	2	2.33	 	0	0	 	0	0	 	0	0	 	2	2.33	 	1	1.16	 	0	0	 	0	0	 	1	1.16	 	3	3.49	 	1	1.16	 	0	0	 	4	4.65	 	0	0	 	0	0	 	0	0	 	0	0	 	21	24.42	 	2	2.33	 	2	2.33	 	0	0	 	25	29.07	 	0	0	 	86	96.63	 	3	3.37	 	89	0.14
