Senate - 1996 Election: Victoria																																																																																																																																																																																																																									
First Preference Votes by Candidate																																																																																																																																																																																																																									
by Polling Place																																																																																																																																																																																																																									
 																																																																																																																																																																																																																									

Aston (79887)																																																																																																																																																																																																																									

	   		 A Pensioner and Citizen Initiated Referendum Alliance												 B The Australian Greens - Victoria															 C Democratic Labor Party (DLP) of Australia																								 D Liberal/National Party																								 E Australian Labor Party (Victorian Branch)																		 F Australians Against Further Immigration												 G Australian Democrats																		 H Natural Law Party												 I Republican Party/Australian Bill of Rights Group												 J - Unendorsed Group												 K Australian Shooters Party															 L Call to Australia (Fred Nile) Group												Ungrouped																												
    			TICKET VOTES			BORZATTI			MCKAY			Group Total			TICKET VOTES			SINGER			ALEXANDER			LUCAS			Group Total			TICKET VOTES			MULHOLLAND			CAHILL			ROWE			CREA			CODY			DODD			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			ETTERY			HEAD			FERNANDEZ			Group Total			TICKET VOTES			# RAY			# COONEY			GILLARD			RAYMOND			Group Total			TICKET VOTES			MCCORMACK			SPENCER			Group Total			TICKET VOTES			# ALLISON			MCLAREN			LEVY			WHITE			Group Total			TICKET VOTES			GRIFFITH			MASON			Group Total			TICKET VOTES			DAHAN			BERGEN			Group Total			TICKET VOTES			TOSCANO			ROPER			Group Total			TICKET VOTES			WOOD			SAYERS			FLIEGNER			Group Total			TICKET VOTES			COOK			CHAPMAN			Group Total			RASKOVY			SMITH			GOOD			GREEN			ABBOTTO			ARMSTRONG			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Will			Neil									Peter			Karen			Helen									John			Paul			Michael			Pat			Matthew			Christine									Richard K R			Rod			Kay			Robert John			Robyne L			Anthony G									Robert Francis			Barney			Julia			Melanie									Denis			Robyn Marion									Lyn			John			Laurie			Marj									Stephen			Ngaire									Paul			Des									Joe			Steve									Colin F			Neville			Gary									Ken			Christine						Steve			Maurie			Michael			Neil			John M			David													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater		                                  	11	0.5	 	0	0	 	0	0	 	11	0.5	 	35	1.58	 	3	0.14	 	0	0	 	0	0	 	38	1.71	 	24	1.08	 	3	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	27	1.22	 	845	38.06	 	25	1.13	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	870	39.19	 	819	36.89	 	22	0.99	 	0	0	 	2	0.09	 	1	0.05	 	844	38.02	 	38	1.71	 	3	0.14	 	0	0	 	41	1.85	 	311	14.01	 	21	0.95	 	0	0	 	0	0	 	1	0.05	 	333	15	 	6	0.27	 	0	0	 	0	0	 	6	0.27	 	3	0.14	 	0	0	 	0	0	 	3	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	13	0.59	 	1	0.05	 	0	0	 	1	0.05	 	15	0.68	 	20	0.9	 	4	0.18	 	1	0.05	 	25	1.13	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	7	0.32	 	7	0.32	 	2220	95.81	 	97	4.19	 	2317	2.98
Bayswater South		                            	2	0.15	 	1	0.07	 	0	0	 	3	0.22	 	21	1.55	 	4	0.3	 	0	0	 	0	0	 	25	1.85	 	15	1.11	 	2	0.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	17	1.26	 	579	42.86	 	20	1.48	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	599	44.34	 	469	34.72	 	9	0.67	 	0	0	 	0	0	 	1	0.07	 	479	35.46	 	18	1.33	 	3	0.22	 	1	0.07	 	22	1.63	 	146	10.81	 	18	1.33	 	0	0	 	0	0	 	0	0	 	164	12.14	 	6	0.44	 	1	0.07	 	0	0	 	7	0.52	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.3	 	0	0	 	0	0	 	4	0.3	 	8	0.59	 	6	0.44	 	0	0	 	0	0	 	14	1.04	 	7	0.52	 	4	0.3	 	1	0.07	 	12	0.89	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.3	 	5	0.37	 	1351	96.92	 	43	3.08	 	1394	1.79
