Senate - 1996 Election: Western Australia																																																																																																																																																										
First Preference Votes by Candidate																																																																																																																																																										
by Polling Place																																																																																																																																																										
 																																																																																																																																																										

Brand (92099)																																																																																																																																																										

	   		 A Australian Women's Party												 B Liberal Party (W.A. Division) Inc.																								 C - Unendorsed Group												 D Call to Australia (Fred Nile) Group												 E National Party of Australia (WA) Inc												 F Australians Against Further Immigration												 G Australian Labor Party (Western Australi																		 H The Greens (WA) Inc												 I Australian Democrats															Ungrouped																						
    			TICKET VOTES			TURNBULL			MUDFORD			Group Total			TICKET VOTES			# CRANE			# PANIZZA			# EGGLESTON			HUSTON			SIRNA			THOMPSON			Group Total			TICKET VOTES			DRAKE			ROBINSON			Group Total			TICKET VOTES			JACKSON			LAURIE			Group Total			TICKET VOTES			MCANUFF			ANDERSON			Group Total			TICKET VOTES			HAYE			HAMMOND			Group Total			TICKET VOTES			# MCKIERNAN			# BISHOP			BEAHAN			CRAWFORD			Group Total			TICKET VOTES			CHAMARETTE			CHAPPLE			Group Total			TICKET VOTES			# MURRAY			MILLAR			DE LA HUNTY			Group Total			BRADSHAW			MACKINTOSH			COOPER			WHITE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Mattie			Kate									Winston			John H			Alan			Michael			Enzo			Clare Helen									Tony			Jean H									Don			Marj									Kevin			Lynley									Richard T			Robert K									Jim			Mark			Michael			Catherine									Christabel			Robin									Andrew J M			Don			Shirley						Craig			Craig Alan			Vin			Ros													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allanson		                                   	3	0.99	 	1	0.33	 	0	0	 	4	1.32	 	68	22.52	 	1	0.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	69	22.85	 	3	0.99	 	0	0	 	0	0	 	3	0.99	 	4	1.32	 	0	0	 	0	0	 	4	1.32	 	19	6.29	 	2	0.66	 	0	0	 	21	6.95	 	4	1.32	 	3	0.99	 	0	0	 	7	2.32	 	155	51.32	 	1	0.33	 	0	0	 	0	0	 	0	0	 	156	51.66	 	10	3.31	 	2	0.66	 	1	0.33	 	13	4.3	 	19	6.29	 	5	1.66	 	0	0	 	0	0	 	24	7.95	 	0	0	 	1	0.33	 	0	0	 	0	0	 	1	0.33	 	302	96.18	 	12	3.82	 	314	0.36
Baldivis		                                   	4	0.4	 	1	0.1	 	0	0	 	5	0.5	 	544	54.56	 	6	0.6	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	550	55.17	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.5	 	2	0.2	 	0	0	 	7	0.7	 	18	1.81	 	1	0.1	 	0	0	 	19	1.91	 	12	1.2	 	0	0	 	0	0	 	12	1.2	 	259	25.98	 	6	0.6	 	0	0	 	0	0	 	1	0.1	 	266	26.68	 	43	4.31	 	11	1.1	 	0	0	 	54	5.42	 	73	7.32	 	4	0.4	 	0	0	 	3	0.3	 	80	8.02	 	2	0.2	 	1	0.1	 	1	0.1	 	0	0	 	4	0.4	 	997	96.8	 	33	3.2	 	1030	1.17
