Senate - 1996 Election: Australian Capital Territory																												
First Preference Votes by Group																												
By Polling Place																												


Canberra (71932)																												
	   		Group Total CTA			Group Total GRN			Group Total LP			Group Total DEM			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ainslie		                                    	26	1.85	 	145	10.3	 	418	29.69	 	168	11.93	 	644	45.74	 	7	0.5	 	1408	95.52	 	66	4.48	 	1474	2.13
Ainslie North		                              	40	1.54	 	245	9.43	 	745	28.66	 	293	11.27	 	1263	48.6	 	13	0.5	 	2599	96.62	 	91	3.38	 	2690	3.89
Baker Gardens		                              	9	1.32	 	64	9.38	 	227	33.28	 	56	8.21	 	323	47.36	 	3	0.44	 	682	95.12	 	35	4.88	 	717	1.04
Campbell		                                   	33	1.3	 	151	5.95	 	1310	51.6	 	275	10.83	 	751	29.58	 	19	0.75	 	2539	97.96	 	53	2.04	 	2592	3.75
Chapman		                                    	17	0.72	 	118	5.02	 	1144	48.7	 	261	11.11	 	790	33.63	 	19	0.81	 	2349	98.2	 	43	1.8	 	2392	3.46
City		                                       	6	0.76	 	82	10.45	 	205	26.11	 	130	16.56	 	353	44.97	 	9	1.15	 	785	96.67	 	27	3.33	 	812	1.17
Curtin		                                     	38	1.27	 	177	5.9	 	1142	38.08	 	399	13.3	 	1214	40.48	 	29	0.97	 	2999	97.34	 	82	2.66	 	3081	4.46
Deakin		                                     	7	0.42	 	66	3.98	 	961	57.93	 	144	8.68	 	465	28.03	 	16	0.96	 	1659	98.34	 	28	1.66	 	1687	2.44
Dickson		                                    	23	2.19	 	99	9.41	 	321	30.51	 	132	12.55	 	468	44.49	 	9	0.86	 	1052	96.87	 	34	3.13	 	1086	1.57
Downer		                                     	30	2.04	 	116	7.88	 	479	32.54	 	143	9.71	 	693	47.08	 	11	0.75	 	1472	96.02	 	61	3.98	 	1533	2.22
Duffy		                                      	32	1.53	 	128	6.14	 	819	39.28	 	246	11.8	 	841	40.34	 	19	0.91	 	2085	96.84	 	68	3.16	 	2153	3.11
