Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Adelaide)		                        	5	0.88	 	1	0.18	 	31	5.49	 	206	36.46	 	4	0.71	 	1	0.18	 	6	1.06	 	2	0.35	 	3	0.53	 	1	0.18	 	175	30.97	 	129	22.83	 	1	0.18	 	565	96.25	 	22	3.75	 	587	0.75
Adelaide East		                              	4	0.68	 	2	0.34	 	22	3.74	 	208	35.31	 	1	0.17	 	0	0	 	1	0.17	 	0	0	 	9	1.53	 	2	0.34	 	250	42.44	 	89	15.11	 	1	0.17	 	589	96.88	 	19	3.13	 	608	0.78
Adelaide Hospital		                          	3	1.2	 	1	0.4	 	9	3.61	 	89	35.74	 	0	0	 	0	0	 	1	0.4	 	0	0	 	4	1.61	 	0	0	 	88	35.34	 	53	21.29	 	1	0.4	 	249	96.89	 	8	3.11	 	257	0.33
Adelaide South		                             	5	0.39	 	9	0.7	 	45	3.51	 	403	31.44	 	1	0.08	 	2	0.16	 	7	0.55	 	1	0.08	 	14	1.09	 	3	0.23	 	533	41.58	 	255	19.89	 	4	0.31	 	1282	96.61	 	45	3.39	 	1327	1.7
Adelaide West		                              	8	1.14	 	5	0.71	 	34	4.84	 	287	40.83	 	3	0.43	 	0	0	 	3	0.43	 	2	0.28	 	5	0.71	 	1	0.14	 	229	32.57	 	125	17.78	 	1	0.14	 	703	95.26	 	35	4.74	 	738	0.95
Black Forest		                               	6	0.82	 	5	0.68	 	16	2.18	 	235	31.97	 	5	0.68	 	2	0.27	 	2	0.27	 	1	0.14	 	9	1.22	 	2	0.27	 	319	43.4	 	133	18.1	 	0	0	 	735	95.95	 	31	4.05	 	766	0.98
Blair Athol Central		                        	16	1.15	 	10	0.72	 	21	1.52	 	515	37.16	 	7	0.51	 	3	0.22	 	14	1.01	 	5	0.36	 	7	0.51	 	18	1.3	 	579	41.77	 	191	13.78	 	0	0	 	1386	94.87	 	75	5.13	 	1461	1.87
Blair Athol North		                          	24	1.79	 	18	1.34	 	17	1.27	 	679	50.67	 	3	0.22	 	2	0.15	 	5	0.37	 	7	0.52	 	10	0.75	 	11	0.82	 	394	29.4	 	168	12.54	 	2	0.15	 	1340	95.17	 	68	4.83	 	1408	1.8
Broadview		                                  	4	0.23	 	17	0.97	 	27	1.54	 	482	27.43	 	19	1.08	 	0	0	 	7	0.4	 	3	0.17	 	10	0.57	 	10	0.57	 	878	49.97	 	300	17.07	 	0	0	 	1757	97.07	 	53	2.93	 	1810	2.32
