Senate - 1996 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66017)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alanvale		                                   	14	0.53	 	11	0.41	 	963	36.15	 	155	5.82	 	16	0.6	 	146	5.48	 	25	0.94	 	1334	50.08	 	0	0	 	2664	95.69	 	120	4.31	 	2784	4.37
Blessington Upper		                          	0	0	 	1	1.16	 	53	61.63	 	2	2.33	 	1	1.16	 	4	4.65	 	0	0	 	25	29.07	 	0	0	 	86	96.63	 	3	3.37	 	89	0.14
Branxholm		                                  	1	0.45	 	1	0.45	 	115	52.27	 	19	8.64	 	1	0.45	 	9	4.09	 	2	0.91	 	72	32.73	 	0	0	 	220	94.83	 	12	5.17	 	232	0.36
Bridport		                                   	5	0.41	 	7	0.58	 	736	60.73	 	75	6.19	 	3	0.25	 	56	4.62	 	3	0.25	 	327	26.98	 	0	0	 	1212	95.43	 	58	4.57	 	1270	1.99
Cape Barren Island		                         	1	2.5	 	1	2.5	 	7	17.5	 	2	5	 	0	0	 	1	2.5	 	0	0	 	28	70	 	0	0	 	40	100	 	0	0	 	40	0.06
Cosgrove Park		                              	5	1.72	 	3	1.03	 	154	52.92	 	8	2.75	 	1	0.34	 	14	4.81	 	0	0	 	106	36.43	 	0	0	 	291	94.79	 	16	5.21	 	307	0.48
Derby		                                      	0	0	 	2	1.23	 	60	37.04	 	13	8.02	 	0	0	 	31	19.14	 	1	0.62	 	55	33.95	 	0	0	 	162	96.43	 	6	3.57	 	168	0.26
Dilston		                                    	3	0.52	 	4	0.69	 	311	53.71	 	30	5.18	 	1	0.17	 	65	11.23	 	0	0	 	165	28.5	 	0	0	 	579	97.97	 	12	2.03	 	591	0.93
Elphin		                                     	6	1.1	 	5	0.92	 	231	42.39	 	30	5.5	 	5	0.92	 	38	6.97	 	4	0.73	 	226	41.47	 	0	0	 	545	95.95	 	23	4.05	 	568	0.89
Emita		                                      	0	0	 	1	1.61	 	38	61.29	 	7	11.29	 	0	0	 	6	9.68	 	0	0	 	10	16.13	 	0	0	 	62	95.38	 	3	4.62	 	65	0.1
Franklin Village		                           	2	0.93	 	3	1.39	 	109	50.46	 	11	5.09	 	0	0	 	19	8.8	 	1	0.46	 	71	32.87	 	0	0	 	216	97.74	 	5	2.26	 	221	0.35
General Hospital		                           	4	0.87	 	7	1.52	 	192	41.65	 	27	5.86	 	6	1.3	 	52	11.28	 	0	0	 	173	37.53	 	0	0	 	461	96.24	 	18	3.76	 	479	0.75
George Town		                                	23	1.07	 	13	0.61	 	699	32.6	 	121	5.64	 	16	0.75	 	98	4.57	 	5	0.23	 	1169	54.52	 	0	0	 	2144	96.62	 	75	3.38	 	2219	3.48
George Town South		                          	3	0.33	 	8	0.88	 	319	35.25	 	44	4.86	 	5	0.55	 	38	4.2	 	2	0.22	 	486	53.7	 	0	0	 	905	96.69	 	31	3.31	 	936	1.47
Gladstone		                                  	3	1.49	 	1	0.5	 	79	39.3	 	7	3.48	 	2	1	 	11	5.47	 	2	1	 	96	47.76	 	0	0	 	201	93.93	 	13	6.07	 	214	0.34
Hillwood		                                   	0	0	 	0	0	 	168	45.28	 	26	7.01	 	2	0.54	 	23	6.2	 	2	0.54	 	150	40.43	 	0	0	 	371	97.89	 	8	2.11	 	379	0.6
Inveresk		                                   	19	1.99	 	4	0.42	 	276	28.96	 	48	5.04	 	8	0.84	 	66	6.93	 	6	0.63	 	526	55.19	 	0	0	 	953	94.54	 	55	5.46	 	1008	1.58
Invermay		                                   	6	0.49	 	13	1.06	 	457	37.43	 	68	5.57	 	10	0.82	 	74	6.06	 	9	0.74	 	584	47.83	 	0	0	 	1221	97.37	 	33	2.63	 	1254	1.97
Karoola		                                    	5	1.75	 	10	3.5	 	150	52.45	 	15	5.24	 	1	0.35	 	24	8.39	 	2	0.7	 	79	27.62	 	0	0	 	286	96.62	 	10	3.38	 	296	0.46
Kings Meadows		                              	8	0.5	 	9	0.56	 	793	49.44	 	84	5.24	 	14	0.87	 	82	5.11	 	9	0.56	 	605	37.72	 	0	0	 	1604	96.22	 	63	3.78	 	1667	2.62
