Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allanson		                                   	4	1.32	 	69	22.85	 	3	0.99	 	4	1.32	 	21	6.95	 	7	2.32	 	156	51.66	 	13	4.3	 	24	7.95	 	1	0.33	 	302	96.18	 	12	3.82	 	314	0.36
Baldivis		                                   	5	0.5	 	550	55.17	 	0	0	 	7	0.7	 	19	1.91	 	12	1.2	 	266	26.68	 	54	5.42	 	80	8.02	 	4	0.4	 	997	96.8	 	33	3.2	 	1030	1.17
Barragup		                                   	20	1.7	 	619	52.59	 	3	0.25	 	2	0.17	 	18	1.53	 	13	1.1	 	339	28.8	 	74	6.29	 	89	7.56	 	0	0	 	1177	96.4	 	44	3.6	 	1221	1.39
Benger		                                     	2	2.94	 	54	79.41	 	0	0	 	0	0	 	1	1.47	 	0	0	 	6	8.82	 	3	4.41	 	2	2.94	 	0	0	 	68	95.77	 	3	4.23	 	71	0.08
Binningup		                                  	5	1.14	 	221	50.57	 	0	0	 	5	1.14	 	14	3.2	 	4	0.92	 	126	28.83	 	32	7.32	 	30	6.86	 	0	0	 	437	96.9	 	14	3.1	 	451	0.51
Brunswick		                                  	3	0.52	 	314	54.42	 	0	0	 	5	0.87	 	20	3.47	 	10	1.73	 	183	31.72	 	19	3.29	 	23	3.99	 	0	0	 	577	93.37	 	41	6.63	 	618	0.7
Bunbury Central (Brand)		                    	1	0.85	 	50	42.74	 	0	0	 	0	0	 	1	0.85	 	1	0.85	 	49	41.88	 	6	5.13	 	9	7.69	 	0	0	 	117	96.69	 	4	3.31	 	121	0.14
Busselton (Brand)		                          	4	2.05	 	89	45.64	 	0	0	 	3	1.54	 	0	0	 	4	2.05	 	68	34.87	 	10	5.13	 	17	8.72	 	0	0	 	195	97.99	 	4	2.01	 	199	0.23
Busselton West (Brand)		                     	0	0	 	35	33.65	 	0	0	 	3	2.88	 	2	1.92	 	4	3.85	 	46	44.23	 	1	0.96	 	13	12.5	 	0	0	 	104	98.11	 	2	1.89	 	106	0.12
Calista		                                    	28	1.07	 	731	27.87	 	4	0.15	 	28	1.07	 	14	0.53	 	38	1.45	 	1397	53.26	 	175	6.67	 	204	7.78	 	4	0.15	 	2623	96.12	 	106	3.88	 	2729	3.1
Carcoola		                                   	10	2.19	 	155	33.92	 	1	0.22	 	4	0.88	 	5	1.09	 	7	1.53	 	212	46.39	 	21	4.6	 	40	8.75	 	2	0.44	 	457	94.42	 	27	5.58	 	484	0.55
Collie		                                     	6	1.25	 	108	22.55	 	0	0	 	5	1.04	 	34	7.1	 	8	1.67	 	273	56.99	 	14	2.92	 	30	6.26	 	1	0.21	 	479	93.55	 	33	6.45	 	512	0.58
Collie Central		                             	37	2.37	 	317	20.31	 	5	0.32	 	4	0.26	 	67	4.29	 	15	0.96	 	1002	64.19	 	60	3.84	 	51	3.27	 	3	0.19	 	1561	94.78	 	86	5.22	 	1647	1.87
Collie District Hospital		                   	9	1.46	 	174	28.25	 	2	0.32	 	3	0.49	 	21	3.41	 	8	1.3	 	351	56.98	 	21	3.41	 	25	4.06	 	2	0.32	 	616	94.05	 	39	5.95	 	655	0.74
Collie North		                               	14	1.62	 	197	22.75	 	0	0	 	6	0.69	 	33	3.81	 	9	1.04	 	564	65.13	 	11	1.27	 	31	3.58	 	1	0.12	 	866	94.96	 	46	5.04	 	912	1.04
Coodanup		                                   	25	1.57	 	596	37.44	 	7	0.44	 	3	0.19	 	24	1.51	 	31	1.95	 	726	45.6	 	58	3.64	 	121	7.6	 	1	0.06	 	1592	95.9	 	68	4.1	 	1660	1.88
Cooloongup		                                 	47	1.28	 	1088	29.56	 	7	0.19	 	19	0.52	 	33	0.9	 	55	1.49	 	1929	52.4	 	185	5.03	 	315	8.56	 	3	0.08	 	3681	97.3	 	102	2.7	 	3783	4.29
Coolup		                                     	2	0.78	 	147	56.98	 	1	0.39	 	2	0.78	 	11	4.26	 	2	0.78	 	53	20.54	 	20	7.75	 	18	6.98	 	2	0.78	 	258	97.36	 	7	2.64	 	265	0.3
Dawesville		                                 	5	0.68	 	407	55	 	1	0.14	 	1	0.14	 	8	1.08	 	10	1.35	 	198	26.76	 	39	5.27	 	71	9.59	 	0	0	 	740	95.98	 	31	4.02	 	771	0.88
Dunsborough (Brand)		                        	1	1.16	 	51	59.3	 	0	0	 	1	1.16	 	2	2.33	 	1	1.16	 	22	25.58	 	2	2.33	 	6	6.98	 	0	0	 	86	98.85	 	1	1.15	 	87	0.1
