Senate - 1998 Election					
Use of Group Voting Ticket					
By Party by State					

National Summary					
	Ticket		Non Ticket		Total First
State	Votes	%	Votes	%	Preferences
New South Wales	3613011	96.2	142714	3.8	3755725
Victoria	2752186	96.8	90974	3.2	2843160
Queensland	1918728	95.76	84982	4.24	2003710
Western Australia	1001893	94.16	62185	5.84	1064078
South Australia	879506	92.89	67310	7.11	946816
Tasmania	241264	78.24	67113	21.76	308377
Australian Capital Territory	154019	78.17	43016	21.83	197035
Northern Territory	79628	85.62	13374	14.38	93002

National	10640235	94.9	571668	5.1	11211903


New South Wales					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
FST	27630	93.16	2030	6.84	29660
NAN	4314	85.68	721	14.32	5035
NDP	5886	90.71	603	9.29	6489
Unendorsed - GALLAGHER	1273	75.33	417	24.67	1690
NLP	4246	92.26	356	7.74	4602
ACS	5209	89.66	601	10.34	5810
Unendorsed - LEES	4778	83.17	967	16.83	5745
ALP	1424387	98.06	28173	1.94	1452560
CEC	4227	96	176	4	4403
Unendorsed - MOULDFIELD	2570	92.25	216	7.75	2786
HAN	339863	94.14	21146	5.86	361009
LNP	1349778	98.13	25785	1.87	1375563
DEM	241539	87.54	34371	12.46	275910
DSL	7563	92	658	8	8221
RAR	7498	93.5	521	6.5	8019
Unendorsed -  POULOS	646	91.24	62	8.76	708
SEP	1639	90.65	169	9.35	1808
Unendorsed -  SCHOLLBACH	388	93.49	27	6.51	415
Unendorsed -  MELVILLE	489	60.52	319	39.48	808
CDP	50681	87.26	7398	12.74	58079
GRN	70552	86.45	11060	13.55	81612
UNI	57855	93.91	3752	6.09	61607
Ungrouped			3186	100	3186

Total for New South Wales	3613011	96.2	142714	3.8	3755725


Victoria					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
ABR	8270	88.79	1044	11.21	9314
Unendorsed -  TOSCANO	1987	90.11	218	9.89	2205
DEM	254748	91.04	25058	8.96	279806
UNI	19040	92.41	1563	7.59	20603
GRN	58651	82.76	12221	17.24	70872
SEP	1230	88.36	162	11.64	1392
NDP	2969	92.9	227	7.1	3196
ARP	4721	90.74	482	9.26	5203
AWP	9209	94.82	503	5.18	9712
DLP	28730	96.11	1163	3.89	29893
ALP	1135004	98.43	18096	1.57	1153100
LNP	1061806	98.6	15038	1.4	1076844
FCP	2800	90.5	294	9.5	3094
CDP	11593	83.52	2288	16.48	13881
FST	5587	91.88	494	8.12	6081
HAN	108184	92.43	8864	7.57	117048
NLP	2275	87.27	332	12.73	2607
ASP	32599	94.67	1835	5.33	34434
DSL	2039	88.88	255	11.12	2294
CEC	744	90.62	77	9.38	821
Ungrouped			760	100	760

Total for Victoria	2752186	96.8	90974	3.2	2843160


Queensland					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
QF	10591	91.67	963	8.33	11554
Unendorsed -  LINSLEY	690	73.33	251	26.67	941
Unendorsed -  PAYNE	589	85.99	96	14.01	685
UNI	8632	90.99	855	9.01	9487
NP	182592	95.77	8069	4.23	190662
FST	4512	92.14	385	7.86	4897
CDP	25406	88.14	3420	11.86	28826
FLR	2166	93.12	160	6.88	2326
Han	278431	93.67	18814	6.33	297245
CEC	1625	91.04	160	8.96	1785
OAP	7318	96.65	254	3.35	7572
NLP	1675	94	107	6	1782
ARP	1770	88.02	241	11.98	2011
DEM	141161	90.23	15290	9.77	156451
ACS	4529	92.33	376	7.67	4905
ALP	639674	97.72	14949	2.28	654623
LP	557450	97.68	13242	2.32	570692
AWP	8274	90.89	829	9.11	9103
Unendorsed -  JOHNSTON	606	91.68	55	8.32	661
DSL	3988	90.76	406	9.24	4394
GRN	37048	87.66	5216	12.34	42264
Ungrouped			844	100	844

Total for Queensland	1918728	95.76	84982	4.24	2003710


Western Australia					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
HAN	99076	89.83	11218	10.17	110294
ASP	3220	85.78	534	14.22	3754
NP	12395	92.3	1034	7.7	13429
NLP	1886	87.27	275	12.73	2161
LP	397416	97.23	11332	2.77	408748
TPS	487	88.71	62	11.29	549
UNI	1895	83.44	376	16.56	2271
ACS	1602	82.45	341	17.55	1943
CEC	1369	91.51	127	8.49	1496
ALP	357849	97.01	11029	2.99	368878
DSL	3841	90.61	398	9.39	4239
CDP	8540	83.2	1724	16.8	10264
GWA	49730	81.44	11333	18.56	61063
Unendorsed -  HOBBS	3764	88.07	510	11.93	4274
Unendorsed -  TORR	660	54.59	549	45.41	1209
DEM	57308	84.16	10787	15.84	68095
RPA	855	83.5	169	16.5	1024
Ungrouped			387	100	387

Total for Western Australia	1001893	94.16	62185	5.84	1064078


South Australia					
	Ticket		Non Ticket		Total First
Party	Votes	%	Votes	%	Preferences
CDP	7333	76.4	2265	23.6	9598
FST	5004	81.67	1123	18.33	6127
DEM	96968	82.44	20651	17.56	117619
