Senate - 1998 Election 			
First Preference Votes by Group			
By State			

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.			
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’			


National Summary			
Enrolment 12154050			

Group	Votes	%	Swing
LP	1528730	13.63	-2.61
NP	208536	1.86	-1.01
LNP	2452407	21.87	-2.62
CLP	36063	0.32	-0.05
ALP	4182963	37.31	1.16
DEM	947940	8.45	-2.37
GRN	244165	2.18	0.52
HAN	1007439	8.99	8.99
CDP	122516	1.09	0.02
DLP	29893	0.27	-0.07
GWA	61063	0.54	0.02
HAR	24254	0.22	0.22
UNI	93968	0.84	0.84
OTH	271966	2.43	-3.04
FORMAL	11211903	96.76	0.26
INFORMAL	375462	3.24	-0.26
TOTAL	11587365	95.34	-0.86




New South Wales				
Enrolment 4076081				
State Quota 536533				

Group	Votes	%	Swing	Quota
LNP	1375563	36.63	-4.73	2.56
ALP	1452560	38.68	1.45	2.71
DEM	275910	7.35	-2.2	0.51
GRN	81612	2.17	-0.49	0.15
HAN	361009	9.61	9.61	0.67
CDP	58079	1.55	-0.44	0.11
UNI	61607	1.64	1.64	0.11
OTH	89385	2.38	-4.85	0.17
FORMAL	3755725	96.69	0.44	
INFORMAL	128596	3.31	-0.44	
TOTAL	3884321	95.3	-1.42	


Victoria				
Enrolment 3081632				
State Quota 406166				

Group	Votes	%	Swing	Quota
LNP	1076844	37.87	-3.56	2.65
ALP	1153100	40.56	0.76	2.84
DEM	279806	9.84	-1.03	0.69
GRN	70872	2.49	2.49	0.17
HAN	117048	4.12	4.12	0.29
ASP	34434	1.21	0.5	0.08
CDP	13881	0.49	-0.11	0.03
DLP	29893	1.05	-0.26	0.07
UNI	20603	0.72	0.72	0.05
OTH	46679	1.64	-3.64	0.11
FORMAL	2843160	96.22	-0.23	
INFORMAL	111686	3.78	0.23	
TOTAL	2954846	95.89	-0.64	


Queensland				
Enrolment 2188024				
State Quota 286245				

Group	Votes	%	Swing	Quota
LP	570692	28.48	-6.88	1.99
NP	190662	9.52	-5.46	0.67
ALP	654623	32.67	2.33	2.29
DEM	156451	7.81	-5.4	0.55
GRN	42264	2.11	-0.3	0.15
HAN	297245	14.83	14.83	1.04
CDP	28826	1.44	0.94	0.1
UNI	9487	0.47	0.47	0.03
OTH	53460	2.67	-0.54	0.19
FORMAL	2003710	96.96	0.22	
INFORMAL	62859	3.04	-0.22	
TOTAL	2066569	94.45	-0.68	


Western Australia				
Enrolment 1149619				
State Quota 152012				

Group	Votes	%	Swing	Quota
LP	408748	38.41	-7.03	2.69
NP	13429	1.26	-0.82	0.09
ALP	368878	34.67	0.65	2.43
DEM	68095	6.4	-2.95	0.45
GWA	61063	5.74	0.06	0.4
HAN	110294	10.37	10.37	0.73
CDP	10264	0.96	0.26	0.07
UNI	2271	0.21	0.21	0.01
OTH	21036	1.98	-0.76	0.14
FORMAL	1064078	97.32	0.81	
INFORMAL	29354	2.68	-0.81	
TOTAL	1093432	95.11	-0.49	


South Australia				
Enrolment 1013989				
State Quota 135260				

Group	Votes	%	Swing	Quota
LP	383637	40.52	-5.32	2.84
NP	4445	0.47	0.47	0.03
ALP	303299	32.03	-0.21	2.24
DEM	117619	12.42	-2.11	0.87
GRN	20895	2.21	0.12	0.15
HAN	91910	9.71	9.71	0.68
CDP	9598	1.01	0.28	0.07
OTH	15413	1.63	-2.94	0.11
FORMAL	946816	97.19	0.45	
INFORMAL	27424	2.81	-0.45	
TOTAL	974240	96.08	-0.36	


Tasmania				
Enrolment 330121				
State Quota 44054				

Group	Votes	%	Swing	Quota
LP	104268	33.81	-8.44	2.37
ALP	128377	41.63	2.57	2.91
DEM	12107	3.93	-3.2	0.27
HAR	24254	7.87	7.87	0.55
GRN	17905	5.81	5.81	0.41
HAN	11655	3.78	3.78	0.26
ACS	1750	0.57	0.57	0.04
CDP	945	0.31	-0.19	0.02
OTH	7116	2.31	-8.77	0.16
FORMAL	308377	96.95	0.11	
INFORMAL	9704	3.05	-0.11	
TOTAL	318081	96.35	-0.53	


Australian Capital Territory				
Enrolment 209536				
Territory Quota 65679				

Group	Votes	%	Swing	Quota
LP	61385	31.15	-7.87	0.93
ALP	83867	42.56	-0.06	1.28
DEM	32833	16.66	6.46	0.5
GRN	6385	3.24	-2.64	0.1
HAN	9621	4.88	4.88	0.15
ACS	868	0.44	0.44	0.01
AWP	876	0.44	0.44	0.01
CDP	923	0.47	-1.04	0.01
OTH	277	0.14	-0.62	0
FORMAL	197035	98.03	0.5	
INFORMAL	3952	1.97	-0.5	
TOTAL	200987	95.92	-1	


Northern Territory				
Enrolment 105048				
Territory Quota 31001				

Group	Votes	%	Swing	Quota
CLP	36063	38.78	-7.95	1.16
ALP	38259	41.14	-3.98	1.23
DEM	5119	5.5	3.71	0.17
GRN	4232	4.55	-1.81	0.14
HAN	8657	9.31	9.31	0.28
OTH	672	0.72	0.72	0.02
FORMAL	93002	98.01	0.76
INFORMAL	1887	1.99	-0.76
TOTAL	94889	90.33	1.13
