Senate -1998 Election															
First Preference Votes by Candidate															
By Vote Type by Division															


New South Wales															

Banks (80108)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	FST	487	0.82	36	0.58	7	1.45	47	0.92	11	0.42	588	0.8
		"SHEN, Victor"	FST	33	0.06	1	0.02	1	0.21	3	0.06	2	0.08	40	0.05
		"WILLSON, Greg"	FST	4	0.01	0	0	0	0	0	0	0	0	4	0.01
		Group Total	FST	524	0.89	37	0.59	8	1.65	50	0.98	13	0.5	632	0.86
B		TICKET VOTES	NAN	44	0.07	4	0.06	0	0	6	0.12	1	0.04	55	0.07
		"NASH, Chris"	NAN	8	0.01	1	0.02	0	0	0	0	1	0.04	10	0.01
		"WADDELL, Jane"	NAN	1	0	0	0	0	0	0	0	1	0.04	2	0
		Group Total	NAN	53	0.09	5	0.08	0	0	6	0.12	3	0.11	67	0.09
C		TICKET VOTES	NDP	75	0.13	10	0.16	1	0.21	9	0.18	3	0.11	98	0.13
		"DENBOROUGH, Michael"	NDP	5	0.01	1	0.02	0	0	0	0	0	0	6	0.01
		"FRANCIS, Yvonne"	NDP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NDP	80	0.14	11	0.18	1	0.21	9	0.18	3	0.11	104	0.14
D		TICKET VOTES		9	0.02	2	0.03	0	0	0	0	1	0.04	12	0.02
		"GALLAGHER, Mick"		0	0	0	0	0	0	0	0	0	0	0	0
		"MAWSON, John A"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		9	0.02	2	0.03	0	0	0	0	1	0.04	12	0.02
E		TICKET VOTES	NLP	30	0.05	5	0.08	0	0	4	0.08	0	0	39	0.05
		"NOLAN, Richard"	NLP	3	0.01	0	0	0	0	1	0.02	0	0	4	0.01
		"SEYMOUR, Bev"	NLP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	33	0.06	5	0.08	0	0	5	0.1	0	0	43	0.06
F		TICKET VOTES	ACS	76	0.13	6	0.1	3	0.62	7	0.14	1	0.04	93	0.13
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	9	0.02	0	0	0	0	0	0	1	0.04	10	0.01
		"MEZINEC, Richard"	ACS	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	ACS	85	0.14	6	0.1	3	0.62	7	0.14	2	0.08	103	0.14
G		TICKET VOTES		91	0.15	14	0.22	3	0.62	6	0.12	3	0.11	117	0.16
		"LEES, Malcolm"		20	0.03	2	0.03	0	0	4	0.08	0	0	26	0.04
		"RANKIN, Warwick"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		112	0.19	16	0.26	3	0.62	10	0.2	3	0.11	144	0.2
H		TICKET VOTES	ALP	24987	42.2	2361	37.76	237	48.97	1916	37.39	1057	40.48	30558	41.47
	#	"HUTCHINS, Steve"	ALP	316	0.53	31	0.5	3	0.62	26	0.51	9	0.34	385	0.52
	#	"FAULKNER, John"	ALP	31	0.05	4	0.06	0	0	7	0.14	4	0.15	46	0.06
	#	"FORSHAW, Michael"	ALP	19	0.03	2	0.03	0	0	1	0.02	0	0	22	0.03
		"STEPHENS, Ursula"	ALP	34	0.06	3	0.05	0	0	6	0.12	3	0.11	46	0.06
		Group Total	ALP	25387	42.88	2401	38.4	240	49.59	1956	38.17	1073	41.1	31057	42.15
I		TICKET VOTES	CEC	55	0.09	3	0.05	1	0.21	6	0.12	0	0	65	0.09
		"BUTLER, Robert H"	CEC	2	0	0	0	0	0	0	0	0	0	2	0
		"COLLINS, Glenys"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay David"	CEC	0	0	1	0.02	0	0	0	0	0	0	1	0
		Group Total	CEC	57	0.1	4	0.06	1	0.21	6	0.12	0	0	68	0.09
J		TICKET VOTES		29	0.05	0	0	0	0	3	0.06	0	0	32	0.04
		"MOULDFIELD, David"		4	0.01	0	0	0	0	0	0	0	0	4	0.01
		"HANDSOME HANDPUPPET, Paul-Ian"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		34	0.06	0	0	0	0	3	0.06	0	0	37	0.05
K		TICKET VOTES	HAN	6321	10.68	635	10.16	60	12.4	561	10.95	269	10.3	7846	10.65
		"OLDFIELD, David"	HAN	377	0.64	41	0.66	3	0.62	38	0.74	24	0.92	483	0.66
		"BURSTON, Brian"	HAN	5	0.01	0	0	0	0	1	0.02	2	0.08	8	0.01
		"O'REGAN, Bevan"	HAN	10	0.02	2	0.03	0	0	1	0.02	0	0	13	0.02
		Group Total	HAN	6713	11.34	678	10.84	63	13.02	601	11.73	295	11.3	8350	11.33
L		TICKET VOTES	LNP	18161	30.67	2143	34.27	107	22.11	1757	34.28	921	35.27	23089	31.34
	#	"HEFFERNAN, Bill"	LP	370	0.62	34	0.54	0	0	35	0.68	18	0.69	457	0.62
	#	"TIERNEY, John"	LP	14	0.02	3	0.05	0	0	1	0.02	0	0	18	0.02
		"MACDONALD, Sandy"	NP	6	0.01	2	0.03	0	0	1	0.02	0	0	9	0.01
