Senate - 1998 Election															
First Preference Votes by Candidate															
By Vote Type by State															


New South Wales															
Enrolment 4076081															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	FST	23564	0.79	1713	0.59	503	1.09	1350	0.51	500	0.31	27630	0.74
		"SHEN, Victor"	FST	1540	0.05	133	0.05	44	0.1	108	0.04	70	0.04	1895	0.05
		"WILLSON, Greg"	FST	107	0	10	0	3	0.01	8	0	7	0	135	0
		Group Total	FST	25211	0.84	1856	0.64	550	1.19	1466	0.55	577	0.35	29660	0.79
B		TICKET VOTES	NAN	3429	0.11	364	0.12	70	0.15	249	0.09	202	0.12	4314	0.11
		"NASH, Chris"	NAN	475	0.02	63	0.02	3	0.01	46	0.02	49	0.03	636	0.02
		"WADDELL, Jane"	NAN	66	0	6	0	3	0.01	3	0	7	0	85	0
		Group Total	NAN	3970	0.13	433	0.15	76	0.17	298	0.11	258	0.16	5035	0.13
C		TICKET VOTES	NDP	4289	0.14	713	0.24	172	0.37	499	0.19	213	0.13	5886	0.16
		"DENBOROUGH, Michael"	NDP	376	0.01	58	0.02	3	0.01	57	0.02	25	0.02	519	0.01
		"FRANCIS, Yvonne"	NDP	49	0	11	0	1	0	11	0	12	0.01	84	0
		Group Total	NDP	4714	0.16	782	0.27	176	0.38	567	0.21	250	0.15	6489	0.17
D		TICKET VOTES		1004	0.03	93	0.03	20	0.04	106	0.04	50	0.03	1273	0.03
		"GALLAGHER, Mick"		308	0.01	26	0.01	1	0	37	0.01	25	0.02	397	0.01
		"MAWSON, John A"		17	0	1	0	0	0	0	0	2	0	20	0
		Group Total		1329	0.04	120	0.04	21	0.05	143	0.05	77	0.05	1690	0.04
E		TICKET VOTES	NLP	3389	0.11	368	0.13	96	0.21	303	0.11	90	0.06	4246	0.11
		"NOLAN, Richard"	NLP	241	0.01	30	0.01	5	0.01	27	0.01	15	0.01	318	0.01
		"SEYMOUR, Bev"	NLP	31	0	2	0	1	0	2	0	2	0	38	0
		Group Total	NLP	3661	0.12	400	0.14	102	0.22	332	0.13	107	0.07	4602	0.12
F		TICKET VOTES	ACS	3968	0.13	558	0.19	134	0.29	366	0.14	183	0.11	5209	0.14
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	405	0.01	49	0.02	15	0.03	45	0.02	47	0.03	561	0.01
		"MEZINEC, Richard"	ACS	28	0	5	0	0	0	3	0	4	0	40	0
		Group Total	ACS	4401	0.15	612	0.21	149	0.32	414	0.16	234	0.14	5810	0.15
G		TICKET VOTES		3910	0.13	431	0.15	65	0.14	208	0.08	164	0.1	4778	0.13
		"LEES, Malcolm"		707	0.02	126	0.04	18	0.04	46	0.02	40	0.02	937	0.02
		"RANKIN, Warwick"		17	0	6	0	1	0	5	0	1	0	30	0
		Group Total		4634	0.15	563	0.19	84	0.18	259	0.1	205	0.13	5745	0.15
H		TICKET VOTES	ALP	1155171	38.62	102814	35.28	22289	48.42	91125	34.43	52988	32.57	1424387	37.93
	#	"HUTCHINS, Steve"	ALP	16535	0.55	1873	0.64	242	0.53	1824	0.69	1370	0.84	21844	0.58
	#	"FAULKNER, John"	ALP	2128	0.07	271	0.09	30	0.07	232	0.09	253	0.16	2914	0.08
	#	"FORSHAW, Michael"	ALP	659	0.02	92	0.03	4	0.01	61	0.02	48	0.03	864	0.02
		"STEPHENS, Ursula"	ALP	1802	0.06	283	0.1	20	0.04	236	0.09	210	0.13	2551	0.07
		Group Total	ALP	1176295	39.33	105333	36.15	22585	49.07	93478	35.32	54869	33.72	1452560	38.68
I		TICKET VOTES	CEC	3583	0.12	245	0.08	75	0.16	250	0.09	74	0.05	4227	0.11
		"BUTLER, Robert H"	CEC	109	0	8	0	2	0	11	0	9	0.01	139	0
		"COLLINS, Glenys"	CEC	11	0	1	0	0	0	1	0	4	0	17	0
		"COSGROVE, Lindsay David"	CEC	17	0	1	0	0	0	0	0	2	0	20	0
		Group Total	CEC	3720	0.12	255	0.09	77	0.17	262	0.1	89	0.05	4403	0.12
J		TICKET VOTES		2254	0.08	100	0.03	24	0.05	115	0.04	77	0.05	2570	0.07
		"MOULDFIELD, David"		58	0	6	0	0	0	5	0	7	0	76	0
		"HANDSOME HANDPUPPET, Paul-Ian"		97	0	12	0	1	0	19	0.01	11	0.01	140	0
		Group Total		2409	0.08	118	0.04	25	0.05	139	0.05	95	0.06	2786	0.07
K		TICKET VOTES	HAN	272918	9.12	24145	8.29	4145	9.01	23970	9.06	14685	9.03	339863	9.05
		"OLDFIELD, David"	HAN	15349	0.51	1251	0.43	141	0.31	1468	0.55	1582	0.97	19791	0.53
		"BURSTON, Brian"	HAN	451	0.02	34	0.01	5	0.01	27	0.01	53	0.03	570	0.02
		"O'REGAN, Bevan"	HAN	565	0.02	68	0.02	3	0.01	62	0.02	87	0.05	785	0.02
		Group Total	HAN	289283	9.67	25498	8.75	4294	9.33	25527	9.64	16407	10.08	361009	9.61
L		TICKET VOTES	LNP	1062301	35.52	107838	37	11944	25.95	102282	38.65	65413	40.2	1349778	35.94
	#	"HEFFERNAN, Bill"	LP	16295	0.54	1842	0.63	139	0.3	1762	0.67	1762	1.08	21800	0.58
	#	"TIERNEY, John"	LP	1002	0.03	150	0.05	14	0.03	152	0.06	123	0.08	1441	0.04
		"MACDONALD, Sandy"	NP	1148	0.04	156	0.05	11	0.02	171	0.06	203	0.12	1689	0.04
		"FIERRAVANTI-WELLS, Concetta"	LP	605	0.02	79	0.03	6	0.01	81	0.03	84	0.05	855	0.02
		Group Total	LNP	1081351	36.15	110065	37.77	12114	26.32	104448	39.46	67585	41.54	1375563	36.63
M		TICKET VOTES	DEM	190159	6.36	21784	7.48	2078	4.51	17115	6.47	10403	6.39	241539	6.43
	#	"RIDGEWAY, Aden"	DEM	24048	0.8	2739	0.94	160	0.35	2305	0.87	1690	1.04	30942	0.82
		"BAIRD, Matthew"	DEM	337	0.01	44	0.02	7	0.02	35	0.01	34	0.02	457	0.01
		"REDDY, Suzanne"	DEM	1547	0.05	222	0.08	13	0.03	198	0.07	183	0.11	2163	0.06
		"MENDELSSOHN, David"	DEM	570	0.02	94	0.03	5	0.01	78	0.03	62	0.04	809	0.02
		Group Total	DEM	216661	7.24	24883	8.54	2263	4.92	19731	7.46	12372	7.6	275910	7.35
N		TICKET VOTES	DSL	6144	0.21	618	0.21	109	0.24	503	0.19	189	0.12	7563	0.2
		"CARMAN, Marina"	DSL	445	0.01	69	0.02	11	0.02	70	0.03	23	0.01	618	0.02
		"BOYLE, Peter"	DSL	29	0	4	0	2	0	3	0	2	0	40	0
		Group Total	DSL	6618	0.22	691	0.24	122	0.27	576	0.22	214	0.13	8221	0.22
O		TICKET VOTES	RAR	5288	0.18	840	0.29	166	0.36	625	0.24	579	0.36	7498	0.2
		"SMITH, Rodney"	RARI	371	0.01	41	0.01	4	0.01	38	0.01	40	0.02	494	0.01
		"WOODGER, Edwin"	RARI	20	0	0	0	1	0	3	0	3	0	27	0
		Group Total	RAR	5679	0.19	881	0.3	171	0.37	666	0.25	622	0.38	8019	0.21
P		TICKET VOTES		514	0.02	45	0.02	10	0.02	71	0.03	6	0	646	0.02
		"POULOS, Patricia"		40	0	6	0	0	0	3	0	2	0	51	0
		"HOLLEY, John"		8	0	2	0	0	0	0	0	1	0	11	0
		Group Total		562	0.02	53	0.02	10	0.02	74	0.03	9	0.01	708	0.02
Q		TICKET VOTES	SEP	1209	0.04	190	0.07	40	0.09	154	0.06	46	0.03	1639	0.04
		"BEAMS, Nick"	SEP	122	0	14	0	3	0.01	8	0	8	0	155	0
		"DIVJAK, Carol"	SEP	11	0	1	0	0	0	1	0	1	0	14	0
		Group Total	SEP	1342	0.04	205	0.07	43	0.09	163	0.06	55	0.03	1808	0.05
R		TICKET VOTES		332	0.01	21	0.01	7	0.02	25	0.01	3	0	388	0.01
